firm,mnq,p1_pass,both_pass,median_days_to_pass,p25_days,p75_days,median_days_all
FTMO_2step,1,0.2694,0.2134,331,285,379,252
FTMO_2step,2,0.7748,0.7208,207,153,266,247
FTMO_2step,3,0.8774,0.8218,139,96,198,146
FTMO_2step,4,0.8756,0.8004,100,67,146,100
FTMO_2step,5,0.7576,0.6394,65,44,96,59
FTMO_2step,6,0.736,0.61,53,34,77,47
FTMO_2step,7,0.7222,0.5816,40,26,61,36
FTMO_2step,8,0.6594,0.5106,33,22,50,28
FundingPips_2step,1,0.4676,0.367,307,261,361,252
FundingPips_2step,2,0.8486,0.7934,185,133,245,208
FundingPips_2step,3,0.9088,0.8524,122,82,179,127
FundingPips_2step,4,0.9002,0.828,84,54,128,84
FundingPips_2step,5,0.7872,0.6546,56,36,86,53
FundingPips_2step,6,0.7734,0.6392,44,28,66,40
FundingPips_2step,7,0.7388,0.6002,34,23,53,31
FundingPips_2step,8,0.7058,0.5552,28,18,42,25
