firm,chal_mnq,fund_mnq,pass_rate,median_chal_days_if_pass,median_days_to_1st_pmt,median_payouts_if_pass,median_cash_if_pass,mean_cash_if_pass,ev_net_overall,ev_cash_overall
FTMO_2step,3,2,0.8098,140,149,10,11800.610049825616,11997.991557014217,9610.349562870111,9715.973562870113
FTMO_2step,3,3,0.826,141,150,11,17506.681474430887,17536.821159173654,14380.654277477437,14485.414277477437
FTMO_2step,3,4,0.8268,143,152,10,21255.833308186324,21301.883444926763,17497.485232265448,17612.397232265448
FTMO_2step,4,2,0.8126,97,106,11,11848.366350452394,12131.007368538247,9752.46458767418,9857.656587674179
FTMO_2step,4,3,0.809,100,109,11,17537.533377503478,17706.067832841898,14210.160876769096,14324.208876769095
FTMO_2step,4,4,0.8118,100,109,10,21144.632904506794,21081.996509739387,16992.108766606434,17114.364766606435
FTMO_2step,5,2,0.6316,66,75,11,11992.694214717074,12149.372432065891,7470.287628092817,7673.543628092816
FTMO_2step,5,3,0.6398,65,74,10,17448.73868125903,17527.944935554908,11009.935169768029,11214.37916976803
FTMO_2step,5,4,0.6454,67,76,10,22184.46630294656,21970.006802725216,13970.246390478855,14179.442390478855
FTMO_2step,6,2,0.607,50,59,11,11886.29503104376,12121.057292822174,7141.913776743058,7357.481776743059
FTMO_2step,6,3,0.6182,52,61,11,17840.0400136202,17765.57755610631,10768.948045184921,10982.680045184921
FTMO_2step,6,4,0.6188,51,60,10,21260.34684488344,21294.436113118503,12955.057066797732,13176.997066797732
FundingPips_2step,3,2,0.8526,120,129,11,11928.492480787694,12195.282067794784,10312.712291001833,10397.697491001833
FundingPips_2step,3,3,0.8676,121,130,11,17407.86918786943,17487.0444619836,15086.225575216975,15171.759775216975
FundingPips_2step,3,4,0.8544,121,130,10,21129.209527823143,21262.548140015617,18065.37573082934,18166.72113082934
FundingPips_2step,4,2,0.822,84,93,10,11749.422817620896,11987.116117375632,9751.954248482769,9853.40944848277
FundingPips_2step,4,3,0.8224,84,93,11,17431.04372254426,17514.047578388643,14294.19192846682,14403.55272846682
FundingPips_2step,4,4,0.806,86,95,10,21414.50472328822,21217.515779308145,16975.596718122368,17101.317718122365
FundingPips_2step,5,2,0.6682,57,66,11,11839.347890977131,12069.231355931772,7878.659192033609,8064.660392033608
FundingPips_2step,5,3,0.6572,56,65,11,17687.84605056725,17526.456608545264,11321.515883135948,11518.387283135948
FundingPips_2step,5,4,0.671,56,65,10,21224.53707134884,21415.5436776977,14170.433007735153,14369.829807735154
FundingPips_2step,6,2,0.6318,44,53,11,11797.645699812332,12067.007676272358,7418.609449868877,7623.935449868877
FundingPips_2step,6,3,0.6522,44,53,11,17154.962229345238,17322.944342112056,11096.760899925483,11298.024299925482
FundingPips_2step,6,4,0.6438,44,53,10,21333.716455896363,21431.117336952935,13584.0119415303,13797.353341530299
