entry_ts,exit_ts,direction,pnl_$,strat,cum,peak,dd,date,year
2020-12-01 19:00:00-05:00,2020-12-02 06:20:00-05:00,LONG,-335.0,OD,-335.0,-335.0,0.0,2020-12-02,2020
2020-12-02 19:00:00-05:00,2020-12-02 23:20:00-05:00,LONG,-20.0,OD,-355.0,-335.0,-20.0,2020-12-02,2020
2020-12-03 19:00:00-05:00,2020-12-04 07:20:00-05:00,LONG,310.0,OD,-45.0,-45.0,0.0,2020-12-04,2020
2020-12-07 10:25:00-05:00,2020-12-07 13:40:00-05:00,LONG,-700.0,B2,-745.0,-45.0,-700.0,2020-12-07,2020
2020-12-07 19:00:00-05:00,2020-12-08 02:00:00-05:00,LONG,-30.0,OD,-775.0,-45.0,-730.0,2020-12-08,2020
2020-12-08 19:00:00-05:00,2020-12-08 20:40:00-05:00,LONG,-870.0,OD,-1645.0,-45.0,-1600.0,2020-12-08,2020
2020-12-09 10:00:00-05:00,2020-12-09 10:20:00-05:00,LONG,-756.7308012170179,RV,-2401.730801217018,-45.0,-2356.730801217018,2020-12-09,2020
2020-12-09 11:00:00-05:00,2020-12-09 12:00:00-05:00,SHORT,994.9954702163814,RV,-1406.7353310006365,-45.0,-1361.7353310006365,2020-12-09,2020
2020-12-09 10:40:00-05:00,2020-12-09 12:20:00-05:00,SHORT,812.1876262885053,B2,-594.5477047121312,-45.0,-549.5477047121312,2020-12-09,2020
2020-12-09 14:20:00-05:00,2020-12-09 15:00:00-05:00,SHORT,20.0,RV,-574.5477047121312,-45.0,-529.5477047121312,2020-12-09,2020
2020-12-09 13:55:00-05:00,2020-12-09 15:40:00-05:00,SHORT,1427.2383262173753,B2,852.690621505244,852.690621505244,0.0,2020-12-09,2020
2020-12-09 19:00:00-05:00,2020-12-09 22:20:00-05:00,LONG,-740.0,OD,112.69062150524405,852.690621505244,-740.0,2020-12-09,2020
2020-12-10 19:00:00-05:00,2020-12-10 22:00:00-05:00,LONG,-1730.0,OD,-1617.309378494756,852.690621505244,-2470.0,2020-12-10,2020
2020-12-13 19:00:00-05:00,2020-12-14 00:40:00-05:00,LONG,-420.0,OD,-2037.309378494756,852.690621505244,-2890.0,2020-12-14,2020
2020-12-14 19:00:00-05:00,2020-12-14 21:20:00-05:00,LONG,-1140.0,OD,-3177.309378494756,852.690621505244,-4030.0,2020-12-14,2020
2020-12-15 19:00:00-05:00,2020-12-16 06:20:00-05:00,LONG,760.0,OD,-2417.309378494756,852.690621505244,-3270.0,2020-12-16,2020
2020-12-16 10:00:00-05:00,2020-12-16 11:40:00-05:00,LONG,869.2629516930901,RV,-1548.0464268016658,852.690621505244,-2400.73704830691,2020-12-16,2020
2020-12-16 19:00:00-05:00,2020-12-17 03:20:00-05:00,LONG,1315.0,OD,-233.0464268016658,852.690621505244,-1085.7370483069099,2020-12-17,2020
2020-12-17 19:00:00-05:00,2020-12-17 21:40:00-05:00,LONG,-465.0,OD,-698.0464268016658,852.690621505244,-1550.7370483069099,2020-12-17,2020
2020-12-18 11:40:00-05:00,2020-12-18 15:00:00-05:00,SHORT,585.0,RV,-113.0464268016658,852.690621505244,-965.7370483069099,2020-12-18,2020
2020-12-20 19:00:00-05:00,2020-12-21 02:00:00-05:00,LONG,-570.0,OD,-683.0464268016658,852.690621505244,-1535.7370483069099,2020-12-21,2020
2020-12-21 19:00:00-05:00,2020-12-21 23:40:00-05:00,LONG,-270.0,OD,-953.0464268016658,852.690621505244,-1805.7370483069099,2020-12-21,2020
2020-12-22 10:00:00-05:00,2020-12-22 10:20:00-05:00,LONG,-1067.5298069886412,RV,-2020.576233790307,852.690621505244,-2873.266855295551,2020-12-22,2020
2020-12-22 19:00:00-05:00,2020-12-22 19:40:00-05:00,LONG,-2690.0,OD,-4710.576233790307,852.690621505244,-5563.266855295551,2020-12-22,2020
2020-12-23 19:00:00-05:00,2020-12-24 08:00:00-05:00,LONG,265.0,OD,-4445.576233790307,852.690621505244,-5298.266855295551,2020-12-24,2020
2020-12-27 19:00:00-05:00,2020-12-28 03:00:00-05:00,LONG,810.0,OD,-3635.576233790307,852.690621505244,-4488.266855295551,2020-12-28,2020
2020-12-28 19:00:00-05:00,2020-12-29 05:00:00-05:00,LONG,505.0,OD,-3130.576233790307,852.690621505244,-3983.266855295551,2020-12-29,2020
2020-12-29 19:00:00-05:00,2020-12-30 07:00:00-05:00,LONG,935.0,OD,-2195.576233790307,852.690621505244,-3048.266855295551,2020-12-30,2020
2020-12-30 11:00:00-05:00,2020-12-30 15:00:00-05:00,SHORT,75.0,RV,-2120.576233790307,852.690621505244,-2973.266855295551,2020-12-30,2020
2020-12-30 19:00:00-05:00,2020-12-30 23:20:00-05:00,LONG,-245.0,OD,-2365.576233790307,852.690621505244,-3218.266855295551,2020-12-30,2020
2020-12-31 12:20:00-05:00,2020-12-31 15:00:00-05:00,SHORT,-520.0,RV,-2885.576233790307,852.690621505244,-3738.266855295551,2020-12-31,2020
2021-01-03 19:00:00-05:00,2021-01-04 02:00:00-05:00,LONG,3120.0,OD,234.42376620969299,852.690621505244,-618.2668552955511,2021-01-04,2021
2021-01-04 19:00:00-05:00,2021-01-04 22:40:00-05:00,LONG,130.0,OD,364.423766209693,852.690621505244,-488.26685529555107,2021-01-04,2021
2021-01-05 09:40:00-05:00,2021-01-05 14:40:00-05:00,SHORT,-1397.2406816937655,RV,-1032.8169154840725,852.690621505244,-1885.5075369893166,2021-01-05,2021
2021-01-05 19:00:00-05:00,2021-01-05 19:40:00-05:00,LONG,-365.0,OD,-1397.8169154840725,852.690621505244,-2250.5075369893166,2021-01-05,2021
2021-01-06 19:00:00-05:00,2021-01-07 02:00:00-05:00,LONG,2910.0,OD,1512.1830845159275,1512.1830845159275,0.0,2021-01-07,2021
2021-01-07 09:40:00-05:00,2021-01-07 10:20:00-05:00,LONG,1349.418586356478,RV,2861.6016708724055,2861.6016708724055,0.0,2021-01-07,2021
2021-01-07 19:00:00-05:00,2021-01-08 04:20:00-05:00,LONG,245.0,OD,3106.6016708724055,3106.6016708724055,0.0,2021-01-08,2021
2021-01-08 12:00:00-05:00,2021-01-08 13:40:00-05:00,LONG,-1300.0,B2,1806.6016708724055,3106.6016708724055,-1300.0,2021-01-08,2021
2021-01-10 19:00:00-05:00,2021-01-10 21:00:00-05:00,LONG,-865.0,OD,941.6016708724055,3106.6016708724055,-2165.0,2021-01-10,2021
2021-01-11 10:25:00-05:00,2021-01-11 14:40:00-05:00,LONG,-1130.0,B2,-188.39832912759448,3106.6016708724055,-3295.0,2021-01-11,2021
2021-01-11 19:00:00-05:00,2021-01-11 23:20:00-05:00,LONG,-1150.0,OD,-1338.3983291275945,3106.6016708724055,-4445.0,2021-01-11,2021
2021-01-12 09:40:00-05:00,2021-01-12 10:00:00-05:00,SHORT,1048.8898913986486,RV,-289.50843772894586,3106.6016708724055,-3396.1101086013514,2021-01-12,2021
2021-01-12 11:20:00-05:00,2021-01-12 12:20:00-05:00,SHORT,1411.7214078343022,RV,1122.2129701053564,3106.6016708724055,-1984.3887007670492,2021-01-12,2021
2021-01-12 12:40:00-05:00,2021-01-12 14:20:00-05:00,SHORT,-1703.353944428236,RV,-581.1409743228796,3106.6016708724055,-3687.742645195285,2021-01-12,2021
2021-01-12 19:00:00-05:00,2021-01-13 05:20:00-05:00,LONG,-330.0,OD,-911.1409743228796,3106.6016708724055,-4017.742645195285,2021-01-13,2021
2021-01-13 10:00:00-05:00,2021-01-13 11:20:00-05:00,LONG,1286.578493928173,RV,375.43751960529335,3106.6016708724055,-2731.164151267112,2021-01-13,2021
2021-01-13 13:05:00-05:00,2021-01-13 16:20:00-05:00,LONG,-210.0,B2,165.43751960529335,3106.6016708724055,-2941.164151267112,2021-01-13,2021
2021-01-13 19:00:00-05:00,2021-01-13 21:40:00-05:00,LONG,-380.0,OD,-214.56248039470665,3106.6016708724055,-3321.164151267112,2021-01-13,2021
2021-01-14 19:00:00-05:00,2021-01-14 22:40:00-05:00,LONG,-625.0,OD,-839.5624803947067,3106.6016708724055,-3946.164151267112,2021-01-14,2021
