date,n_trades,total_mae_nq,total_pnl_nq,worst_single_mae_nq,od_mae,rv_mae,b2_mae,od_pnl,rv_pnl,b2_pnl
2020-12-02,2,-1385.0,-355.0,-795.0,-1385.0,0.0,0.0,-355.0,0.0,0.0
2020-12-04,1,-205.0,310.0,-205.0,-205.0,0.0,0.0,310.0,0.0,0.0
2020-12-07,1,-740.0,-700.0,-740.0,0.0,0.0,-740.0,0.0,0.0,-700.0
2020-12-08,2,-1210.0,-900.0,-920.0,-1210.0,0.0,0.0,-900.0,0.0,0.0
2020-12-09,6,-3600.0,1757.690621505244,-1460.0,-765.0,-2295.0,-540.0,-740.0,258.2646689993635,2239.4259525058806
2020-12-10,1,-1930.0,-1730.0,-1930.0,-1930.0,0.0,0.0,-1730.0,0.0,0.0
2020-12-14,2,-1160.0,-1560.0,-910.0,-1160.0,0.0,0.0,-1560.0,0.0,0.0
2020-12-16,2,-920.0,1629.2629516930901,-655.0,-265.0,-655.0,0.0,760.0,869.2629516930901,0.0
2020-12-17,2,-750.0,850.0,-590.0,-750.0,0.0,0.0,850.0,0.0,0.0
2020-12-18,1,-740.0,585.0,-740.0,0.0,-740.0,0.0,0.0,585.0,0.0
2020-12-21,2,-985.0,-840.0,-530.0,-985.0,0.0,0.0,-840.0,0.0,0.0
2020-12-22,2,-2555.0,-3757.529806988641,-1310.0,-1310.0,-1245.0,0.0,-2690.0,-1067.5298069886412,0.0
2020-12-24,1,-495.0,265.0,-495.0,-495.0,0.0,0.0,265.0,0.0,0.0
2020-12-28,1,-170.0,810.0,-170.0,-170.0,0.0,0.0,810.0,0.0,0.0
2020-12-29,1,-350.0,505.0,-350.0,-350.0,0.0,0.0,505.0,0.0,0.0
2020-12-30,3,-1120.0,765.0,-460.0,-675.0,-445.0,0.0,690.0,75.0,0.0
2020-12-31,1,-695.0,-520.0,-695.0,0.0,-695.0,0.0,0.0,-520.0,0.0
2021-01-04,2,-1280.0,3250.0,-900.0,-1280.0,0.0,0.0,3250.0,0.0,0.0
2021-01-05,2,-1930.0,-1762.2406816937655,-1560.0,-370.0,-1560.0,0.0,-365.0,-1397.2406816937655,0.0
2021-01-07,2,-2060.0,4259.418586356478,-1520.0,-540.0,-1520.0,0.0,2910.0,1349.418586356478,0.0
2021-01-08,2,-2090.0,-1055.0,-1675.0,-415.0,0.0,-1675.0,245.0,0.0,-1300.0
2021-01-10,1,-585.0,-865.0,-585.0,-585.0,0.0,0.0,-865.0,0.0,0.0
2021-01-11,2,-2510.0,-2280.0,-1260.0,-1260.0,0.0,-1250.0,-1150.0,0.0,-1130.0
2021-01-12,3,-2295.0,757.2573548047149,-1705.0,0.0,-2295.0,0.0,0.0,757.2573548047149,0.0
2021-01-13,4,-2760.0,366.578493928173,-1130.0,-1370.0,-1015.0,-375.0,-710.0,1286.578493928173,-210.0
2021-01-14,1,-970.0,-625.0,-970.0,-970.0,0.0,0.0,-625.0,0.0,0.0
2021-01-15,1,-245.0,1562.800495467818,-245.0,0.0,-245.0,0.0,0.0,1562.800495467818,0.0
2021-01-18,2,-1430.0,4255.0,-1000.0,-1430.0,0.0,0.0,4255.0,0.0,0.0
2021-01-20,2,-1745.0,2134.2457527784427,-1255.0,-490.0,-1255.0,0.0,1060.0,1074.2457527784427,0.0
2021-01-21,3,-2080.0,525.0,-1340.0,-740.0,-1340.0,0.0,-155.0,680.0,0.0
2021-01-25,4,-3830.0,5588.227673524744,-1225.0,-1405.0,0.0,-2425.0,1430.0,0.0,4158.227673524744
2021-01-27,4,-4100.0,4314.054448391871,-1260.0,-1995.0,-845.0,-1260.0,-465.0,2507.3424273691853,2271.7120210226853
2021-01-28,2,-2020.0,-510.0,-1215.0,-1215.0,0.0,-805.0,-1555.0,0.0,1045.0
2021-01-31,1,-2270.0,4420.0,-2270.0,-2270.0,0.0,0.0,4420.0,0.0,0.0
2021-02-01,1,-300.0,2375.0,-300.0,-300.0,0.0,0.0,2375.0,0.0,0.0
2021-02-02,1,-1260.0,1192.9116718387377,-1260.0,0.0,-1260.0,0.0,0.0,1192.9116718387377,0.0
2021-02-03,3,-2910.0,-256.9908766575463,-2010.0,-900.0,-2010.0,0.0,1030.0,-1286.9908766575463,0.0
2021-02-05,2,-1650.0,2464.299177291832,-1000.0,-1000.0,-650.0,0.0,1300.0,1164.2991772918322,0.0
2021-02-08,3,-2005.0,-627.7202164527989,-1205.0,-360.0,-1645.0,0.0,420.0,-1047.720216452799,0.0
2021-02-09,3,-2035.0,-992.6839968289642,-1085.0,-330.0,-1085.0,-620.0,-35.0,-842.6839968289642,-115.0
2021-02-10,3,-620.0,5147.830864663629,-300.0,-280.0,-300.0,-40.0,3070.0,-95.0,2172.8308646636287
2021-02-11,3,-2715.0,755.0,-2010.0,-565.0,0.0,-2150.0,1355.0,0.0,-600.0
2021-02-12,2,-825.0,129.64565001057053,-665.0,-665.0,0.0,-160.0,-675.0,0.0,804.6456500105705
2021-02-15,1,-1180.0,-320.0,-1180.0,-1180.0,0.0,0.0,-320.0,0.0,0.0
2021-02-16,3,-1020.0,1473.1288313823097,-510.0,-245.0,-775.0,0.0,305.0,1168.1288313823097,0.0
2021-02-17,5,-3375.0,1720.5244654803028,-1830.0,-960.0,-2415.0,0.0,-180.0,1900.5244654803025,0.0
2021-02-18,1,-570.0,-1840.0,-570.0,-570.0,0.0,0.0,-1840.0,0.0,0.0
2021-02-21,1,-795.0,-720.0,-795.0,-795.0,0.0,0.0,-720.0,0.0,0.0
2021-02-22,2,-2010.0,4345.0,-1120.0,-890.0,-1120.0,0.0,4290.0,55.0,0.0
2021-02-23,2,-3200.0,-2751.854474123611,-2960.0,-240.0,-2960.0,0.0,-160.0,-2591.854474123611,0.0
2021-02-25,3,-2890.0,2745.0,-1940.0,-2470.0,-420.0,0.0,880.0,1865.0,0.0
2021-02-26,1,-3245.0,-3645.0,-3245.0,0.0,0.0,-3245.0,0.0,0.0,-3645.0
2021-03-01,2,-1490.0,1295.0,-780.0,-1490.0,0.0,0.0,1295.0,0.0,0.0
2021-03-02,1,-725.0,255.0,-725.0,0.0,-725.0,0.0,0.0,255.0,0.0
2021-03-03,5,-4080.0,6041.641796551885,-1855.0,-1935.0,-1855.0,-290.0,2620.0,2056.641796551885,1365.0
2021-03-04,1,-2440.0,2996.6376132741425,-2440.0,0.0,-2440.0,0.0,0.0,2996.6376132741425,0.0
2021-03-05,1,-3090.0,400.0,-3090.0,-3090.0,0.0,0.0,400.0,0.0,0.0
2021-03-07,1,-755.0,-1065.0,-755.0,-755.0,0.0,0.0,-1065.0,0.0,0.0
2021-03-09,5,-6680.0,2474.2037056112167,-2420.0,-2505.0,-2420.0,-1755.0,-10.0,1953.2608987806448,530.9428068305715
2021-03-11,2,-2020.0,3470.0,-1640.0,-2020.0,0.0,0.0,3470.0,0.0,0.0
2021-03-14,1,-1280.0,140.0,-1280.0,-1280.0,0.0,0.0,140.0,0.0,0.0
2021-03-16,2,-1815.0,620.0,-1350.0,-1815.0,0.0,0.0,620.0,0.0,0.0
2021-03-17,3,-3915.0,4135.3375084902655,-2565.0,-500.0,-3415.0,0.0,250.0,3885.3375084902655,0.0
2021-03-18,1,-700.0,-265.0,-700.0,-700.0,0.0,0.0,-265.0,0.0,0.0
2021-03-19,1,-1525.0,-1160.0,-1525.0,0.0,-1525.0,0.0,0.0,-1160.0,0.0
2021-03-22,4,-3915.0,6921.347405583983,-1400.0,-1680.0,-1175.0,-1060.0,3360.0,1204.8592483344328,2356.48815724955
2021-03-23,2,-1960.0,-950.0,-1700.0,-260.0,-1700.0,0.0,680.0,-1630.0,0.0
2021-03-24,3,-4650.0,-4525.766165905043,-2700.0,-380.0,-1570.0,-2700.0,-445.0,-1550.7661659050427,-2530.0
2021-03-25,2,-3645.0,-1295.2051415959795,-2490.0,0.0,-1155.0,-2490.0,0.0,1569.7948584040205,-2865.0
2021-03-26,2,-2795.0,914.9783273029971,-1785.0,-1010.0,-1785.0,0.0,2660.0,-1745.021672697003,0.0
2021-03-28,1,-1355.0,-1600.0,-1355.0,-1355.0,0.0,0.0,-1600.0,0.0,0.0
2021-03-29,1,-1420.0,-1520.0,-1420.0,-1420.0,0.0,0.0,-1520.0,0.0,0.0
2021-03-30,1,-335.0,10.0,-335.0,-335.0,0.0,0.0,10.0,0.0,0.0
