firm,mnq,bust_rate,dll_share_of_busts,any_payout_rate,ge6_payouts_rate,median_payouts,mean_payouts,median_total_$,mean_total_$,p25_total_$,p75_total_$,avg_per_payout_$,median_days_to_1st,p25_days_to_1st,p75_days_to_1st
FTMO_biweekly_80,1,0.0,0.0,0.9982,0.9616,13,12.8924,8189.0732686652445,8203.748285162917,5988.18360256395,10347.530080350793,631.8651013280344,9,9,19
FTMO_biweekly_80,2,0.0112,0.0,0.9984,0.9676,13,13.1398,16409.735960164893,16462.262203959293,12172.82781008193,20488.003459381925,1248.5513807936027,9,9,19
FTMO_biweekly_80,3,0.0998,0.0,0.9902,0.9284,13,12.8136,24136.277250109564,23986.522366002853,17399.45077507628,30459.854580406893,1861.7277164634993,9,9,19
FTMO_biweekly_80,4,0.2614,0.0,0.978,0.8684,13,12.3102,31732.32342141377,30731.501199958122,21092.535165092788,40889.3449872546,2484.741183183147,9,9,19
FTMO_biweekly_80,5,0.6412,0.5545851528384279,0.9388,0.6682,10,9.4232,28929.459512640522,29599.65868428557,11232.476642011128,45628.99795403343,3137.341176226589,9,9,19
FP_biweekly_80,1,0.0,0.0,0.9892,0.1128,4,3.7148,7663.335024075437,7691.935721469156,5589.149199725554,9806.61640273617,2072.1655574476626,49,29,79
FP_biweekly_80,2,0.009,0.0,0.995,0.6298,6,6.3164,16075.046055118986,16158.40645339549,11737.843900627699,20349.8750222414,2560.599548974285,29,19,49
FP_biweekly_80,3,0.0904,0.0,0.9852,0.7912,8,7.838,24054.29266334381,23938.33350056397,17549.203191363296,30371.872517258053,3061.7116324717495,19,9,39
FP_biweekly_80,4,0.244,0.0,0.9682,0.793,9,8.4268,31359.98309089888,30516.766727428032,21269.346197713887,40381.20199839168,3626.9796754291056,19,9,29
FP_biweekly_80,5,0.6424,0.5547945205479452,0.9184,0.5898,7,7.0028,28784.75270937071,29518.457628532014,11361.462225618141,45164.60899681169,4202.0296277735715,9,9,19
FP_monthly_100,1,0.0,0.0,0.9838,0.0352,3,3.1518,9125.62846745726,9215.589452345892,6430.121471744074,11898.843505252811,2940.517519353803,65,43,87
FP_monthly_100,2,0.0072,0.0,0.9914,0.36,5,4.8294,19075.974821007745,19253.143370787428,13848.894226080738,24501.741300516445,3991.649302933795,43,21,65
FP_monthly_100,3,0.0654,0.0,0.9842,0.5442,6,5.5938,29093.808098019676,28931.329673646487,20945.74391619268,37058.115275568125,5163.921255861369,21,21,43
FP_monthly_100,4,0.2014,0.0,0.9624,0.6044,6,5.7862,38186.50018548602,37284.487708594505,25813.065982798125,49413.052100215304,6428.286025957586,21,21,43
FP_monthly_100,5,0.58,0.6424137931034483,0.889,0.4502,5,4.7196,36890.53910996718,36635.36639609178,14390.319905117023,55481.2272218219,7728.969543071311,21,21,43
FP_ondemand_90,1,0.0,0.0,0.991,0.2602,4,4.3808,8177.736139168632,8596.141231212121,5920.360569199899,11288.601021788681,1961.3296462745993,40,23,70
FP_ondemand_90,2,0.0106,0.0,0.997,0.8316,9,8.6046,18248.253072713742,18277.252368192814,13570.503691276785,22896.370461763887,2124.4090555896805,17,8,35
FP_ondemand_90,3,0.1066,0.0,0.9916,0.9024,12,12.024,27594.128589599328,27480.68723316442,20141.05182918917,35044.88145140215,2284.748680535319,10,4,22
FP_ondemand_90,4,0.3056,0.0,0.977,0.867,15,14.0298,35727.9582285406,34370.97507768817,23174.13857624735,46460.20621418635,2447.5581494578887,7,3,16
FP_ondemand_90,5,0.6946,0.4693348689893464,0.9474,0.7188,12,12.7708,30832.581974418015,33296.33385943171,11932.1753900736,51650.97476055128,2605.887021348209,5,2,12
