mnq,bust%,by_PT%,by_DD%,by_DAY%,payout%,d_pay_med,d_pay_p25,d_pay_p75,avg_life_d,accts/yr,payouts/yr,trader_$/yr,fees_$/yr,NET_$/yr,account
1,0.0,0.0,0.0,0.0,99.96000000000001,1,1,3,252.0,1.0,49.9872,11036.751985655406,0.0,11036.751985655406,200K
2,0.12,0.0,0.12,0.0,99.96000000000001,1,1,4,251.9734,1.000105566698707,49.92466982625944,22003.37757330036,0.0,22003.37757330036,200K
3,31.04,29.62,1.4200000000000002,0.0,99.4,1,1,3,211.3948,1.1920823028759457,51.756875760425515,34260.171671943775,118.01614798471863,34142.15552395906,200K
4,47.74,39.7,8.04,0.0,99.02,1,1,3,188.6368,1.33590052418192,53.10551917759419,46936.33989281953,132.25415189401008,46804.08574092552,200K
5,84.88,74.98,9.9,0.0,97.04,1,1,3,116.2278,2.1681559833361725,56.55331340694739,61365.895616805814,214.64744235028107,61151.24817445553,200K
6,98.44000000000001,90.56,7.88,0.0,94.08,1,1,3,63.423,3.973321980984816,63.84413225486022,83145.4746308556,393.3588761174968,82752.11575473812,200K
7,100.0,95.46,4.54,0.0,91.03999999999999,1,1,3,34.4392,7.317243141536389,72.96023136425934,111797.19044629109,724.4070710121025,111072.78337527899,200K
8,100.0,95.82000000000001,4.18,0.0,89.14,1,1,2,23.4982,10.724225685371644,78.48631810096091,137763.96090143477,1061.6983428517929,136702.26255858297,200K
9,100.0,98.3,1.7000000000000002,0.0,84.02,1,1,2,16.099,15.653146158146468,88.1366047580595,172910.5808978674,1549.6614696565002,171360.91942821088,200K
10,100.0,98.48,1.52,0.0,80.82000000000001,1,1,2,11.9508,21.08645446329953,91.07661411788332,198668.84628831485,2087.5589918666533,196581.2872964482,200K
1,0.0,0.0,0.0,0.0,99.96000000000001,1,1,3,252.0,1.0,49.9872,11036.75198565545,0.0,11036.75198565545,300K
2,0.0,0.0,0.0,0.0,99.98,1,1,4,252.0,1.0,49.843,21973.64389099002,0.0,21973.64389099002,300K
3,0.04,0.0,0.04,0.0,99.98,1,1,3,251.9636,1.000144465311656,50.19104981830708,33226.841399386336,0.0,33226.841399386336,300K
4,0.7000000000000001,0.0,0.7000000000000001,0.0,99.96000000000001,1,1,3,251.3996,1.0023882297346536,50.010351647337544,44136.501149725365,0.0,44136.501149725365,300K
5,4.04,0.0,4.04,0.0,99.94,1,1,3,248.3692,1.014618559789217,50.167205917641965,55384.006052759454,100.44723741913248,55283.55881534032,300K
6,38.46,28.98,9.48,0.0,99.03999999999999,1,1,3,203.3534,1.2392219653076861,52.52690144349689,69665.25851241432,122.68297456546092,69542.57553784887,300K
7,47.54,27.42,20.119999999999997,0.0,99.02,1,1,4,192.2684,1.3106677956440058,54.02677507068243,83469.75600263786,129.75611176875657,83339.9998908691,300K
8,65.92,35.54,30.380000000000003,0.0,98.4,1,1,4,162.759,1.5483014764160508,55.72398945680423,98974.1970204414,153.28184616518902,98820.9151742762,300K
9,83.0,46.12,36.88,0.0,97.88,1,1,3,127.4234,1.9776587345809324,58.75268121867726,116865.7954326624,195.7882147235123,116670.0072179389,300K
10,92.5,60.760000000000005,31.740000000000002,0.0,97.3,1,1,3,97.235,2.591659381909806,61.035651771481454,131915.3879682002,256.5742788090708,131658.81368939113,300K
