mnq,p1_pass%,p2_pass%,overall%,p1_days_med,p1_days_p25,p1_days_p75,p2_days_med,total_days_med,attempts_to_fund,cost_to_fund_$,account
1,80.97999999999999,94.9864163991109,76.92,145,108,188,91,246,1.3000520020800832,650.0260010400416,100K
2,96.46000000000001,98.38274932614554,94.89999999999999,74,49,113,43,131,1.053740779768177,526.8703898840885,100K
3,96.56,96.74813587406794,93.42,47,28,76,27,84,1.070434596446157,535.2172982230785,100K
4,91.46,92.73999562650339,84.82,32,19,54,18,57,1.1789672247111531,589.4836123555766,100K
5,87.53999999999999,90.49577336074937,79.22,23,13,40,13,42,1.2623074981065388,631.1537490532694,100K
6,81.46,85.21973974957035,69.42,17,10,30,10,32,1.4405070584845865,720.2535292422932,100K
7,75.92,81.26975763962066,61.7,13,7,22,8,24,1.6207455429497568,810.3727714748784,100K
8,69.54,77.91199309749783,54.17999999999999,11,6,18,7,20,1.845699520118125,922.8497600590625,100K
9,66.0,74.48484848484847,49.16,9,5,14,5,16,2.034174125305126,1017.087062652563,100K
10,65.75999999999999,72.20194647201946,47.48,7,4,12,5,14,2.1061499578770007,1053.0749789385004,100K
1,21.34,67.47891283973757,14.399999999999999,215,192,235,173,383,6.944444444444445,7638.888888888889,200K
2,81.26,94.97907949790796,77.18,144,106,187,92,247,1.2956724540036277,1425.2396994039905,200K
3,93.04,98.25881341358556,91.42,98,68,142,61,172,1.0938525486764383,1203.2378035440822,200K
4,96.04,98.87546855476883,94.96,74,48,115,43,132,1.0530749789385003,1158.3824768323504,200K
5,97.0,98.0618556701031,95.12,57,36,90,33,103,1.0513036164844407,1156.4339781328847,200K
6,96.34,97.6749013909072,94.1,45,27,75,27,82,1.0626992561105209,1168.969181721573,200K
7,94.78,95.80080185693184,90.8,38,23,64,22,70,1.1013215859030836,1211.453744493392,200K
8,91.25999999999999,93.29388560157791,85.14,31,18,53,18,58,1.1745360582569884,1291.989664082687,200K
9,90.88000000000001,91.70334507042253,83.34,27,16,46,16,50,1.1999040076793857,1319.8944084473242,200K
10,87.8,90.18223234624145,79.17999999999999,23,13,39,14,43,1.2629451881788332,1389.2397069967164,200K
