mnq,lots,p1_pass%,overall%,by_PT%,by_DAY%,by_DD%,by_TO%,p1_med_d,p2_med_d,total_med,total_p25,total_p75,$/funded,account
1,0.2,81.58,77.18,0.0,0.0,0.0,22.82,146,93,248,200,300,648.0,100K
2,0.4,96.46000000000001,94.66,0.0,0.0,1.2,4.14,73,43,129,92,181,528.0,100K
3,0.6,96.34,94.1,0.0,0.0,5.24,0.66,45,27,82,55,121,531.0,100K
4,0.8,91.3,84.98,0.0,4.760000000000001,10.26,0.0,31,19,58,38,86,588.0,100K
5,1.0,86.11999999999999,76.72,6.76,3.52,13.0,0.0,23,13,42,27,63,652.0,100K
6,1.2,81.24,68.62,4.9399999999999995,11.700000000000001,14.74,0.0,17,10,32,21,47,729.0,100K
7,1.4,74.03999999999999,58.78,4.9,24.02,12.3,0.0,13,8,25,16,36,851.0,100K
8,1.6,68.38,51.72,9.34,28.16,10.780000000000001,0.0,10,6,19,12,28,967.0,100K
9,1.8,63.480000000000004,45.26,12.94,32.800000000000004,9.0,0.0,8,5,16,11,24,1105.0,100K
10,2.0,61.480000000000004,44.54,19.06,29.14,7.26,0.0,7,5,14,9,20,1123.0,100K
1,0.2,20.48,14.12,0.0,0.0,0.0,85.88,217,173,385,340,423,7790.0,200K
2,0.4,81.69999999999999,77.5,0.0,0.0,0.02,22.48,146,92,248,199,300,1419.0,200K
3,0.6,93.08,91.2,0.0,0.0,0.22,8.58,100,60,171,127,228,1206.0,200K
4,0.8,96.6,95.14,0.0,0.0,1.38,3.4799999999999995,73,44,131,92,183,1156.0,200K
5,1.0,97.46000000000001,95.74000000000001,0.0,0.0,2.86,1.4000000000000001,57,33,103,70,149,1149.0,200K
6,1.2,96.46000000000001,93.97999999999999,0.0,0.0,5.54,0.48,46,27,84,57,124,1170.0,200K
7,1.4,95.67999999999999,91.7,0.0,0.0,8.219999999999999,0.08,38,22,69,46,104,1200.0,200K
8,1.6,91.53999999999999,85.42,0.0,4.92,9.64,0.02,30,18,57,37,86,1288.0,200K
9,1.8,88.82,80.34,3.84,3.5999999999999996,12.22,0.0,27,15,49,32,73,1369.0,200K
10,2.0,86.18,76.94,6.54,3.2800000000000002,13.239999999999998,0.0,23,13,42,27,62,1430.0,200K
1,0.2,0.8200000000000001,0.08,0.0,0.0,0.0,99.92,234,216,434,426,438,2062500.0,300K
2,0.4,50.62,43.14,0.0,0.0,0.0,56.86,189,136,326,282,375,3825.0,300K
3,0.6,80.9,76.58,0.0,0.0,0.0,23.419999999999998,143,92,247,196,299,2155.0,300K
4,0.8,91.22,88.8,0.0,0.0,0.13999999999999999,11.06,113,68,193,145,249,1858.0,300K
5,1.0,95.12,93.64,0.0,0.0,0.38,5.9799999999999995,89,53,156,113,210,1762.0,300K
6,1.2,96.58,95.39999999999999,0.0,0.0,1.18,3.42,74,43,130,92,181,1730.0,300K
7,1.4,96.7,95.42,0.0,0.0,2.3,2.2800000000000002,61,36,110,76,158,1729.0,300K
8,1.6,97.6,95.8,0.0,0.0,3.2199999999999998,0.98,53,30,95,65,138,1722.0,300K
9,1.8,96.54,93.66,0.0,0.0,5.64,0.7000000000000001,47,27,85,57,126,1762.0,300K
10,2.0,95.89999999999999,92.4,0.0,0.0,7.3,0.3,40,24,73,49,108,1786.0,300K
