mnq,lots,bust%,by_PT%,by_DD%,by_DAY%,payout%,d_pay_med,d_pay_p25,d_pay_p75,avg_life_d,accts/yr,payouts/yr,trader_$/yr,NET_$/yr,account
1,0.2,0.08,0.0,0.08,0.0,100.0,1,1,4,252.0,1.0,49.6,10950.0,10950.0,100K
2,0.4,12.36,0.0,12.36,0.0,99.98,1,1,3,240.0,1.05,51.2,22655.0,22551.0,100K
3,0.6,71.98,22.259999999999998,49.72,0.0,98.6,1,1,3,154.9,1.63,57.7,38255.0,38094.0,100K
4,0.8,96.32,20.080000000000002,69.67999999999999,6.5600000000000005,97.5,1,1,3,89.5,2.81,63.9,56874.0,56595.0,100K
5,1.0,99.9,34.06,65.84,0.0,95.94,1,1,3,52.8,4.78,70.9,76753.0,76280.0,100K
6,1.2,100.0,42.02,53.400000000000006,4.58,92.86,1,1,3,31.2,8.09,79.7,103638.0,102837.0,100K
7,1.4,100.0,54.339999999999996,36.9,8.76,89.28,1,1,2,20.0,12.58,86.7,132988.0,131742.0,100K
8,1.6,100.0,59.160000000000004,33.64,7.199999999999999,87.82,1,1,2,15.0,16.83,93.3,163038.0,161371.0,100K
9,1.8,100.0,67.58,27.48,4.9399999999999995,83.58,1,1,2,10.9,23.06,97.9,196041.0,193758.0,100K
10,2.0,100.0,72.78,22.62,4.6,80.47999999999999,1,1,2,8.7,28.88,101.7,223791.0,220931.0,100K
1,0.2,0.0,0.0,0.0,0.0,99.94,1,1,4,252.0,1.0,49.6,10956.0,10956.0,200K
2,0.4,0.02,0.0,0.02,0.0,100.0,1,1,4,252.0,1.0,49.8,22052.0,22052.0,200K
3,0.6,2.02,0.0,2.02,0.0,99.98,1,1,4,250.4,1.01,50.3,33231.0,33131.0,200K
4,0.8,12.839999999999998,0.0,12.839999999999998,0.0,99.86,1,1,4,239.2,1.05,51.4,45588.0,45483.0,200K
5,1.0,34.68,0.0,34.68,0.0,99.62,1,1,3,214.6,1.17,53.9,59528.0,59412.0,200K
6,1.2,69.48,22.64,46.839999999999996,0.0,98.76,1,1,3,158.2,1.59,57.4,75991.0,75833.0,200K
7,1.4,86.22,17.4,68.82000000000001,0.0,98.36,1,1,3,126.8,1.99,60.6,93666.0,93469.0,200K
8,1.6,95.52000000000001,19.580000000000002,69.14,6.800000000000001,97.8,1,1,3,92.8,2.72,65.0,115089.0,114820.0,200K
9,1.8,99.2,24.08,70.92,4.2,96.72,1,1,3,67.8,3.72,67.6,134976.0,134608.0,200K
10,2.0,99.82,32.9,66.92,0.0,95.32000000000001,1,1,3,51.8,4.86,71.4,156022.0,155540.0,200K
1,0.2,0.0,0.0,0.0,0.0,99.94,1,1,4,252.0,1.0,49.6,10956.0,10956.0,300K
2,0.4,0.0,0.0,0.0,0.0,99.98,1,1,3,252.0,1.0,49.8,22040.0,22040.0,300K
3,0.6,0.04,0.0,0.04,0.0,100.0,1,1,4,252.0,1.0,50.0,33105.0,33105.0,300K
4,0.8,0.8200000000000001,0.0,0.8200000000000001,0.0,99.98,1,1,3,251.2,1.0,49.9,44253.0,44253.0,300K
5,1.0,3.84,0.0,3.84,0.0,99.92,1,1,4,248.6,1.01,50.6,55814.0,55714.0,300K
6,1.2,12.34,0.0,12.34,0.0,99.82,1,1,3,240.1,1.05,51.6,68290.0,68186.0,300K
7,1.4,25.919999999999998,0.0,25.919999999999998,0.0,99.7,1,1,3,224.7,1.12,53.0,82133.0,82022.0,300K
8,1.6,42.04,0.0,42.04,0.0,99.68,1,1,3,204.3,1.23,54.9,97064.0,96942.0,300K
9,1.8,71.44,22.2,49.24,0.0,98.66,1,1,3,156.3,1.61,57.1,113826.0,113666.0,300K
10,2.0,81.96,18.86,63.1,0.0,98.6,1,1,3,135.7,1.86,59.6,132239.0,132055.0,300K
