n_accounts,mnq,nas_lots,pass_rate,median_days,p25,p75,p10,p90
1,1.0,2.0,0.6625,275,228,318,186,343
1,1.5,3.0,0.9105,201,151,256,119,304
1,2.0,4.0,0.957,151,108,205,82,266
1,2.5,5.0,0.956,116,81,162,60,216
1,3.0,6.0,0.924,93,65,133,47,179
1,4.0,8.0,0.8695,63,43,95,31,128
1,5.0,10.0,0.7355,45,30,68,21,90
1,6.0,12.0,0.6905,34,23,50,16,67
1,8.0,16.0,0.587,21,15,32,10,43
1,10.0,20.0,0.512,15,11,22,7,31
2,1.0,2.0,0.106,330,303,348,269,360
2,1.5,3.0,0.6305,270,225,318,190,345
2,2.0,4.0,0.882,222,176,277,137,320
2,2.5,5.0,0.9555,178,134,230,103,288
2,3.0,6.0,0.981,141,102,190,78,244
2,4.0,8.0,0.9815,98,70,134,51,177
2,5.0,10.0,0.929,69,49,99,35,127
2,6.0,12.0,0.915,54,38,75,28,101
2,8.0,16.0,0.844,35,24,49,17,66
2,10.0,20.0,0.7545,23,16,32,12,43
3,1.0,2.0,0.0065,352,311,357,288,360
3,1.5,3.0,0.277,316,281,342,239,355
3,2.0,4.0,0.6845,271,222,314,184,343
3,2.5,5.0,0.884,220,175,274,140,322
3,3.0,6.0,0.957,180,139,234,108,290
3,4.0,8.0,0.9945,127,94,168,70,210
3,5.0,10.0,0.9825,89,65,122,48,159
3,6.0,12.0,0.977,70,52,95,38,122
3,8.0,16.0,0.9435,46,33,62,24,82
3,10.0,20.0,0.891,31,22,43,16,57
