Hola Prime $100k / $10k DD funded simulation
================================================================================

Setup: 1-year horizon, 2-day downtime per payout, no consistency rule

 mnq     schedule  bust_rate  median_payouts  mean_payouts  median_total_extracted  mean_total_extracted  p25_extracted  p75_extracted  avg_payout  per_day_mean
 0.5 on_demand_2k   0.000000               2      2.049667             4900.460467           4882.810056    3571.430662    6239.058964 2089.513369     19.376230
 0.5    bi_weekly   0.000000              15     14.410333             4325.205345           4359.912503    3130.496439    5543.534581  306.601711     17.301240
 0.5      monthly   0.000000               9      8.690000             4651.856525           4665.028893    3323.187133    6008.964238  524.239438     18.512019
 1.0 on_demand_2k   0.000333               4      4.324667             9759.102277           9686.378841    7066.672629   12342.570387 2181.761335     38.438011
 1.0    bi_weekly   0.000000              15     14.508667             8845.383348           8813.241851    6240.325081   11304.035350  614.830932     34.973182
 1.0      monthly   0.000000               9      8.686333             9181.376421           9223.795609    6571.991176   11799.969085 1043.870207     36.602364
 1.5 on_demand_2k   0.005000               6      6.278667            14170.086700          14123.770083   10397.071643   17999.961552 2271.028174     56.046707
 1.5    bi_weekly   0.003333              15     14.378333            13231.035884          13124.138426    9459.273471   16681.802231  926.347551     52.079914
 1.5      monthly   0.005667               9      8.652667            13897.095415          13807.929698    9756.019448   17706.636884 1551.528286     54.793372
 2.0 on_demand_2k   0.180000               8      7.494333            17708.668842          17369.481950   12070.568259   22701.574116 2360.325319     68.926516
 2.0    bi_weekly   0.174333              14     13.255667            16367.393902          16295.241158   10650.403394   21942.755056 1238.248488     64.663655
 2.0      monthly   0.194667               9      7.837333            17067.352978          16841.540609   10689.273635   22727.842456 2099.193065     66.831510
 2.5 on_demand_2k   0.467000               8      7.610000            18887.044405          18364.344131    8947.578731   26930.330354 2454.179674     72.874381
 2.5    bi_weekly   0.460667              13     11.202667            17475.648857          17493.904386    8810.922295   25312.746407 1567.047280     69.420255
 2.5      monthly   0.473000               8      6.469000            17697.888249          17776.434501    8344.217191   26365.568460 2680.777290     70.541407
 3.0 on_demand_2k   0.635333               7      7.715667            18268.671717          19346.404097    7681.410881   29728.065053 2540.392661     76.771445
 3.0    bi_weekly   0.601333              10      9.897000            17751.702752          18679.395995    7026.398935   28584.130451 1890.474541     74.124587
 3.0      monthly   0.654333               6      5.545667            17480.461260          18522.722911    6466.347689   28736.265506 3290.970296     73.502869
 4.0 on_demand_2k   0.885000               5      6.700667            13788.525497          18075.020793    4859.985191   28002.040643 2718.035345     71.726273
 4.0    bi_weekly   0.868000               5      6.817667            13728.749206          17702.834797    4485.845637   27543.698964 2616.832713     70.249344
 4.0      monthly   0.889000               3      3.534333            11332.250087          16249.633280    1459.271640   25544.748380 4545.474515     64.482672
