mnq,mode,bust_rate,any_payout_rate,graduate_rate,median_payouts,mean_payouts,p10_payouts,p90_payouts,median_total_$,mean_total_$,p25_total_$,p75_total_$,avg_per_payout_$,median_days_to_first_payout,p25_days_to_first,p75_days_to_first
1,stagger,0.33,0.7808,0.183,4,3.1202,0,6,4050.0,3159.54,1350.0,4950.0,1054.5530225409836,51,34,74
1,buffer2k,0.4008,0.7766,0.5678,6,4.0528,0,6,4727.054068917929,3820.751029217157,1073.3720430466676,5734.293669591006,948.3294446272324,52,35,74
2,stagger,0.5952,0.602,0.386,1,2.7026,0,6,1350.0,2703.24,0.0,5850.0,1069.9310631229237,18,11,26
2,buffer2k,0.7164,0.5896,0.2836,2,2.5074,0,6,1742.9368389085153,3275.098199218215,0.0,6724.399237625928,1280.7419816466781,17,12,26
3,stagger,0.6784,0.5382,0.3184,1,2.266,0,6,1350.0,2281.59,0.0,5850.0,1088.8628762541805,10,7,15
3,buffer2k,0.796,0.5248,0.204,1,1.9726,0,6,1033.4533590080714,3055.680277907468,0.0,6321.386002664184,1486.3047724829594,10,7,14
4,stagger,0.7206,0.4996,0.2788,0,2.0354,0,6,0.0,2056.68,0.0,5850.0,1095.9127301841472,8,6,11
4,buffer2k,0.7954,0.4946,0.2046,0,1.841,0,6,0.0,3069.5400541841896,0.0,5906.118201369041,1597.2210687779377,8,6,10
5,stagger,0.7302,0.4708,0.2692,0,1.9434,0,6,0.0,1960.92,0.0,5850.0,1093.5662701784197,7,6,9
5,buffer2k,0.787,0.472,0.213,0,1.79,0,6,0.0,3089.1404474137535,0.0,5400.0,1669.145905239474,7,6,9
