n_accounts,base_mnq,payout_prob,p_payout_by_30,p_payout_by_60,p_payout_by_90,p_payout_by_180,p_payout_by_365,p_blowup,median_days,p25_days,p75_days
1,1,0.773,0.0368,0.2648,0.4954,0.7496,0.773,0.227,75,52,106
1,2,0.571,0.3554,0.5462,0.5678,0.571,0.571,0.429,26,17,36
1,3,0.4764,0.451,0.4758,0.4764,0.4764,0.4764,0.5236,13,9,19
1,4,0.4662,0.4636,0.4662,0.4662,0.4662,0.4662,0.5338,8,6,13
1,5,0.4454,0.445,0.4454,0.4454,0.4454,0.4454,0.5546,6,4,9
1,6,0.439,0.439,0.439,0.439,0.439,0.439,0.561,5,3,7
1,7,0.4474,0.4474,0.4474,0.4474,0.4474,0.4474,0.5526,4,3,6
1,8,0.4254,0.4254,0.4254,0.4254,0.4254,0.4254,0.5746,3,2,5
1,9,0.4238,0.4238,0.4238,0.4238,0.4238,0.4238,0.5762,3,2,4
1,10,0.4314,0.4314,0.4314,0.4314,0.4314,0.4314,0.5686,2,2,4
2,1,0.9432,0.0012,0.0796,0.2824,0.8138,0.9432,0.0568,113,84,151
2,2,0.8022,0.2646,0.681,0.7862,0.8022,0.8022,0.1978,38,27,52
2,3,0.7286,0.5936,0.7256,0.7286,0.7286,0.7286,0.2714,20,14,27
2,4,0.6946,0.6742,0.6946,0.6946,0.6946,0.6946,0.3054,13,9,18
2,5,0.6888,0.6862,0.6888,0.6888,0.6888,0.6888,0.3112,9,6,13
2,6,0.6658,0.6648,0.6658,0.6658,0.6658,0.6658,0.3342,7,5,10
2,7,0.6694,0.6694,0.6694,0.6694,0.6694,0.6694,0.3306,6,4,8
2,8,0.6742,0.6742,0.6742,0.6742,0.6742,0.6742,0.3258,5,3,7
2,9,0.6722,0.6722,0.6722,0.6722,0.6722,0.6722,0.3278,4,3,6
2,10,0.6674,0.6674,0.6674,0.6674,0.6674,0.6674,0.3326,4,2,5
3,1,0.9846,0.0,0.0138,0.1068,0.6846,0.9846,0.0154,149,113,192
3,2,0.911,0.115,0.6002,0.8416,0.9108,0.911,0.089,51,38,67
3,3,0.8666,0.5356,0.8472,0.8656,0.8666,0.8666,0.1334,26,19,35
3,4,0.832,0.7548,0.8308,0.832,0.832,0.832,0.168,17,12,23
3,5,0.814,0.8,0.814,0.814,0.814,0.814,0.186,12,9,17
3,6,0.8076,0.8046,0.8076,0.8076,0.8076,0.8076,0.1924,9,6,13
3,7,0.7976,0.797,0.7976,0.7976,0.7976,0.7976,0.2024,8,5,11
3,8,0.8094,0.8094,0.8094,0.8094,0.8094,0.8094,0.1906,6,4,9
3,9,0.8046,0.8046,0.8046,0.8046,0.8046,0.8046,0.1954,5,4,8
3,10,0.8118,0.8118,0.8118,0.8118,0.8118,0.8118,0.1882,5,3,7
