entry_ts,entry,qty,exit_ts,exit,reason,pnl_points,gross_dollars,net_dollars
2020-12-01 10:20:00-05:00,12425.0,1,2020-12-01 10:40:00-05:00,12361.25,SL,-63.75,-1275.0,-1290.0
2020-12-02 10:45:00-05:00,12435.5,1,2020-12-02 14:00:00-05:00,12424.0,EOD,-11.5,-230.0,-245.0
2020-12-03 10:25:00-05:00,12535.5,1,2020-12-03 11:10:00-05:00,12462.0,SL,-73.5,-1470.0,-1485.0
2020-12-07 10:25:00-05:00,12593.75,1,2020-12-07 14:00:00-05:00,12569.5,EOD,-24.25,-485.0,-500.0
2020-12-08 13:10:00-05:00,12615.25,1,2020-12-08 14:00:00-05:00,12630.0,EOD,14.75,295.0,280.0
2020-12-14 10:15:00-05:00,12528.25,1,2020-12-14 14:00:00-05:00,12517.25,EOD,-11.0,-220.0,-235.0
2020-12-15 09:35:00-05:00,12565.25,1,2020-12-15 09:40:00-05:00,12545.5,SL,-19.75,-395.0,-410.0
2020-12-16 11:55:00-05:00,12653.0,1,2020-12-16 14:00:00-05:00,12645.5,EOD,-7.5,-150.0,-165.0
2020-12-17 09:35:00-05:00,12756.25,1,2020-12-17 10:05:00-05:00,12724.25,SL,-32.0,-640.0,-655.0
2020-12-21 12:55:00-05:00,12646.5,1,2020-12-21 14:00:00-05:00,12687.5,EOD,41.0,820.0,805.0
2020-12-24 10:30:00-05:00,12710.75,1,2020-12-27 18:05:00-05:00,12660.0,SL,-50.75,-1015.0,-1030.0
2021-01-05 09:45:00-05:00,12747.75,1,2021-01-05 14:00:00-05:00,12751.75,EOD,4.0,80.0,65.0
2021-01-06 10:25:00-05:00,12701.75,1,2021-01-06 14:00:00-05:00,12769.5,EOD,67.75,1355.0,1340.0
2021-01-07 10:05:00-05:00,12871.5,1,2021-01-07 14:00:00-05:00,12912.75,EOD,41.25,825.0,810.0
2021-01-13 09:35:00-05:00,12902.0,1,2021-01-13 14:00:00-05:00,12978.0,EOD,76.0,1520.0,1505.0
2021-01-14 10:35:00-05:00,12999.75,1,2021-01-14 12:10:00-05:00,12966.5,SL,-33.25,-665.0,-680.0
2021-01-19 12:40:00-05:00,12931.25,1,2021-01-19 14:00:00-05:00,12988.75,EOD,57.5,1150.0,1135.0
2021-01-20 09:35:00-05:00,13144.0,1,2021-01-20 14:00:00-05:00,13280.5,EOD,136.5,2730.0,2715.0
2021-01-21 11:00:00-05:00,13385.75,1,2021-01-21 14:00:00-05:00,13365.0,EOD,-20.75,-415.0,-430.0
2021-01-22 09:35:00-05:00,13347.75,1,2021-01-22 14:00:00-05:00,13357.5,EOD,9.75,195.0,180.0
2021-01-25 10:20:00-05:00,13532.0,1,2021-01-25 10:50:00-05:00,13479.5,SL,-52.5,-1050.0,-1065.0
2021-01-26 09:35:00-05:00,13501.75,1,2021-01-26 09:40:00-05:00,13462.75,SL,-39.0,-780.0,-795.0
2021-01-28 09:35:00-05:00,13162.75,1,2021-01-28 14:00:00-05:00,13376.5,EOD,213.75,4275.0,4260.0
2021-02-01 10:45:00-05:00,13116.0,1,2021-02-01 14:00:00-05:00,13261.25,EOD,145.25,2905.0,2890.0
2021-02-02 09:50:00-05:00,13414.75,1,2021-02-02 14:00:00-05:00,13471.5,EOD,56.75,1135.0,1120.0
2021-02-04 13:15:00-05:00,13497.5,1,2021-02-04 14:00:00-05:00,13495.25,EOD,-2.25,-45.0,-60.0
2021-02-08 11:00:00-05:00,13673.0,1,2021-02-08 11:15:00-05:00,13650.25,SL,-22.75,-455.0,-470.0
2021-02-09 10:00:00-05:00,13704.0,1,2021-02-09 14:00:00-05:00,13671.75,EOD,-32.25,-645.0,-660.0
2021-02-12 12:05:00-05:00,13748.25,1,2021-02-12 14:00:00-05:00,13721.75,EOD,-26.5,-530.0,-545.0
2021-02-22 10:05:00-05:00,13436.0,1,2021-02-22 10:20:00-05:00,13388.25,SL,-47.75,-955.0,-970.0
2021-02-23 11:05:00-05:00,13117.5,1,2021-02-23 11:55:00-05:00,12969.75,SL,-147.75,-2955.0,-2970.0
2021-02-26 12:10:00-05:00,13052.25,1,2021-02-26 14:00:00-05:00,12955.75,EOD,-96.5,-1930.0,-1945.0
