ts_et,strat,event,direction,price,qty,reason
2026-05-19 13:20:00 EDT,B2,ENTRY,LONG,29101.75,1,
2026-05-19 15:00:00 EDT,B2,EXIT,LONG,28959.50,1,SL_TRAIL
2026-05-20 10:55:00 EDT,B2,ENTRY,LONG,29244.25,1,
2026-05-20 11:20:00 EDT,B2,EXIT,LONG,29369.48,1,TP_FIXED
2026-05-29 11:15:00 EDT,B2,ENTRY,LONG,30427.00,1,
2026-05-29 16:20:00 EDT,B2,EXIT,LONG,30384.50,1,FORCE_CLOSE
2026-06-02 11:10:00 EDT,B2,ENTRY,LONG,30653.75,1,
2026-06-02 16:20:00 EDT,B2,EXIT,LONG,30757.25,1,FORCE_CLOSE
2026-06-03 14:20:00 EDT,B2,ENTRY,LONG,30639.25,1,
2026-06-03 16:20:00 EDT,B2,EXIT,LONG,30574.00,1,FORCE_CLOSE
2026-06-09 12:10:00 EDT,B2,ENTRY,SHORT,28608.75,1,
2026-06-09 12:40:00 EDT,B2,EXIT,SHORT,28315.67,1,TP_FIXED
2026-06-18 12:25:00 EDT,B2,ENTRY,LONG,30672.00,1,
2026-06-18 16:20:00 EDT,B2,EXIT,LONG,30728.25,1,FORCE_CLOSE
2026-06-30 10:25:00 EDT,B2,ENTRY,LONG,30411.00,1,
2026-06-30 15:00:00 EDT,B2,EXIT,LONG,30570.76,1,TP_FIXED
2026-07-07 10:05:00 EDT,B2,ENTRY,SHORT,29443.25,1,
2026-07-07 10:40:00 EDT,B2,EXIT,SHORT,29295.39,1,TP_FIXED
2026-07-07 11:20:00 EDT,B2,ENTRY,SHORT,29280.50,1,
2026-07-07 12:40:00 EDT,B2,EXIT,SHORT,29514.50,1,SL_TRAIL
2026-07-28 13:20:00 EDT,B2,ENTRY,LONG,27993.25,1,
2026-07-28 16:20:00 EDT,B2,EXIT,LONG,27948.00,1,FORCE_CLOSE
2026-07-29 11:40:00 EDT,B2,ENTRY,SHORT,27535.25,1,
2026-07-29 13:20:00 EDT,B2,EXIT,SHORT,27715.50,1,SL_TRAIL
2026-07-31 12:10:00 EDT,B2,ENTRY,SHORT,28274.75,1,
2026-07-31 16:20:00 EDT,B2,EXIT,SHORT,28382.00,1,FORCE_CLOSE
2026-08-03 13:10:00 EDT,B2,ENTRY,LONG,28837.25,1,
2026-08-03 14:40:00 EDT,B2,EXIT,LONG,28889.75,1,SL_TRAIL
2026-08-05 10:00:00 EDT,B2,ENTRY,LONG,30048.75,1,
2026-08-05 10:40:00 EDT,B2,EXIT,LONG,29840.75,1,SL_TRAIL
2026-08-13 12:05:00 EDT,B2,ENTRY,LONG,30149.50,1,
2026-08-13 15:20:00 EDT,B2,EXIT,LONG,30272.30,1,TP_FIXED
