ts_et,strat,event,direction,price,qty,reason
2026-05-19 20:00:00 EDT,OD,EXIT,LONG,28825.25,1,SL_YELLOW
2026-05-20 19:00:00 EDT,OD,ENTRY,LONG,29204.00,2,
2026-05-20 22:00:00 EDT,OD,EXIT,LONG,29355.75,2,TP_GREEN
2026-05-21 19:00:00 EDT,OD,ENTRY,LONG,29537.50,1,
2026-05-22 03:20:00 EDT,OD,EXIT,LONG,29539.50,1,SL_YELLOW
2026-05-24 19:00:00 EDT,OD,ENTRY,LONG,29817.00,1,
2026-05-24 22:40:00 EDT,OD,EXIT,LONG,29957.00,1,TP_GREEN
2026-05-25 19:00:00 EDT,OD,ENTRY,LONG,29865.75,1,
2026-05-25 20:00:00 EDT,OD,EXIT,LONG,29824.00,1,SL_YELLOW
2026-05-26 19:00:00 EDT,OD,ENTRY,LONG,30052.50,1,
2026-05-27 19:00:00 EDT,OD,ENTRY,LONG,30070.00,1,
2026-05-27 22:20:00 EDT,OD,EXIT,LONG,29995.75,1,SL_YELLOW
2026-05-28 19:00:00 EDT,OD,ENTRY,LONG,30326.50,2,
2026-05-28 20:40:00 EDT,OD,EXIT,LONG,30247.75,2,SL_YELLOW
2026-05-31 19:00:00 EDT,OD,ENTRY,LONG,30466.25,1,
2026-05-31 23:20:00 EDT,OD,EXIT,LONG,30568.50,1,TP_GREEN
2026-06-01 19:00:00 EDT,OD,ENTRY,LONG,30462.75,1,
2026-06-01 20:00:00 EDT,OD,EXIT,LONG,30400.00,1,SL_YELLOW
2026-06-02 19:00:00 EDT,OD,ENTRY,LONG,30629.25,1,
2026-06-03 03:00:00 EDT,OD,EXIT,LONG,30730.75,1,TP_GREEN
2026-06-03 19:00:00 EDT,OD,ENTRY,LONG,30408.75,1,
2026-06-03 22:00:00 EDT,OD,EXIT,LONG,30379.50,1,SL_YELLOW
2026-06-04 19:00:00 EDT,OD,ENTRY,LONG,30309.75,1,
2026-06-04 20:00:00 EDT,OD,EXIT,LONG,30197.75,1,SL_YELLOW
2026-06-07 19:00:00 EDT,OD,ENTRY,LONG,28974.75,1,
2026-06-07 20:00:00 EDT,OD,EXIT,LONG,29175.25,1,TP_GREEN
2026-06-08 19:00:00 EDT,OD,ENTRY,LONG,29433.00,1,
2026-06-08 20:00:00 EDT,OD,EXIT,LONG,29351.50,1,SL_YELLOW
2026-06-09 19:00:00 EDT,OD,ENTRY,LONG,29015.25,1,
2026-06-10 00:20:00 EDT,OD,EXIT,LONG,28905.75,1,SL_YELLOW
2026-06-10 19:00:00 EDT,OD,ENTRY,LONG,28353.25,1,
2026-06-10 20:00:00 EDT,OD,EXIT,LONG,28521.50,1,TP_GREEN
2026-06-11 19:00:00 EDT,OD,ENTRY,LONG,29549.00,1,
2026-06-12 01:20:00 EDT,OD,EXIT,LONG,29473.00,1,SL_YELLOW
2026-06-14 19:00:00 EDT,OD,ENTRY,LONG,30006.00,1,
2026-06-14 21:20:00 EDT,OD,EXIT,LONG,30172.50,1,TP_GREEN
2026-06-15 19:00:00 EDT,OD,ENTRY,LONG,30490.00,1,
2026-06-15 20:40:00 EDT,OD,EXIT,LONG,30472.25,1,SL_YELLOW
2026-06-16 19:00:00 EDT,OD,ENTRY,LONG,30031.00,1,
2026-06-17 19:00:00 EDT,OD,ENTRY,LONG,30274.00,1,
2026-06-17 23:20:00 EDT,OD,EXIT,LONG,30374.00,1,TP_GREEN
2026-06-18 19:00:00 EDT,OD,ENTRY,LONG,30673.00,1,
2026-06-18 21:20:00 EDT,OD,EXIT,LONG,30613.50,1,SL_YELLOW
2026-06-21 19:00:00 EDT,OD,ENTRY,LONG,30429.00,1,
2026-06-21 20:40:00 EDT,OD,EXIT,LONG,30616.75,1,TP_GREEN
2026-06-22 19:00:00 EDT,OD,ENTRY,LONG,30548.75,1,
2026-06-22 21:20:00 EDT,OD,EXIT,LONG,30500.00,1,SL_YELLOW
2026-06-23 19:00:00 EDT,OD,ENTRY,LONG,29667.25,1,
2026-06-23 20:00:00 EDT,OD,EXIT,LONG,29850.75,1,TP_GREEN
2026-06-25 19:00:00 EDT,OD,ENTRY,LONG,29836.00,1,
