ts_et,strat,event,direction,price,qty,reason
2026-05-19 09:40:00 EDT,RV,ENTRY,SHORT,29038.00,1,
2026-05-19 10:00:00 EDT,RV,EXIT,SHORT,28876.13,1,target
2026-05-20 13:46:05 EDT,RV,ENTRY,LONG,29000.00,1,
2026-05-26 10:00:00 EDT,RV,ENTRY,LONG,30006.75,1,
2026-05-26 10:40:00 EDT,RV,EXIT,LONG,30099.48,1,target
2026-05-27 14:20:00 EDT,RV,ENTRY,SHORT,30010.50,1,
2026-05-27 15:00:00 EDT,RV,EXIT,SHORT,30038.75,1,force_close
2026-05-28 10:20:00 EDT,RV,ENTRY,LONG,30142.75,1,
2026-05-28 11:40:00 EDT,RV,EXIT,LONG,30280.26,1,target
2026-06-01 09:40:00 EDT,RV,ENTRY,SHORT,30436.75,1,
2026-06-01 10:00:00 EDT,RV,EXIT,SHORT,30328.23,1,target
2026-06-05 10:20:00 EDT,RV,ENTRY,SHORT,29940.00,1,
2026-06-05 11:20:00 EDT,RV,EXIT,SHORT,29778.79,1,target
2026-06-18 10:20:00 EDT,RV,ENTRY,LONG,30600.00,1,
2026-06-18 15:00:00 EDT,RV,EXIT,LONG,30690.75,1,force_close
2026-06-23 10:00:00 EDT,RV,ENTRY,SHORT,29926.00,1,
2026-06-23 11:40:00 EDT,RV,EXIT,SHORT,29743.17,1,target
2026-06-25 10:20:00 EDT,RV,ENTRY,SHORT,29612.25,1,
2026-06-25 14:40:00 EDT,RV,EXIT,SHORT,29875.95,1,stop
2026-06-29 10:40:00 EDT,RV,ENTRY,SHORT,29587.50,1,
2026-06-29 12:00:00 EDT,RV,EXIT,SHORT,29826.43,1,stop
2026-06-30 10:00:00 EDT,RV,ENTRY,LONG,30366.75,1,
2026-06-30 13:00:00 EDT,RV,EXIT,LONG,30520.45,1,target
2026-07-01 10:00:00 EDT,RV,ENTRY,SHORT,30283.75,1,
2026-07-01 11:00:00 EDT,RV,EXIT,SHORT,30142.92,1,target
2026-07-02 11:40:00 EDT,RV,ENTRY,SHORT,29782.00,1,
2026-07-02 12:40:00 EDT,RV,EXIT,SHORT,29503.86,1,target
2026-07-06 11:40:00 EDT,RV,ENTRY,LONG,30054.75,1,
2026-07-06 14:00:00 EDT,RV,EXIT,LONG,29897.82,1,stop
2026-07-07 11:00:00 EDT,RV,ENTRY,SHORT,29302.50,1,
2026-07-07 12:40:00 EDT,RV,EXIT,SHORT,29480.14,1,stop
2026-07-08 09:40:00 EDT,RV,ENTRY,SHORT,29320.00,1,
2026-07-08 11:20:00 EDT,RV,EXIT,SHORT,29132.94,1,target
2026-07-13 10:40:00 EDT,RV,ENTRY,SHORT,29685.25,1,
2026-07-13 12:40:00 EDT,RV,EXIT,SHORT,29533.46,1,target
2026-07-16 10:20:00 EDT,RV,ENTRY,SHORT,29482.00,1,
2026-07-16 12:20:00 EDT,RV,EXIT,SHORT,29309.67,1,target
2026-07-28 10:40:00 EDT,RV,ENTRY,SHORT,27723.50,1,
2026-07-28 11:40:00 EDT,RV,EXIT,SHORT,27921.70,1,stop
2026-08-06 10:00:00 EDT,RV,ENTRY,SHORT,29528.25,1,
2026-08-06 11:20:00 EDT,RV,EXIT,SHORT,29685.73,1,stop
2026-08-13 09:40:00 EDT,RV,ENTRY,LONG,30038.25,1,
2026-08-13 10:00:00 EDT,RV,EXIT,LONG,30129.10,1,target
2026-08-13 10:00:00 EDT,RV,ENTRY,LONG,30176.00,1,
2026-08-13 15:00:00 EDT,RV,EXIT,LONG,30244.25,1,force_close
2026-08-17 11:00:00 EDT,RV,ENTRY,LONG,30244.00,1,
2026-08-17 13:20:00 EDT,RV,EXIT,LONG,30154.06,1,stop
2026-08-18 10:40:00 EDT,RV,ENTRY,SHORT,29665.25,1,
2026-08-18 11:20:00 EDT,RV,EXIT,SHORT,29530.97,1,target
2026-08-18 11:40:00 EDT,RV,ENTRY,SHORT,29572.00,1,
2026-08-18 15:00:00 EDT,RV,EXIT,SHORT,29571.25,1,force_close
2026-08-19 10:40:00 EDT,RV,ENTRY,SHORT,29565.75,1,
2026-08-24 11:40:00 EDT,RV,ENTRY,SHORT,29158.00,1,
2026-08-24 15:00:00 EDT,RV,EXIT,SHORT,29154.00,1,force_close
