entry_time,exit_time,entry_price,exit_price,qty,reason,bars_held,be_arm_time,be_arm_bar,pnl_points,pnl_dollars,cum_pnl_$,peak,drawdown
2020-12-01 19:00:00-05:00,2020-12-02 07:00:00-05:00,12442.75,12423.75,1,SL Yellow,36,,,-19.0,-380.0,-380.0,-380.0,0.0
2020-12-02 19:00:00-05:00,2020-12-03 08:00:00-05:00,12467.5,12481.5,2,Force Close,39,,,14.0,560.0,180.0,180.0,0.0
2020-12-03 19:00:00-05:00,2020-12-04 07:40:00-05:00,12485.5,12492.0,1,SL Yellow,38,,,6.5,130.0,310.0,310.0,0.0
2020-12-07 19:00:00-05:00,2020-12-08 06:00:00-05:00,12566.5,12563.5,1,SL Yellow,33,,,-3.0,-60.0,250.0,310.0,-60.0
2020-12-08 19:00:00-05:00,2020-12-09 05:00:00-05:00,12659.75,12632.75,2,SL Yellow,30,,,-27.0,-1080.0,-830.0,310.0,-1140.0
2020-12-09 19:00:00-05:00,2020-12-10 06:40:00-05:00,12365.75,12343.25,1,SL Yellow,35,,,-22.5,-450.0,-1280.0,310.0,-1590.0
2020-12-10 19:00:00-05:00,2020-12-11 05:20:00-05:00,12406.0,12321.25,2,SL Yellow,31,,,-84.75,-3390.0,-4670.0,310.0,-4980.0
2020-12-13 19:00:00-05:00,2020-12-14 08:00:00-05:00,12412.25,12422.25,1,SL Yellow,39,,,10.0,200.0,-4470.0,310.0,-4780.0
2020-12-14 19:00:00-05:00,2020-12-15 08:00:00-05:00,12476.5,12545.0,1,Force Close,39,,,68.5,1370.0,-3100.0,310.0,-3410.0
2020-12-15 19:00:00-05:00,2020-12-16 06:20:00-05:00,12588.5,12626.5,1,SL Yellow,34,,,38.0,760.0,-2340.0,310.0,-2650.0
2020-12-16 19:00:00-05:00,2020-12-17 06:40:00-05:00,12677.75,12725.0,1,SL Yellow,35,,,47.25,945.0,-1395.0,310.0,-1705.0
2020-12-17 19:00:00-05:00,2020-12-18 05:20:00-05:00,12745.25,12739.5,1,SL Yellow,31,,,-5.75,-115.0,-1510.0,310.0,-1820.0
2020-12-20 19:00:00-05:00,2020-12-21 05:00:00-05:00,12739.0,12587.0,2,SL Yellow,30,,,-152.0,-6080.0,-7590.0,310.0,-7900.0
2020-12-21 19:00:00-05:00,2020-12-22 08:00:00-05:00,12703.25,12749.75,1,Force Close,39,,,46.5,930.0,-6660.0,310.0,-6970.0
