entry_time,exit_time,entry_price,exit_price,qty,reason,bars_held,be_arm_time,be_arm_bar,pnl_points,pnl_dollars,cum_pnl_$,peak,drawdown
2020-12-01 19:00:00-05:00,2020-12-02 06:20:00-05:00,12442.75,12426.0,1,SL Yellow,34,,,-16.75,-335.0,-335.0,-335.0,0.0
2020-12-02 19:00:00-05:00,2020-12-03 04:20:00-05:00,12467.5,12467.0,2,SL Yellow,28,,,-0.5,-20.0,-355.0,-335.0,-20.0
2020-12-03 19:00:00-05:00,2020-12-04 07:20:00-05:00,12485.5,12501.0,1,SL Yellow,37,,,15.5,310.0,-45.0,-45.0,0.0
2020-12-07 19:00:00-05:00,2020-12-08 06:00:00-05:00,12566.5,12563.5,1,SL Yellow,33,,,-3.0,-60.0,-105.0,-45.0,-60.0
2020-12-08 19:00:00-05:00,2020-12-09 03:40:00-05:00,12659.75,12632.25,2,SL Yellow,26,,,-27.5,-1100.0,-1205.0,-45.0,-1160.0
2020-12-09 19:00:00-05:00,2020-12-10 06:40:00-05:00,12365.75,12343.25,1,SL Yellow,35,,,-22.5,-450.0,-1655.0,-45.0,-1610.0
2020-12-10 19:00:00-05:00,2020-12-11 03:20:00-05:00,12406.0,12326.75,2,SL Yellow,25,,,-79.25,-3170.0,-4825.0,-45.0,-4780.0
2020-12-13 19:00:00-05:00,2020-12-14 03:20:00-05:00,12412.25,12405.25,1,SL Yellow,25,,,-7.0,-140.0,-4965.0,-45.0,-4920.0
2020-12-14 19:00:00-05:00,2020-12-15 07:00:00-05:00,12476.5,12537.5,2,TP Green,36,,,61.0,2440.0,-2525.0,-45.0,-2480.0
2020-12-15 19:00:00-05:00,2020-12-16 06:20:00-05:00,12588.5,12626.5,1,SL Yellow,34,,,38.0,760.0,-1765.0,-45.0,-1720.0
2020-12-16 19:00:00-05:00,2020-12-17 03:20:00-05:00,12677.75,12743.5,1,TP Green,25,,,65.75,1315.0,-450.0,-45.0,-405.0
2020-12-17 19:00:00-05:00,2020-12-18 05:20:00-05:00,12745.25,12739.5,1,SL Yellow,31,,,-5.75,-115.0,-565.0,-45.0,-520.0
2020-12-20 19:00:00-05:00,2020-12-21 03:20:00-05:00,12739.0,12731.0,2,SL Yellow,25,,,-8.0,-320.0,-885.0,-45.0,-840.0
2020-12-21 19:00:00-05:00,2020-12-22 08:00:00-05:00,12703.25,12749.75,1,Force Close,39,,,46.5,930.0,45.0,45.0,0.0
2020-12-22 19:00:00-05:00,2020-12-23 06:40:00-05:00,12714.5,12717.75,1,SL Yellow,35,,,3.25,65.0,110.0,110.0,0.0
2020-12-23 19:00:00-05:00,2020-12-24 08:00:00-05:00,12653.5,12666.75,1,Force Close,39,,,13.25,265.0,375.0,375.0,0.0
2020-12-27 19:00:00-05:00,2020-12-28 04:20:00-05:00,12731.5,12775.5,1,SL Yellow,28,,,44.0,880.0,1255.0,1255.0,0.0
2020-12-28 19:00:00-05:00,2020-12-29 05:00:00-05:00,12859.25,12884.5,1,SL Yellow,30,,,25.25,505.0,1760.0,1760.0,0.0
