sl,tp,is_trades,is_wr,is_exp,is_pf,is_pnl,is_dd,oos_trades,oos_wr,oos_exp,oos_pf,oos_pnl,oos_dd
0.5,0.5,88,62.5,53.83,1.5875,4736.96,-1306.25,73,50.68,-25.17,0.8534,-1837.68,-3676.25
0.5,0.75,88,50.0,36.55,1.2892,3215.98,-2831.96,73,43.84,-3.65,0.9809,-266.61,-2606.07
0.5,1.0,88,40.91,38.76,1.2706,3411.25,-2733.04,73,38.36,6.56,1.0547,818.39,-3086.79
0.5,1.25,88,39.77,77.44,1.5356,6814.29,-2733.04,73,35.62,44.34,1.2337,3569.02,-2606.07
0.5,1.5,87,34.48,58.9,1.3703,5124.46,-3160.89,73,34.25,88.64,1.4416,6798.57,-2606.07
0.5,1.75,87,32.18,82.28,1.5087,7158.04,-3549.82,73,28.77,54.14,1.255,4281.16,-3685.36
0.5,2.0,87,32.18,115.7,1.7153,10065.89,-3375.89,73,24.66,22.67,1.1111,1985.54,-6721.61
0.5,2.25,87,29.89,118.93,1.7104,10347.14,-3201.96,73,21.92,-6.73,0.9914,-159.82,-6721.61
0.5,2.5,86,29.07,134.62,1.7885,11577.68,-3985.0,71,16.9,-103.79,0.6394,-7032.68,-13462.68
0.5,2.75,86,26.74,116.66,1.6563,10032.41,-3811.07,71,16.9,-88.43,0.6953,-5942.32,-13061.87
0.5,3.0,86,25.58,101.72,1.5565,8748.04,-3637.14,71,16.9,-73.07,0.7512,-4851.96,-12661.07
0.75,0.5,87,72.41,71.99,1.7438,6263.3,-1649.29,70,58.57,-35.99,0.83,-2519.02,-5332.68
0.75,0.75,86,59.3,49.67,1.3346,4271.7,-3276.25,70,51.43,-6.48,0.973,-453.3,-4557.5
0.75,1.0,86,48.84,41.6,1.2319,3577.32,-3241.25,70,45.71,7.79,1.057,1037.14,-4419.2
0.75,1.25,86,45.35,71.47,1.3799,6146.52,-4128.39,70,41.43,30.15,1.1338,2595.18,-4360.27
0.75,1.5,84,41.67,77.95,1.3874,6548.04,-4059.55,70,40.0,84.6,1.3269,6399.46,-4306.52
0.75,1.75,84,38.1,92.93,1.4452,7805.71,-4059.55,70,32.86,9.35,1.0509,1142.68,-6053.75
0.75,2.0,84,38.1,118.62,1.5683,9964.38,-4458.12,70,28.57,-25.76,0.9455,-1312.32,-7419.55
0.75,2.25,84,38.1,157.37,1.7539,13219.29,-4284.2,70,27.14,-25.5,0.9473,-1294.2,-7830.89
0.75,2.5,83,37.35,180.42,1.8456,14975.27,-5061.43,69,21.74,-153.09,0.6174,-10066.87,-15956.61
0.75,2.75,83,34.94,166.47,1.7464,13816.96,-4887.5,69,21.74,-131.98,0.6728,-8610.36,-15189.64
0.75,3.0,83,32.53,130.73,1.5544,10850.71,-4713.57,69,21.74,-110.87,0.7281,-7153.84,-14422.68
1.0,0.5,86,77.91,89.64,1.9409,7709.29,-1176.07,69,60.87,-81.7,0.6918,-5637.14,-7908.93
1.0,0.75,85,67.06,90.09,1.6187,7657.23,-3035.89,68,54.41,-48.21,0.8384,-3277.95,-6741.07
1.0,1.0,85,54.12,60.12,1.3024,5110.0,-4689.29,67,49.25,-31.23,0.9333,-1438.57,-6742.86
1.0,1.25,85,52.94,116.52,1.5785,9904.46,-3375.18,67,47.76,35.19,1.1376,2999.11,-6160.98
1.0,1.5,83,49.4,132.02,1.6055,10958.04,-2915.89,67,44.78,77.35,1.2567,5811.61,-6206.96
1.0,1.75,83,45.78,156.01,1.6839,12948.48,-3321.7,67,37.31,-9.33,1.0008,20.8,-7327.77
1.0,2.0,83,45.78,193.27,1.8473,16041.43,-3204.64,67,32.84,-47.66,0.9111,-2543.21,-8871.79
1.0,2.25,83,45.78,243.74,2.0686,20230.62,-2945.71,67,31.34,-43.64,0.9223,-2273.75,-9466.96
1.0,2.5,82,45.12,278.81,2.1928,22862.32,-4168.21,66,25.76,-147.56,0.7064,-9093.93,-14443.39
