mnq,slippage,pass_pct,avg_days,med_days,blow_pct
1,0,100.0,118.6864,114.0,0.0
2,0,99.86,60.237432405367514,56.0,0.13999999999999999
3,0,97.78,40.236346901206794,36.0,2.22
4,0,92.42,29.340186106903268,26.0,7.580000000000001
5,0,87.41,22.83079739160279,20.0,12.590000000000002
6,0,81.95,17.792068334350212,16.0,18.05
7,0,77.28,14.71972049689441,13.0,22.720000000000002
8,0,73.36,11.980234460196293,10.0,26.640000000000004
9,0,68.89999999999999,10.347460087082728,9.0,31.1
10,0,65.45,9.021084797555385,8.0,34.55
1,0.0,100.0,118.6864,114.0,0.0
2,0.0,99.86,60.237432405367514,56.0,0.13999999999999999
3,0.0,97.78,40.236346901206794,36.0,2.22
4,0.0,92.42,29.340186106903268,26.0,7.580000000000001
5,0.0,87.41,22.83079739160279,20.0,12.590000000000002
6,0.0,81.95,17.792068334350212,16.0,18.05
7,0.0,77.28,14.71972049689441,13.0,22.720000000000002
8,0.0,73.36,11.980234460196293,10.0,26.640000000000004
9,0.0,68.89999999999999,10.347460087082728,9.0,31.1
10,0.0,65.45,9.021084797555385,8.0,34.55
1,0.25,100.0,122.4336,117.0,0.0
2,0.25,99.81,62.07153591824466,57.0,0.19
3,0.25,97.25,41.49233933161954,37.0,2.75
4,0.25,91.94,29.876658690450295,26.0,8.06
5,0.25,86.19,22.767026337162083,20.0,13.81
6,0.25,81.10000000000001,18.173736128236744,16.0,18.9
7,0.25,75.19,14.665514031121159,13.0,24.81
8,0.25,72.1,12.211095700416088,11.0,27.900000000000002
9,0.25,67.39,10.527229559281793,9.0,32.61
10,0.25,65.24,8.977621091354997,8.0,34.760000000000005
1,0.5,100.0,126.6635,121.0,0.0
2,0.5,99.72999999999999,64.1494033891507,59.0,0.27
3,0.5,96.7,42.71706308169597,38.0,3.3000000000000003
4,0.5,90.91,30.505884941150587,27.0,9.09
5,0.5,84.89,23.05842855460007,20.0,15.110000000000001
6,0.5,78.32000000000001,18.227017364657815,16.0,21.68
7,0.5,73.87,14.484229051035603,13.0,26.13
8,0.5,70.7,12.184158415841583,11.0,29.299999999999997
9,0.5,66.38,10.488550768303705,9.0,33.62
10,0.5,63.1,9.11378763866878,8.0,36.9
1,0.75,100.0,130.9472,125.0,0.0
2,0.75,99.57000000000001,66.26453751129858,61.0,0.43
3,0.75,95.78999999999999,43.98360998016494,39.0,4.21
4,0.75,89.44,31.001229874776385,27.0,10.56
5,0.75,83.45,23.297663271420014,20.0,16.55
6,0.75,78.25,18.558338658146965,16.0,21.75
7,0.75,72.39999999999999,14.547513812154696,13.0,27.6
8,0.75,67.94,12.041654400942008,10.0,32.06
9,0.75,65.55,10.557894736842105,9.0,34.449999999999996
10,0.75,61.17,9.037273173124081,8.0,38.83
1,1.0,100.0,135.7542,129.0,0.0
2,1.0,99.42999999999999,68.41536759529318,63.0,0.5700000000000001
3,1.0,95.19999999999999,45.04821428571429,41.0,4.8
4,1.0,88.78,31.635503491777428,28.0,11.219999999999999
5,1.0,81.22,23.338463432652055,21.0,18.78
6,1.0,75.91,18.529179291265972,16.0,24.09
7,1.0,70.65,15.026326963906582,13.0,29.349999999999998
8,1.0,67.47,12.305469097376612,11.0,32.53
9,1.0,62.72,10.540338010204081,9.0,37.28
10,1.0,60.01,9.09398433594401,8.0,39.989999999999995
1,1.5,99.99,146.06920692069207,138.0,0.01
2,1.5,98.77,73.9602105902602,68.0,1.23
3,1.5,93.23,47.337337766813256,42.0,6.77
4,1.5,85.86,33.01455858374097,29.0,14.14
5,1.5,77.91,24.078808882043383,21.0,22.09
6,1.5,73.28,18.61694868995633,16.0,26.72
7,1.5,67.75,15.01830258302583,13.0,32.25
8,1.5,64.21,12.189378601463947,11.0,35.79
9,1.5,59.5,10.585378151260505,9.0,40.5
10,1.5,57.720000000000006,9.224878724878725,8.0,42.28
