accounts,slippage,cost,ev,pass_pct,avg_days,all_blown_pct
1,0,34,1304.6,44.62,2.372702823845809,55.379999999999995
2,0,68,1990.8999999999996,68.63,2.686871630482296,31.369999999999997
3,0,102,2378.7,82.69,3.0090700205587133,17.31
4,0,136,2566.7000000000003,90.09,3.213342213342213,9.91
5,0,170,2660.8,94.36,3.4061042814752014,5.64
6,0,204,2698.8,96.76,3.6127532038032246,3.2399999999999998
8,0,272,2699.8,99.06,3.7664041994750654,0.9400000000000001
10,0,340,2653.1000000000004,99.77000000000001,3.785205973739601,0.22999999999999998
1,0.0,34,,44.62,2.372702823845809,55.379999999999995
2,0.0,68,,68.63,2.686871630482296,31.369999999999997
3,0.0,102,,82.69,3.0090700205587133,17.31
4,0.0,136,,90.09,3.213342213342213,9.91
5,0.0,170,,94.36,3.4061042814752014,5.64
6,0.0,204,,96.76,3.6127532038032246,3.2399999999999998
8,0.0,272,,99.06,3.7664041994750654,0.9400000000000001
10,0.0,340,,99.77000000000001,3.785205973739601,0.22999999999999998
1,0.25,34,,44.26,2.4197921373700857,55.74
2,0.25,68,,67.93,2.6730457824230824,32.07
3,0.25,102,,82.69999999999999,3.0135429262394196,17.299999999999997
4,0.25,136,,89.75,3.1712534818941505,10.25
5,0.25,170,,94.27,3.440012729394293,5.7299999999999995
6,0.25,204,,96.77,3.584788674175881,3.2300000000000004
8,0.25,272,,99.02,3.6803676025045444,0.98
10,0.25,340,,99.7,3.737111334002006,0.3
1,0.5,34,,43.53,2.3599816218699745,56.47
2,0.5,68,,68.87,2.6931900682445185,31.130000000000003
3,0.5,102,,82.46,2.9633761823914626,17.54
4,0.5,136,,89.94,3.168668000889482,10.059999999999999
5,0.5,170,,94.19999999999999,3.391295116772824,5.800000000000001
6,0.5,204,,96.49,3.5284485438905584,3.51
8,0.5,272,,98.81,3.632122254832507,1.1900000000000002
10,0.5,340,,99.62,3.7551696446496687,0.38
1,0.75,34,,43.45,2.418872266973533,56.55
2,0.75,68,,67.36,2.651276722090261,32.64
3,0.75,102,,81.57,2.9532916513424055,18.43
4,0.75,136,,89.3,3.1453527435610305,10.7
5,0.75,170,,93.69,3.3211655459494076,6.3100000000000005
6,0.75,204,,96.34,3.5025949761262196,3.66
8,0.75,272,,98.75,3.667037974683544,1.25
10,0.75,340,,99.69,3.7515297422008227,0.31
1,1.0,34,,43.13,2.349640621377232,56.87
2,1.0,68,,67.21000000000001,2.6243118583544116,32.79
3,1.0,102,,81.76,2.920376712328767,18.240000000000002
4,1.0,136,,88.92,3.1355150697255962,11.08
5,1.0,170,,93.53,3.3564631668983216,6.47
6,1.0,204,,96.44,3.5176275404396518,3.56
8,1.0,272,,98.72999999999999,3.620176238225463,1.27
10,1.0,340,,99.74,3.7316021656306395,0.26
1,1.5,34,,42.05,2.294887039239001,57.95
2,1.5,68,,66.07,2.6069320417738764,33.93
3,1.5,102,,80.7,2.9008674101610903,19.3
4,1.5,136,,88.74,3.123732251521298,11.26
5,1.5,170,,93.73,3.308652512536008,6.2700000000000005
6,1.5,204,,95.97,3.5122434093987707,4.03
8,1.5,272,,98.45,3.6586084306754696,1.55
10,1.5,340,,99.59,3.7489707801988152,0.41000000000000003
