mnq,slippage,monthly,payout_chance_pct,avg_payouts,med_payouts,avg_dpp,med_dpp,blow_pct,avg_payout_amount,net_lifetime,consistency_blocks
1,0,527.0534278578617,100.0,11.6382,12.0,123.32840129916997,116.0,0.0,3095.2693646170237,34023.363919285846,0
2,0,1085.7383081915223,99.83999999999999,23.6247,24.0,61.69525962234441,56.0,0.7000000000000001,3189.7574669429023,73357.06322928598,0
3,0,1648.380898317995,98.07000000000001,32.4775,35.0,41.85308906165807,37.0,13.61,3285.230121182808,104696.06126071465,252
4,0,2229.5174776149615,93.92,31.3281,39.0,31.865973359380238,28.0,54.410000000000004,3383.1306926643333,103987.0566528575,5258
5,0,2850.3964133492286,89.35,22.2171,17.0,25.750273438027467,22.0,88.29,3495.1660500245425,75652.45365000026,15657
6,0,3492.909723773168,84.26,13.3976,9.0,21.823796799426763,18.0,99.0,3629.9310500174993,46632.36423571445,26345
7,0,4209.070950775357,78.24,8.5721,5.0,18.973658730066145,16.0,99.94,3802.927418602222,30599.074125000112,32432
8,0,4995.614882778461,72.92999999999999,6.0661,3.0,16.90532632168939,14.0,100.0,4021.547608136094,22395.109945714357,37959
9,0,5732.059451896718,68.78,4.4924,2.0,15.613658623452944,13.0,100.0,4261.829499583436,17145.842843928625,39350
10,0,6644.887902678141,65.58,3.527,2.0,14.403317266798979,12.0,100.0,4557.544222123225,14074.458471428616,40605
1,0.0,,100.0,11.6382,12.0,123.32840129916997,116.0,0.0,3095.2693646170237,34023.363919285846,0
2,0.0,,99.83999999999999,23.6247,24.0,61.69525962234441,56.0,0.7000000000000001,3189.7574669429023,73357.06322928598,0
3,0.0,,98.07000000000001,32.4775,35.0,41.85308906165807,37.0,13.61,3285.230121182808,104696.06126071465,252
4,0.0,,93.92,31.3281,39.0,31.865973359380238,28.0,54.410000000000004,3383.1306926643333,103987.0566528575,5258
5,0.0,,89.35,22.2171,17.0,25.750273438027467,22.0,88.29,3495.1660500245425,75652.45365000026,15657
6,0.0,,84.26,13.3976,9.0,21.823796799426763,18.0,99.0,3629.9310500174993,46632.36423571445,26345
7,0.0,,78.24,8.5721,5.0,18.973658730066145,16.0,99.94,3802.927418602222,30599.074125000112,32432
8,0.0,,72.92999999999999,6.0661,3.0,16.90532632168939,14.0,100.0,4021.547608136094,22395.109945714357,37959
9,0.0,,68.78,4.4924,2.0,15.613658623452944,13.0,100.0,4261.829499583436,17145.842843928625,39350
10,0.0,,65.58,3.527,2.0,14.403317266798979,12.0,100.0,4557.544222123225,14074.458471428616,40605
1,0.25,,99.99,11.2401,11.0,127.5036432060213,119.0,0.01,3094.9090745888248,32787.08748928585,0
2,0.25,,99.72999999999999,22.8093,23.0,63.70131481457125,58.0,1.0,3189.6235488532047,70753.08041285741,0
3,0.25,,97.25,30.7084,33.0,43.13452345286632,38.0,17.34,3284.0548288904783,98848.06930750037,311
4,0.25,,93.08999999999999,28.9273,35.0,32.79455739042358,28.0,58.64,3381.6666270764613,95822.48502142892,4782
5,0.25,,87.55,19.8433,14.0,26.45541820160961,22.0,90.8,3490.651797458096,67266.05081250024,14539
