sl,tp,is_trades,is_wr,is_exp,is_pf,is_pnl,is_dd,oos_trades,oos_wr,oos_exp,oos_pf,oos_pnl,oos_dd
0.5,0.5,896,49.0,-0.81,1.0018,265.89,-12172.14,794,50.13,2.79,1.0196,2983.21,-12189.11
0.5,0.75,862,40.6,0.13,1.0066,1104.38,-15967.5,762,42.78,9.03,1.0458,7648.66,-10861.96
0.5,1.0,831,36.1,11.24,1.0596,10322.14,-14331.79,734,39.1,17.69,1.08,13756.43,-9796.07
0.5,1.25,809,32.63,0.12,1.0061,1097.23,-14644.02,712,34.55,2.18,1.0151,2712.68,-14230.09
0.5,1.5,792,29.42,-10.56,0.9601,-7370.18,-17236.25,698,32.81,9.75,1.0442,7967.68,-16238.57
0.5,1.75,774,27.0,-18.58,0.9287,-13382.05,-22964.02,688,31.1,16.17,1.0676,12281.07,-14848.21
0.5,2.0,760,26.05,-13.41,0.9507,-9188.93,-20542.86,673,30.16,22.78,1.0917,16489.64,-17465.0
0.5,2.25,746,24.93,-13.56,0.9509,-9111.87,-19986.79,658,28.88,18.0,1.0725,13002.59,-21918.48
0.5,2.5,735,24.08,-14.55,0.9476,-9694.82,-22999.46,646,28.79,25.1,1.0977,17379.29,-20693.93
0.5,2.75,722,24.1,-10.83,0.9627,-6814.82,-20605.18,632,28.96,36.55,1.1389,24273.66,-20119.73
0.5,3.0,716,23.74,-8.82,0.9707,-5311.79,-20022.68,622,28.94,52.7,1.1967,33958.21,-19004.82
0.75,0.5,868,58.06,4.59,1.0325,5354.55,-10395.98,763,58.98,15.02,1.074,11975.8,-11808.75
0.75,0.75,824,48.91,1.45,1.0135,2559.37,-12849.82,724,51.8,34.39,1.1421,25414.91,-11895.18
0.75,1.0,789,43.85,8.29,1.0395,7901.25,-12740.71,687,46.58,30.83,1.1137,21705.36,-8028.3
0.75,1.25,764,40.45,0.64,1.009,1887.59,-17931.43,661,41.3,8.28,1.0322,6519.64,-16253.66
0.75,1.5,742,36.39,-15.5,0.9537,-10103.48,-24120.89,648,39.04,14.57,1.0509,10488.57,-20410.8
0.75,1.75,723,33.61,-26.61,0.9201,-17838.39,-29908.39,629,37.52,26.42,1.0862,17666.07,-18523.21
0.75,2.0,704,32.67,-18.79,0.9465,-11821.52,-26708.39,607,35.91,26.15,1.0833,16922.41,-17097.95
0.75,2.25,689,31.35,-19.59,0.9448,-12097.05,-26149.11,588,34.86,26.4,1.0826,16578.21,-20133.66
0.75,2.5,677,30.13,-25.4,0.9281,-15793.3,-25181.25,578,34.95,38.67,1.1179,23413.66,-18773.84
0.75,2.75,657,29.98,-23.91,0.9325,-14314.91,-25275.45,563,34.99,55.55,1.167,32338.13,-17929.37
0.75,3.0,647,29.37,-29.15,0.9166,-17473.3,-27377.77,558,34.59,72.96,1.2164,41776.07,-16596.34
1.0,0.5,849,62.07,-1.84,1.0006,108.21,-11975.36,745,64.56,27.14,1.1269,20847.14,-10229.82
1.0,0.75,802,52.99,-9.74,0.9706,-6136.88,-18239.55,698,58.6,55.54,1.2176,39395.09,-7816.52
1.0,1.0,765,48.24,3.75,1.0208,4530.36,-12522.86,651,51.92,29.77,1.099,20031.79,-9324.64
1.0,1.25,735,44.76,15.73,1.0607,13173.48,-14681.61,628,46.18,1.12,1.0092,2001.96,-16248.04
1.0,1.5,712,40.73,2.68,1.0156,3530.54,-17311.61,613,44.05,8.05,1.0281,6235.89,-19717.5
1.0,1.75,686,37.76,-7.17,0.9858,-3283.57,-20472.95,592,41.05,1.17,1.0088,1985.62,-23436.7
1.0,2.0,661,36.76,-0.69,1.0052,1190.0,-26107.5,573,39.09,-0.66,1.0041,905.71,-22557.5
1.0,2.25,640,35.31,-4.46,0.9946,-1216.87,-31006.07,556,38.67,8.03,1.0263,5761.52,-21823.39
1.0,2.5,621,34.3,-13.6,0.9692,-6808.39,-36596.25,546,38.1,16.95,1.0484,10551.79,-21326.96
1.0,2.75,604,33.77,-18.14,0.9572,-9313.48,-37858.21,532,37.59,28.85,1.0781,16637.5,-20906.52
1.0,3.0,598,33.44,-18.9,0.9553,-9658.93,-37057.86,527,37.19,50.3,1.1309,27800.0,-18401.07
1.25,0.5,834,66.19,7.55,1.0462,8205.89,-13291.7,726,68.46,37.31,1.1711,27799.11,-9819.82
1.25,0.75,780,57.18,-3.61,0.9959,-884.38,-17118.93,674,62.76,68.57,1.2618,46933.12,-8431.79
1.25,1.0,740,52.03,8.97,1.0381,8554.29,-17002.05,623,56.34,40.53,1.128,26001.79,-9638.84
1.25,1.25,708,48.45,23.18,1.0817,18266.25,-18719.2,594,49.83,-0.7,1.0049,1087.59,-19444.91
1.25,1.5,684,45.03,17.71,1.0605,13975.62,-17031.25,581,46.99,-13.56,0.9727,-6355.54,-24510.98
1.25,1.75,655,42.44,14.88,1.0498,11616.43,-17985.36,555,44.32,-25.59,0.946,-12672.5,-25241.88
1.25,2.0,629,41.02,21.56,1.0671,15432.05,-24434.29,536,41.79,-35.12,0.9263,-17306.96,-31478.93
1.25,2.25,610,39.67,28.14,1.0846,19013.21,-27281.16,523,41.68,-22.27,0.9561,-10124.37,-29414.73
1.25,2.5,590,38.47,20.45,1.063,13903.75,-29859.29,514,41.44,-6.42,0.9922,-1773.75,-29229.91
1.25,2.75,574,37.63,21.5,1.0651,14178.48,-31408.48,504,40.87,5.48,1.0191,4281.16,-27476.16
1.25,3.0,567,37.21,20.47,1.0621,13449.11,-33189.55,499,40.48,27.46,1.068,15220.36,-24524.91
1.5,0.5,814,69.16,28.65,1.153,25321.43,-15554.11,715,70.35,27.92,1.1218,20769.11,-10415.36
1.5,0.75,760,60.53,23.31,1.0972,19769.46,-21341.43,660,65.0,61.5,1.2222,41401.25,-10229.2
1.5,1.0,709,55.15,31.96,1.1144,24717.14,-19387.5,606,58.91,32.1,1.0961,20302.14,-12101.07
1.5,1.25,678,50.74,19.91,1.0683,15566.25,-26143.12,572,52.8,-8.18,0.9871,-2963.57,-19713.75
1.5,1.5,657,46.88,2.36,1.0152,3620.71,-32525.36,556,50.36,-7.85,0.9889,-2630.18,-20340.54
1.5,1.75,630,43.97,-3.93,0.9983,-401.61,-35192.95,529,48.58,-9.16,0.9867,-3114.38,-20563.48
1.5,2.0,607,42.67,9.43,1.0326,7807.32,-38796.07,513,45.81,-19.04,0.9659,-8056.79,-25155.36
1.5,2.25,591,41.62,24.58,1.0706,16588.75,-38855.0,500,45.0,-17.37,0.9702,-6970.89,-25595.54
1.5,2.5,568,40.49,19.01,1.0559,12855.71,-39080.36,491,45.01,2.98,1.0139,3167.5,-25620.54
1.5,2.75,555,39.46,16.42,1.0488,11171.52,-39114.46,479,44.68,19.05,1.0484,10828.84,-24398.84
1.5,3.0,548,39.05,18.14,1.0529,11996.43,-39755.18,473,44.61,45.55,1.1048,23252.14,-23357.14
1.75,0.5,805,70.43,21.35,1.1123,19396.43,-17030.09,708,71.75,32.1,1.1379,23584.2,-14746.16
1.75,0.75,748,61.76,9.31,1.0431,9234.46,-20392.68,653,66.31,64.34,1.2265,42880.98,-10984.46
1.75,1.0,692,56.79,21.49,1.0766,17137.41,-16953.3,597,60.64,41.27,1.1201,25547.95,-13670.18
1.75,1.25,659,52.2,3.13,1.0183,4348.04,-29035.89,561,54.72,1.42,1.0114,2640.62,-21341.07
1.75,1.5,635,48.66,-1.11,1.0064,1537.59,-30700.45,539,52.69,5.15,1.0196,4652.95,-18215.27
1.75,1.75,609,45.81,-13.71,0.9756,-6066.88,-36816.88,513,51.27,7.98,1.0256,5975.62,-18808.12
1.75,2.0,587,44.63,-0.76,1.0075,1849.73,-37703.39,498,48.39,-3.27,1.0009,220.89,-23200.89
1.75,2.25,571,43.78,16.85,1.0493,11899.82,-36285.18,485,47.22,-7.32,0.9928,-1700.98,-23713.48
1.75,2.5,547,42.96,16.66,1.0486,11384.73,-33406.88,477,47.17,14.05,1.0371,8543.48,-22534.38
1.75,2.75,533,42.03,12.36,1.0382,8863.3,-36939.82,464,46.98,34.03,1.0786,17625.45,-21083.12
1.75,3.0,526,41.06,4.57,1.0201,4675.71,-40045.54,457,46.83,56.66,1.1249,27735.54,-19488.93
2.0,0.5,793,71.5,20.83,1.1086,18849.82,-15248.93,697,74.03,47.03,1.2055,33693.75,-13260.54
2.0,0.75,734,62.94,8.18,1.039,8411.87,-19191.43,638,68.18,68.79,1.2381,44821.96,-12328.93
2.0,1.0,674,57.86,19.89,1.0704,15801.79,-19852.14,581,62.31,38.95,1.1108,23604.64,-15723.21
2.0,1.25,640,53.44,11.2,1.0408,9543.13,-27695.45,542,56.83,13.01,1.0398,9004.64,-19159.91
2.0,1.5,614,50.0,21.93,1.0674,15777.32,-24129.11,517,54.93,21.07,1.0562,12875.0,-21317.14
2.0,1.75,588,47.28,18.46,1.0551,13193.21,-29101.43,494,53.24,15.06,1.0413,9433.13,-21381.96
2.0,2.0,563,46.0,25.0,1.0691,16446.43,-35410.0,481,50.31,8.49,1.0261,6028.57,-24212.86
2.0,2.25,545,45.5,49.99,1.1284,29596.61,-31884.46,469,49.25,1.64,1.0118,2728.57,-26773.39
2.0,2.5,522,45.02,55.18,1.1405,31147.86,-28682.5,461,48.81,14.0,1.0369,8404.46,-25861.79
2.0,2.75,507,44.18,57.32,1.1442,31392.23,-31877.68,451,48.56,30.2,1.0694,15573.57,-22768.66
2.0,3.0,500,43.2,53.23,1.1328,28942.14,-34456.43,444,48.42,54.52,1.1178,26164.64,-21226.07
2.25,0.5,780,72.44,19.06,1.099,17346.16,-11358.21,688,75.29,50.24,1.2183,35526.7,-13838.39
2.25,0.75,715,64.2,8.47,1.0399,8610.98,-13490.71,629,69.32,68.43,1.232,44032.14,-12490.0
2.25,1.0,657,59.06,19.51,1.0682,15353.84,-17982.32,570,63.86,43.21,1.1208,25665.63,-14079.02
2.25,1.25,622,55.14,20.04,1.0648,14975.27,-20665.8,527,58.25,9.92,1.0323,7305.0,-16905.98
2.25,1.5,596,51.68,34.58,1.0998,23040.71,-15706.52,501,56.09,17.91,1.0486,11060.45,-17454.29
2.25,1.75,567,48.85,31.76,1.0868,20473.21,-20657.86,478,54.6,14.65,1.0401,9117.86,-18411.52
2.25,2.0,542,47.42,36.22,1.0941,22131.25,-27553.48,464,52.16,9.89,1.0292,6658.39,-24638.93
2.25,2.25,526,46.77,56.37,1.1402,32131.25,-24177.68,451,51.22,0.92,1.011,2506.16,-25638.66
2.25,2.5,505,46.14,52.27,1.1295,28884.46,-25589.55,443,50.79,15.41,1.0398,8892.77,-25671.07
2.25,2.75,489,45.4,56.77,1.1384,30243.84,-27951.52,433,50.35,28.31,1.065,14331.43,-23828.93
2.25,3.0,483,44.51,54.47,1.1314,28786.61,-29742.14,430,50.0,52.96,1.1123,24851.7,-20162.41
2.5,0.5,771,72.89,11.93,1.0661,11800.54,-13756.07,679,75.41,48.43,1.2072,33865.71,-12948.21
2.5,0.75,706,64.73,-5.05,0.9962,-852.59,-15160.27,620,69.52,65.42,1.2169,41579.02,-12696.25
2.5,1.0,647,59.51,4.72,1.0248,5720.18,-17877.68,563,64.83,51.06,1.1416,29817.86,-12911.79
2.5,1.25,611,55.65,4.94,1.024,5652.41,-21831.43,520,59.42,26.46,1.0718,15873.66,-16013.48
2.5,1.5,584,52.05,10.68,1.037,8818.39,-20189.29,495,56.97,25.9,1.0661,14966.79,-18825.36
2.5,1.75,556,49.82,16.68,1.0494,11888.93,-18570.0,474,55.49,24.66,1.061,13861.16,-22320.63
2.5,2.0,531,48.4,24.7,1.0664,15738.93,-22686.43,460,52.83,15.39,1.0403,9208.93,-23431.07
2.5,2.25,512,47.85,45.62,1.1138,25949.2,-21326.88,447,51.9,1.76,1.0129,2918.84,-24820.18
2.5,2.5,493,46.86,33.5,1.0854,19107.32,-24932.14,439,51.71,20.26,1.0497,11005.18,-22645.89
2.5,2.75,478,46.03,34.14,1.0861,18902.41,-27125.54,430,50.93,27.9,1.0638,14113.48,-22706.79
2.5,3.0,473,45.45,34.83,1.0866,19063.75,-25319.46,426,50.47,51.8,1.1089,24193.57,-18347.68
2.75,0.5,761,73.32,4.87,1.0353,6441.52,-16714.38,674,75.67,48.02,1.2033,33373.93,-12160.62
2.75,0.75,693,65.37,-6.7,0.9917,-1843.57,-18714.38,612,69.93,80.75,1.2761,50416.7,-13781.87
2.75,1.0,637,59.81,-4.25,1.0003,58.75,-17998.48,554,65.34,70.82,1.2018,40278.48,-14277.59
2.75,1.25,602,55.81,-7.09,0.9935,-1543.93,-23806.61,509,59.92,44.04,1.1159,24508.66,-15967.5
2.75,1.5,577,52.17,-3.15,1.0035,851.52,-22230.27,484,57.23,35.11,1.0872,19133.3,-19292.59
2.75,1.75,549,49.91,4.6,1.0213,5222.95,-20037.41,462,55.63,26.85,1.0661,14577.23,-20788.04
2.75,2.0,523,48.37,9.64,1.0321,7751.43,-25309.91,450,53.11,22.36,1.0549,12187.68,-23826.07
2.75,2.25,505,47.72,29.45,1.0754,17549.2,-21199.91,437,52.63,18.15,1.0463,10049.91,-27655.45
2.75,2.5,490,46.94,22.39,1.0595,13647.32,-23286.07,429,52.45,38.45,1.0879,18588.39,-25996.52
2.75,2.75,474,45.99,18.59,1.0509,11489.29,-26214.91,420,51.43,38.55,1.0861,18294.2,-24709.55
2.75,3.0,468,45.3,17.23,1.0476,10738.84,-26944.02,416,51.2,63.09,1.1334,28358.84,-21330.98
3.0,0.5,755,73.25,5.38,1.0376,6777.14,-16086.07,669,75.64,42.67,1.1771,29579.29,-13246.25
3.0,0.75,686,65.45,-6.52,0.9924,-1667.59,-18167.95,606,69.8,70.59,1.234,43803.21,-14867.5
