sl,tp,is_trades,is_wr,is_exp,is_pf,is_pnl,is_dd,oos_trades,oos_wr,oos_exp,oos_pf,oos_pnl,oos_dd
0.5,0.5,80,50.0,9.29,1.0739,743.04,-2173.21,76,55.26,40.66,1.275,3089.82,-1901.43
0.5,0.75,79,39.24,10.7,1.0712,845.45,-2587.23,75,49.33,85.81,1.5183,6436.07,-1901.43
0.5,1.0,77,33.77,-0.09,0.9995,-6.79,-3560.71,75,44.0,93.97,1.4957,7047.5,-2427.14
0.5,1.25,76,30.26,3.44,1.0191,261.52,-4077.86,75,38.67,116.82,1.5769,8761.61,-2168.57
0.5,1.5,75,28.0,5.38,1.0285,403.21,-5026.61,75,34.67,119.22,1.5486,8941.61,-2403.93
0.5,1.75,74,25.68,1.51,1.0077,111.43,-4924.64,74,32.43,140.48,1.6299,10395.54,-2403.93
0.5,2.0,74,24.32,13.23,1.0666,979.11,-4982.5,73,28.77,100.06,1.4143,7304.64,-3065.89
0.5,2.25,73,23.29,14.15,1.0702,1032.77,-4137.5,71,29.58,153.45,1.6387,10895.0,-2907.14
0.5,2.5,73,23.29,37.12,1.1843,2710.0,-4005.0,71,29.58,195.91,1.8155,13909.64,-2748.39
0.5,2.75,72,23.61,62.83,1.3104,4523.48,-3995.54,71,25.35,126.35,1.4907,8971.07,-2948.75
0.5,3.0,72,22.22,78.08,1.3837,5621.96,-3995.54,71,23.94,131.78,1.5039,9356.43,-3743.39
0.75,0.5,79,60.76,13.97,1.0943,1103.3,-2903.3,73,64.38,64.63,1.3908,4718.3,-2228.21
0.75,0.75,78,48.72,9.09,1.0482,709.11,-3574.02,71,61.97,159.49,1.9199,11323.93,-1870.18
0.75,1.0,76,43.42,9.75,1.0451,740.98,-4563.57,71,54.93,157.48,1.7153,11181.16,-2476.61
0.75,1.25,75,38.67,0.12,1.0005,8.93,-4492.05,69,50.72,196.36,1.8078,13548.57,-3613.12
0.75,1.5,73,36.99,15.65,1.0633,1142.77,-5653.39,69,46.38,209.38,1.7835,14447.41,-3469.02
0.75,1.75,72,34.72,20.2,1.0783,1454.73,-5653.39,68,42.65,227.34,1.8039,15459.2,-3324.91
0.75,2.0,70,32.86,12.36,1.0462,865.0,-5408.04,67,38.81,192.79,1.6173,12916.79,-4029.91
0.75,2.25,69,31.88,19.37,1.0714,1336.79,-5150.18,64,39.06,268.75,1.8515,17199.91,-3885.8
0.75,2.5,69,31.88,49.74,1.1832,3432.14,-5017.68,64,39.06,332.26,2.0527,21264.38,-3741.7
0.75,2.75,68,32.35,84.29,1.3094,5731.87,-4885.18,64,34.38,200.71,1.5703,12845.45,-3966.16
0.75,3.0,68,29.41,86.67,1.3116,5893.3,-4925.71,64,34.38,224.04,1.6366,14338.3,-5082.77
1.0,0.5,78,69.23,34.14,1.2258,2663.04,-3615.54,71,70.42,101.81,1.6344,7228.57,-2578.21
1.0,0.75,77,57.14,24.86,1.1201,1914.02,-4231.52,69,69.57,225.15,2.385,15535.45,-2493.57
1.0,1.0,75,46.67,-37.0,0.8657,-2775.36,-8373.57,69,60.87,184.04,1.7489,12698.93,-2719.64
1.0,1.25,74,41.89,-51.43,0.8316,-3805.98,-9005.89,67,56.72,199.63,1.6892,13375.54,-5057.68
1.0,1.5,72,40.28,-35.47,0.8883,-2553.93,-9868.04,67,53.73,258.48,1.8495,17317.86,-4913.57
1.0,1.75,71,38.03,-31.45,0.9052,-2232.86,-9877.86,66,48.48,263.32,1.8006,17379.2,-4769.46
