date,strat,pnl_pts,mae_pts,stop_pts,ratio
2020-12-01,FB,-64.5,72.0,63.75,1.1294117647058823
2020-12-01,OD,-16.75,37.0,33.26038286296339,1.1124345787733192
2020-12-02,FB,-12.25,36.75,43.25,0.8497109826589595
2020-12-02,OD,-1.0,12.25,26.505378522179754,0.4621703474164376
2020-12-03,FB,-74.25,73.5,73.5,1.0
2020-12-03,OD,15.5,9.25,26.5611491703622,0.34825300444159446
2020-12-07,B2,-35.0,39.5,37.835947887263764,1.043980716901674
2020-12-07,FB,-25.0,46.75,70.0,0.6678571428571428
2020-12-07,OD,-1.5,14.25,22.501266087246236,0.6332976973272153
2020-12-08,FB,14.0,8.5,60.5,0.14049586776859505
2020-12-08,OD,-43.5,21.75,22.397316665727757,0.9710984724023536
2020-12-09,RV,-37.83654006085089,69.75,27.870924739631434,2.502608027957467
2020-12-09,RV,49.74977351081907,2.0,39.8769758210533,0.05015425464997492
2020-12-09,RV,1.0,31.0,73.93691327328659,0.41927636180073397
2020-12-09,OD,-37.0,38.0,40.30418636730799,0.9428300984342165
2020-12-10,OD,-86.5,43.75,33.8708072367985,1.2916727875463323
2020-12-13,OD,-21.0,12.25,32.49455308659803,0.37698625881555387
2020-12-14,FB,-11.75,60.75,122.25,0.49693251533742333
2020-12-14,OD,-57.0,17.25,30.93173577576321,0.5576796635356094
2020-12-15,FB,-20.5,23.25,19.75,1.1772151898734178
2020-12-15,OD,38.0,5.75,21.93807093724179,0.26210144075333774
2020-12-16,RV,43.46314758465451,26.75,33.50193673527026,0.7984613012488337
2020-12-16,FB,-8.25,26.25,52.25,0.5023923444976076
2020-12-16,B2,47.80864787870268,1.5,54.49053632157942,0.027527715843126466
2020-12-16,OD,65.75,5.75,25.393845340945752,0.22643281955917632
2020-12-17,FB,-32.75,34.0,32.0,1.0625
2020-12-17,OD,-23.25,28.0,19.78280556769161,1.4153705299377932
2020-12-18,RV,29.25,32.0,46.620378027626636,0.6863951206280913
2020-12-20,OD,-28.5,10.75,39.69655880830517,0.27080432971310664
2020-12-21,FB,40.25,6.25,82.5,0.07575757575757576
2020-12-21,OD,-13.5,20.5,36.99324840058029,0.5541551738851468
2020-12-22,RV,-53.37649034943206,60.75,43.59768649115159,1.393422561821705
2020-12-22,OD,-134.5,29.0,28.432420386448456,1.0199624093143356
2020-12-23,OD,13.25,20.0,24.561621404718032,0.8142784904321588
2020-12-24,FB,-8.5,46.75,50.75,0.9211822660098522
2020-12-27,OD,40.5,1.0,26.39367211679535,0.03788786931863338
2020-12-28,OD,25.25,2.75,15.904062440624113,0.17291179598085654
2020-12-29,B2,10.5,27.25,62.05026595033897,0.4391600838876201
2020-12-29,OD,46.75,7.5,25.323112335731512,0.2961721253124689
2020-12-30,RV,3.75,18.75,36.63943625782682,0.5117436815364393
2020-12-30,OD,-12.25,20.75,19.233599014523918,1.0788412498529785
2020-12-31,RV,-26.0,31.5,31.62603867517913,0.996014718236652
2021-01-03,OD,156.0,22.5,23.71738933476949,0.9486710228690808
2021-01-04,OD,6.5,1.25,44.44947267462899,0.02812181843303349
2021-01-05,RV,-69.86203408468828,75.0,59.31581205294277,1.2644183296868328
2021-01-05,OD,-18.25,0.0,31.92802248510341,0.0
2021-01-06,FB,67.0,11.75,145.0,0.08103448275862069
2021-01-06,OD,145.5,8.0,52.68463454285372,0.15184692974367686
2021-01-07,RV,67.4709293178239,17.5,56.95060943341653,0.30728380563618063
2021-01-07,FB,40.5,12.75,167.0,0.07634730538922156
2021-01-07,OD,12.25,7.25,28.525403644860834,0.25415941839989237
2021-01-08,B2,-65.0,93.0,79.08834160949144,1.175900241519782
2021-01-10,OD,-43.25,23.75,36.97478744578744,0.6423295883667305
2021-01-11,B2,-75.75,82.0,79.65510047216326,1.0294381591880135
2021-01-11,OD,-57.5,29.0,34.73881687639732,0.8348010268508465
2021-01-12,RV,52.44449456993243,3.5,42.326034668934696,0.08269142213241237
2021-01-12,RV,70.58607039171511,4.75,60.661478272321,0.07830340003710988
2021-01-12,RV,-85.1676972214118,83.25,75.32343244834863,1.1052337538798016
2021-01-12,OD,-16.5,10.0,32.645876701221404,0.3063173977994551
2021-01-13,FB,75.25,37.5,58.0,0.646551724137931
2021-01-13,RV,64.32892469640865,43.25,53.95104996949391,0.8016526096240071
2021-01-13,B2,-23.75,37.75,67.86893153885853,0.556219158664464
2021-01-13,OD,-19.0,4.25,28.088772362608616,0.1513060074372471
