mnq,P(pass phase1),P(pass phase2|p1),P(pass BOTH),med_days_p1,med_days_p2,med_days_total,p25_total,p75_total,fail_DLL%,fail_MaxLoss%
1,0.814,0.811,0.659,124,123,258,203,314,0.0,0.016
2,0.9,0.907,0.817,57,57,129,90,179,0.0,0.154
3,0.785,0.788,0.618,30,30,68,47,98,0.152,0.229
4,0.678,0.68,0.461,18,18,41,28,59,0.345,0.194
5,0.572,0.575,0.329,11,12,26,18,37,0.524,0.147
6,0.552,0.554,0.306,9,9,19,13,27,0.57,0.124
8,0.502,0.504,0.253,6,5,12,9,17,0.679,0.068
10,0.483,0.483,0.234,4,4,9,6,12,0.716,0.05
12,0.473,0.474,0.224,3,3,7,5,9,0.744,0.032
15,0.463,0.458,0.212,2,2,5,4,7,0.772,0.016
20,0.469,0.472,0.222,2,2,4,3,5,0.772,0.006
