risk_$/trade,P(pass p1),P(pass BOTH),med_days_total,p25_total,p75_total,fail_DLL%,fail_MaxLoss%,variant,mnq
250.0,0.292,0.089,385,341,427,0.0,0.0,A_perstrat_4way,
500.0,0.778,0.603,260,206,319,0.0,0.009,A_perstrat_4way,
750.0,0.88,0.777,188,136,249,0.0,0.046,A_perstrat_4way,
1000.0,0.886,0.79,136,94,191,0.0,0.093,A_perstrat_4way,
1250.0,0.803,0.644,97,66,138,0.072,0.12,A_perstrat_4way,
1500.0,0.768,0.592,74,50,106,0.094,0.137,A_perstrat_4way,
2000.0,0.658,0.426,43,30,61,0.223,0.12,A_perstrat_4way,
250.0,0.382,0.148,366,319,409,0.0,0.0,B_perstrat_noOD,
500.0,0.816,0.668,244,186,302,0.0,0.015,B_perstrat_noOD,
750.0,0.891,0.792,170,121,229,0.0,0.058,B_perstrat_noOD,
1000.0,0.879,0.772,120,83,171,0.0,0.109,B_perstrat_noOD,
1250.0,0.783,0.613,83,57,121,0.082,0.133,B_perstrat_noOD,
1500.0,0.75,0.57,63,43,91,0.096,0.154,B_perstrat_noOD,
2000.0,0.634,0.41,37,25,54,0.223,0.143,B_perstrat_noOD,
,0.756,0.571,274,218,330,0.0,0.008,C_flat_noOD,1.0
,0.887,0.79,144,101,201,0.0,0.088,C_flat_noOD,2.0
,0.785,0.613,78,53,111,0.073,0.142,C_flat_noOD,3.0
,0.697,0.484,48,33,70,0.159,0.145,C_flat_noOD,4.0
,0.588,0.344,30,21,43,0.308,0.104,C_flat_noOD,5.0
,0.539,0.293,21,15,30,0.384,0.077,C_flat_noOD,6.0
,0.484,0.231,13,9,18,0.471,0.046,C_flat_noOD,8.0
,0.457,0.208,10,7,13,0.516,0.028,C_flat_noOD,10.0
