filter,threshold,tp_rr,n_trades,wr%,net_$,PF,MaxDD_$,avg_$,TP%,SL%,EOD%
NO_FILTER,0,1.0,1064,48.6,14755.0,1.02,-35925.0,14.8,37.9,39.8,22.4
NO_FILTER,0,1.25,1064,44.6,13869.0,1.02,-41250.0,13.9,29.6,43.0,27.4
NO_FILTER,0,1.5,1064,41.8,18055.0,1.03,-46665.0,18.2,23.9,45.0,31.1
NO_FILTER,0,1.75,1064,40.2,24015.0,1.03,-45232.0,24.2,19.3,46.4,34.3
NO_FILTER,0,2.0,1064,39.8,33990.0,1.05,-41415.0,34.3,15.6,46.8,37.6
NO_FILTER,0,2.25,1064,39.0,39202.0,1.05,-41292.0,39.6,12.8,47.4,39.8
NO_FILTER,0,2.5,1064,38.4,44275.0,1.06,-39112.0,44.8,10.3,47.8,41.8
NO_FILTER,0,2.75,1064,38.3,56441.0,1.08,-38760.0,57.1,9.4,48.0,42.6
NO_FILTER,0,3.0,1064,38.1,69715.0,1.1,-35330.0,70.6,8.3,48.2,43.5
NO_FILTER,0,3.25,1064,37.9,71672.0,1.1,-36670.0,72.5,6.8,48.2,45.0
NO_FILTER,0,3.5,1064,37.8,76035.0,1.11,-34910.0,77.0,5.5,48.2,46.3
NO_FILTER,0,3.75,1064,37.7,84922.0,1.12,-34174.0,86.0,4.8,48.3,46.9
NO_FILTER,0,4.0,1064,37.5,66000.0,1.09,-36815.0,66.9,3.9,48.4,47.7
DELTA,0,1.0,1044,48.9,31285.0,1.05,-31435.0,32.1,36.2,37.5,26.3
DELTA,0,1.25,1044,45.0,26474.0,1.04,-32718.0,27.2,27.7,40.5,31.8
DELTA,0,1.5,1044,42.3,21568.0,1.03,-42268.0,22.2,21.6,42.6,35.7
DELTA,0,1.75,1044,40.7,12811.0,1.02,-44135.0,13.2,17.0,43.9,39.2
DELTA,0,2.0,1044,40.3,22200.0,1.03,-38485.0,22.9,13.5,44.2,42.3
DELTA,0,2.25,1044,39.6,20428.0,1.03,-39794.0,21.1,10.9,44.7,44.3
DELTA,0,2.5,1044,39.0,20870.0,1.03,-40892.0,21.6,8.6,45.2,46.2
DELTA,0,2.75,1044,38.8,27585.0,1.04,-40124.0,28.5,7.7,45.4,46.9
DELTA,0,3.0,1044,38.6,39000.0,1.06,-38125.0,40.3,6.7,45.6,47.7
DELTA,0,3.25,1044,38.5,46345.0,1.07,-38791.0,47.9,5.7,45.6,48.8
DELTA,0,3.5,1044,38.5,50530.0,1.07,-37328.0,52.3,4.5,45.6,49.9
DELTA,0,3.75,1044,38.4,58511.0,1.08,-35614.0,60.5,4.0,45.7,50.3
DELTA,0,4.0,1044,38.3,47665.0,1.07,-38255.0,49.3,3.3,45.7,51.1
DELTA,100,1.0,1033,48.9,19550.0,1.03,-39565.0,20.3,34.9,36.7,28.4
DELTA,100,1.25,1033,45.3,18939.0,1.03,-35566.0,19.7,26.8,39.6,33.6
DELTA,100,1.5,1033,42.8,14725.0,1.02,-41770.0,15.4,20.6,41.5,37.9
DELTA,100,1.75,1033,41.2,6975.0,1.01,-43860.0,7.3,16.0,42.8,41.2
DELTA,100,2.0,1033,40.9,15665.0,1.02,-38360.0,16.4,12.5,43.1,44.4
DELTA,100,2.25,1033,40.4,17274.0,1.02,-39819.0,18.0,10.1,43.7,46.3
DELTA,100,2.5,1033,40.1,21302.0,1.03,-40915.0,22.3,8.0,43.9,48.1
DELTA,100,2.75,1033,40.0,29948.0,1.04,-39192.0,31.3,7.2,43.9,48.9
DELTA,100,3.0,1033,39.8,40735.0,1.06,-37470.0,42.6,6.3,44.1,49.6
DELTA,100,3.25,1033,39.8,49830.0,1.07,-37001.0,52.1,5.4,44.1,50.4
DELTA,100,3.5,1033,39.8,53680.0,1.08,-35678.0,56.2,4.3,44.1,51.6
DELTA,100,3.75,1033,39.7,61326.0,1.09,-37328.0,64.1,3.8,44.2,52.0
DELTA,100,4.0,1033,39.6,50145.0,1.07,-36885.0,52.5,3.0,44.2,52.8
DELTA,200,1.0,1006,48.6,31400.0,1.05,-35695.0,33.7,34.6,35.7,29.7
DELTA,200,1.25,1006,44.7,22204.0,1.03,-40588.0,23.9,25.7,38.8,35.5
DELTA,200,1.5,1006,42.3,20978.0,1.03,-41432.0,22.6,19.8,40.7,39.6
DELTA,200,1.75,1006,41.1,18208.0,1.03,-39539.0,19.7,15.3,41.7,42.9
DELTA,200,2.0,1006,40.8,26265.0,1.04,-39520.0,28.4,11.9,42.0,46.0
DELTA,200,2.25,1006,40.3,27150.0,1.04,-38608.0,29.3,9.6,42.5,47.8
DELTA,200,2.5,1006,40.0,30968.0,1.05,-45255.0,33.5,7.7,42.7,49.6
DELTA,200,2.75,1006,39.9,38342.0,1.06,-43910.0,41.5,6.7,42.8,50.5
DELTA,200,3.0,1006,39.7,47805.0,1.07,-42565.0,51.7,5.8,43.0,51.2
DELTA,200,3.25,1006,39.7,57014.0,1.08,-41610.0,61.6,4.9,43.0,52.1
DELTA,200,3.5,1006,39.7,59358.0,1.09,-41035.0,64.2,3.7,43.0,53.3
DELTA,200,3.75,1006,39.7,69702.0,1.1,-40135.0,75.4,3.4,43.0,53.6
DELTA,200,4.0,1006,39.6,57535.0,1.08,-39235.0,62.3,2.6,43.0,54.4
DELTA,300,1.0,970,49.8,64890.0,1.12,-29780.0,72.7,34.3,34.0,31.6
DELTA,300,1.25,970,46.2,58605.0,1.1,-37008.0,65.8,25.1,36.8,38.1
DELTA,300,1.5,970,43.9,58172.0,1.09,-34962.0,65.5,18.8,38.6,42.7
DELTA,300,1.75,970,42.7,58174.0,1.09,-33489.0,65.6,14.7,39.6,45.7
DELTA,300,2.0,970,42.3,61885.0,1.1,-33890.0,69.8,11.1,40.0,48.9
DELTA,300,2.25,970,41.9,62952.0,1.1,-33398.0,71.0,9.0,40.4,50.6
DELTA,300,2.5,970,41.6,65435.0,1.1,-40465.0,73.8,7.0,40.6,52.4
DELTA,300,2.75,970,41.5,69266.0,1.11,-39540.0,78.1,5.9,40.7,53.4
DELTA,300,3.0,970,41.3,77260.0,1.12,-38615.0,87.1,5.2,40.9,53.9
DELTA,300,3.25,970,41.3,84765.0,1.13,-38080.0,95.6,4.2,40.9,54.8
DELTA,300,3.5,970,41.3,86560.0,1.14,-37925.0,97.6,3.2,40.9,55.9
DELTA,300,3.75,970,41.3,95650.0,1.15,-37445.0,107.8,2.8,40.9,56.3
DELTA,300,4.0,970,41.2,82300.0,1.13,-36965.0,92.9,2.0,40.9,57.1
DELTA,400,1.0,938,51.2,89765.0,1.17,-22720.0,104.5,34.0,32.2,33.8
DELTA,400,1.25,938,47.3,77294.0,1.14,-29882.0,90.2,24.2,35.1,40.7
DELTA,400,1.5,938,45.2,80485.0,1.14,-27990.0,94.0,18.1,36.8,45.1
DELTA,400,1.75,938,44.1,80248.0,1.13,-27148.0,93.9,14.1,37.6,48.3
DELTA,400,2.0,938,43.7,77920.0,1.13,-26640.0,91.1,10.2,38.1,51.7
DELTA,400,2.25,938,43.3,78295.0,1.13,-26232.0,91.6,8.2,38.4,53.4
DELTA,400,2.5,938,43.1,77758.0,1.13,-30930.0,90.9,6.3,38.6,55.1
DELTA,400,2.75,938,43.0,82968.0,1.14,-30005.0,97.0,5.3,38.7,56.0
DELTA,400,3.0,938,42.8,89120.0,1.15,-29540.0,104.2,4.7,38.9,56.4
DELTA,400,3.25,938,42.8,94936.0,1.16,-29386.0,111.0,3.7,38.9,57.4
DELTA,400,3.5,938,42.8,97798.0,1.16,-29232.0,114.4,2.9,38.9,58.2
DELTA,400,3.75,938,42.8,106190.0,1.17,-29079.0,124.2,2.7,38.9,58.4
DELTA,400,4.0,938,42.6,93245.0,1.15,-28925.0,109.2,1.9,38.9,59.2
DELTA,500,1.0,912,50.2,92570.0,1.18,-23385.0,111.5,33.0,31.0,36.0
DELTA,500,1.25,912,46.4,74144.0,1.14,-26085.0,89.5,22.7,33.9,43.4
DELTA,500,1.5,912,44.5,84140.0,1.15,-26710.0,101.7,16.9,35.3,47.8
DELTA,500,1.75,912,43.4,79356.0,1.14,-26234.0,96.0,12.7,36.3,51.0
DELTA,500,2.0,912,43.0,76690.0,1.13,-25980.0,92.7,8.9,36.7,54.4
DELTA,500,2.25,912,42.7,81876.0,1.14,-25826.0,99.0,7.1,37.0,55.9
