T_delta,T_abs,tp_rr,n_trades,wr%,net_$,PF,MaxDD_$,avg_$,TP%,SL%,EOD%
0,0,1.0,975,52.3,31285.0,1.05,-31435.0,32.1,38.8,39.9,21.3
0,0,1.25,973,48.3,26474.0,1.04,-32718.0,27.2,29.7,43.3,27.0
0,0,1.5,972,45.5,21568.0,1.03,-42268.0,22.2,23.3,45.6,31.2
0,0,1.75,970,43.8,12811.0,1.02,-44135.0,13.2,18.2,47.0,34.7
0,0,2.0,969,43.4,22200.0,1.03,-38485.0,22.9,14.6,47.4,38.1
0,0,2.25,968,42.7,20428.0,1.03,-39794.0,21.1,11.8,48.0,40.2
0,0,2.5,967,42.1,20870.0,1.03,-40892.0,21.6,9.3,48.6,42.1
0,0,2.75,967,41.9,27585.0,1.04,-40124.0,28.5,8.3,48.8,42.9
0,0,3.0,967,41.7,39000.0,1.06,-38125.0,40.3,7.2,49.0,43.7
0,0,3.25,967,41.6,46345.0,1.07,-38791.0,47.9,6.1,49.0,44.9
0,0,3.5,967,41.6,50530.0,1.07,-37328.0,52.3,4.9,49.0,46.1
0,0,3.75,967,41.5,58511.0,1.08,-35614.0,60.5,4.3,49.1,46.5
0,0,4.0,966,41.4,47665.0,1.07,-38255.0,49.3,3.5,49.2,47.3
0,30,1.0,907,53.8,53775.0,1.09,-39080.0,59.3,36.9,36.9,26.1
0,30,1.25,906,49.8,48842.0,1.08,-42466.0,53.9,27.5,40.4,32.1
0,30,1.5,905,47.4,48012.0,1.08,-50552.0,53.1,20.8,42.3,36.9
0,30,1.75,905,46.1,45345.0,1.07,-50904.0,50.1,15.7,43.5,40.8
0,30,2.0,904,45.7,46480.0,1.07,-49640.0,51.4,11.2,43.9,44.9
0,30,2.25,904,45.4,50280.0,1.08,-46941.0,55.6,8.7,44.2,47.0
0,30,2.5,904,45.2,55438.0,1.08,-46425.0,61.3,7.0,44.4,48.7
0,30,2.75,904,45.0,55361.0,1.08,-49185.0,61.2,5.9,44.6,49.6
0,30,3.0,904,44.8,63230.0,1.1,-48280.0,69.9,5.0,44.8,50.2
0,30,3.25,904,44.8,66414.0,1.1,-50508.0,73.5,3.9,44.8,51.3
0,30,3.5,904,44.8,63445.0,1.1,-50830.0,70.2,2.4,44.8,52.8
0,30,3.75,904,44.8,69738.0,1.11,-50830.0,77.1,2.0,44.8,53.2
0,30,4.0,903,44.7,58200.0,1.09,-50830.0,64.5,1.4,44.9,53.7
0,40,1.0,846,55.0,72350.0,1.14,-37590.0,85.5,33.8,34.8,31.4
0,40,1.25,845,51.7,77020.0,1.14,-41998.0,91.1,24.9,37.8,37.4
0,40,1.5,845,49.6,74862.0,1.13,-42708.0,88.6,18.5,39.3,42.2
0,40,1.75,845,48.3,69148.0,1.12,-44294.0,81.8,13.6,40.6,45.8
0,40,2.0,844,48.0,71755.0,1.12,-43125.0,85.0,9.8,40.9,49.3
0,40,2.25,844,47.7,79244.0,1.13,-41556.0,93.9,7.6,41.1,51.3
0,40,2.5,844,47.6,81748.0,1.14,-41040.0,96.9,5.7,41.2,53.1
0,40,2.75,844,47.5,77985.0,1.13,-43800.0,92.4,4.6,41.4,54.0
