entry_time,exit_time,entry,exit,sl,tp,risk_pts,raw_pts,gross_dollars,net_dollars,mae_pts,mfe_pts,hold_bars,hold_hours,reason
2021-01-05 09:45:00-05:00,2021-01-05 22:35:00-05:00,12747.75,12613.0,12613.0,13286.75,134.75,-134.75,-2695.0,-2710.0,142.75,96.5,139,11.583333333333334,SL
2021-01-06 10:25:00-05:00,2021-01-20 13:20:00-05:00,12701.75,13281.75,12556.75,13281.75,145.0,580.0,11600.0,11585.0,111.75,584.0,2720,226.66666666666666,TP
2021-01-21 11:00:00-05:00,2021-01-22 07:40:00-05:00,13385.75,13305.0,13305.0,13708.75,80.75,-80.75,-1615.0,-1630.0,83.75,37.75,233,19.416666666666668,SL
2021-01-22 09:35:00-05:00,2021-01-25 09:35:00-05:00,13347.75,13517.75,13305.25,13517.75,42.5,170.0,3400.0,3385.0,24.75,189.5,273,22.75,TP
2021-01-25 10:20:00-05:00,2021-01-25 10:50:00-05:00,13532.0,13479.5,13479.5,13742.0,52.5,-52.5,-1050.0,-1065.0,72.5,7.5,6,0.5,SL
2021-01-26 09:35:00-05:00,2021-01-26 09:40:00-05:00,13501.75,13462.75,13462.75,13657.75,39.0,-39.0,-780.0,-795.0,39.5,7.25,1,0.08333333333333333,SL
2021-01-26 10:50:00-05:00,2021-01-26 11:50:00-05:00,13514.0,13462.75,13462.75,13719.0,51.25,-51.25,-1025.0,-1040.0,54.5,19.0,12,1.0,SL
2021-01-28 09:35:00-05:00,2021-01-28 23:00:00-05:00,13162.75,12991.75,12991.75,13846.75,171.0,-171.0,-3420.0,-3435.0,171.25,231.25,146,12.166666666666666,SL
2021-02-01 10:45:00-05:00,2021-02-02 09:50:00-05:00,13116.0,13419.0,13040.25,13419.0,75.75,303.0,6060.0,6045.0,74.5,307.25,262,21.833333333333332,TP
2021-02-02 10:20:00-05:00,2021-02-12 17:00:00-05:00,13434.25,13820.25,13337.75,13820.25,96.5,386.0,7720.0,7705.0,89.0,386.5,2261,188.41666666666666,TP
2021-02-22 10:05:00-05:00,2021-02-22 10:20:00-05:00,13436.0,13388.25,13388.25,13627.0,47.75,-47.75,-955.0,-970.0,72.25,2.0,3,0.25,SL
2021-02-23 11:05:00-05:00,2021-02-23 11:55:00-05:00,13117.5,12969.75,12969.75,13708.5,147.75,-147.75,-2955.0,-2970.0,149.25,0.25,10,0.8333333333333334,SL
2021-02-26 12:10:00-05:00,2021-02-26 16:05:00-05:00,13052.25,12865.75,12865.75,13798.25,186.5,-186.5,-3730.0,-3745.0,189.5,37.25,47,3.9166666666666665,SL
2021-03-01 10:20:00-05:00,2021-03-03 08:35:00-05:00,13131.5,13034.75,13034.75,13518.5,96.75,-96.75,-1935.0,-1950.0,118.25,196.75,525,43.75,SL
2021-03-04 12:05:00-05:00,2021-03-04 12:25:00-05:00,12778.75,12660.75,12660.75,13250.75,118.0,-118.0,-2360.0,-2375.0,164.5,0.0,4,0.3333333333333333,SL
2021-03-05 13:40:00-05:00,2021-03-08 15:05:00-05:00,12601.25,12371.25,12371.25,13521.25,230.0,-230.0,-4600.0,-4615.0,233.25,160.0,290,24.166666666666668,SL
2021-03-09 12:00:00-05:00,2021-04-05 10:40:00-04:00,12746.75,13529.75,12551.0,13529.75,195.75,783.0,15660.0,15645.0,137.0,785.25,5081,423.4166666666667,TP
2021-04-05 11:35:00-04:00,2021-05-06 00:00:00-04:00,13544.5,13473.0,13377.5,14212.5,167.0,-71.5,-1430.0,-1445.0,163.75,519.5,6140,511.6666666666667,MAX_HOLD
2021-05-06 11:45:00-04:00,2021-05-10 10:55:00-04:00,13552.5,13461.0,13461.0,13918.5,91.5,-91.5,-1830.0,-1845.0,94.5,265.5,536,44.666666666666664,SL
2021-05-11 09:45:00-04:00,2021-05-12 10:45:00-04:00,13216.5,13079.25,13079.25,13765.5,137.25,-137.25,-2745.0,-2760.0,162.5,159.25,283,23.583333333333332,SL
2021-05-13 10:55:00-04:00,2021-05-13 13:35:00-04:00,13199.75,13030.75,13030.75,13875.75,169.0,-169.0,-3380.0,-3395.0,191.75,24.0,32,2.6666666666666665,SL
2021-05-14 10:30:00-04:00,2021-05-17 13:35:00-04:00,13290.0,13202.0,13202.0,13642.0,88.0,-88.0,-1760.0,-1775.0,91.5,158.5,310,25.833333333333332,SL
2021-05-19 10:30:00-04:00,2021-05-24 10:15:00-04:00,13092.5,13599.5,12965.75,13599.5,126.75,507.0,10140.0,10125.0,48.5,523.25,816,68.0,TP
2021-05-24 10:20:00-04:00,2021-06-03 09:45:00-04:00,13624.75,13506.75,13506.75,14096.75,118.0,-118.0,-2360.0,-2375.0,135.75,148.25,2132,177.66666666666666,SL
2021-06-03 13:00:00-04:00,2021-06-03 15:50:00-04:00,13579.0,13523.25,13523.25,13802.0,55.75,-55.75,-1115.0,-1130.0,59.5,15.0,34,2.8333333333333335,SL
2021-06-04 09:35:00-04:00,2021-06-14 15:55:00-04:00,13642.5,14105.5,13526.75,14105.5,115.75,463.0,9260.0,9245.0,0.0,467.0,1714,142.83333333333334,TP
2021-06-16 09:45:00-04:00,2021-06-16 11:35:00-04:00,14064.75,14037.25,14037.25,14174.75,27.5,-27.5,-550.0,-565.0,29.25,31.0,22,1.8333333333333333,SL
2021-06-17 09:35:00-04:00,2021-06-23 10:05:00-04:00,13978.0,14315.0,13893.75,14315.0,84.25,337.0,6740.0,6725.0,19.5,337.75,1098,91.5,TP
2021-06-24 10:25:00-04:00,2021-06-24 13:50:00-04:00,14394.0,14336.5,14336.5,14624.0,57.5,-57.5,-1150.0,-1165.0,61.0,28.0,41,3.4166666666666665,SL
2021-06-28 09:40:00-04:00,2021-07-06 07:35:00-04:00,14453.5,14743.5,14381.0,14743.5,72.5,290.0,5800.0,5785.0,26.25,290.25,1583,131.91666666666666,TP
2021-07-06 10:05:00-04:00,2021-07-06 10:35:00-04:00,14761.75,14734.75,14734.75,14869.75,27.0,-27.0,-540.0,-555.0,36.5,28.25,6,0.5,SL
2021-07-08 11:40:00-04:00,2021-07-19 07:20:00-04:00,14661.0,14574.5,14574.5,15007.0,86.5,-86.5,-1730.0,-1745.0,87.5,335.0,1880,156.66666666666666,SL
2021-07-20 11:15:00-04:00,2021-07-22 16:35:00-04:00,14665.25,14961.25,14591.25,14961.25,74.0,296.0,5920.0,5905.0,6.75,296.75,616,51.333333333333336,TP
2021-07-23 10:40:00-04:00,2021-07-27 10:15:00-04:00,15010.5,14969.75,14969.75,15173.5,40.75,-40.75,-815.0,-830.0,45.25,123.5,547,45.583333333333336,SL
2021-07-29 10:30:00-04:00,2021-07-29 16:05:00-04:00,15064.5,14983.0,14983.0,15390.5,81.5,-81.5,-1630.0,-1645.0,83.5,19.5,67,5.583333333333333,SL
2021-07-30 09:50:00-04:00,2021-08-03 11:30:00-04:00,14927.0,14856.0,14856.0,15211.0,71.0,-71.0,-1420.0,-1435.0,78.0,129.25,572,47.666666666666664,SL
2021-08-03 13:00:00-04:00,2021-08-11 11:20:00-04:00,15020.75,14965.25,14965.25,15242.75,55.5,-55.5,-1110.0,-1125.0,57.75,151.75,1636,136.33333333333334,SL
2021-08-12 10:50:00-04:00,2021-08-16 10:15:00-04:00,15035.75,14986.5,14986.5,15232.75,49.25,-49.25,-985.0,-1000.0,54.25,106.0,545,45.416666666666664,SL
2021-08-18 10:10:00-04:00,2021-08-18 11:15:00-04:00,15012.5,14974.5,14974.5,15164.5,38.0,-38.0,-760.0,-775.0,38.5,24.75,13,1.0833333333333333,SL
2021-08-19 09:35:00-04:00,2021-08-22 21:10:00-04:00,14815.25,15122.25,14738.5,15122.25,76.75,307.0,6140.0,6125.0,42.0,307.75,403,33.583333333333336,TP
2021-08-23 09:50:00-04:00,2021-08-30 09:55:00-04:00,15197.25,15519.25,15116.75,15519.25,80.5,322.0,6440.0,6425.0,7.0,326.0,1380,115.0,TP
2021-08-30 10:25:00-04:00,2021-09-10 15:55:00-04:00,15567.0,15437.0,15437.0,16087.0,130.0,-130.0,-2600.0,-2615.0,135.5,141.75,2502,208.5,SL
2021-09-15 13:30:00-04:00,2021-09-16 09:55:00-04:00,15443.25,15391.5,15391.5,15650.25,51.75,-51.75,-1035.0,-1050.0,56.0,77.5,233,19.416666666666668,SL
2021-09-20 09:55:00-04:00,2021-09-20 10:20:00-04:00,15106.75,15048.25,15048.25,15340.75,58.5,-58.5,-1170.0,-1185.0,76.0,9.75,5,0.4166666666666667,SL
2021-09-22 10:20:00-04:00,2021-09-23 03:35:00-04:00,15110.5,15235.5,15079.25,15235.5,31.25,125.0,2500.0,2485.0,20.25,128.25,195,16.25,TP
2021-09-23 10:05:00-04:00,2021-09-24 07:15:00-04:00,15318.5,15205.25,15205.25,15771.5,113.25,-113.25,-2265.0,-2280.0,119.25,28.5,242,20.166666666666668,SL
2021-09-24 09:55:00-04:00,2021-09-26 20:15:00-04:00,15211.0,15348.0,15176.75,15348.0,34.25,137.0,2740.0,2725.0,6.0,144.0,112,9.333333333333334,TP
2021-09-30 09:50:00-04:00,2021-09-30 10:35:00-04:00,14865.0,14802.0,14802.0,15117.0,63.0,-63.0,-1260.0,-1275.0,77.0,13.75,9,0.75,SL
2021-10-05 09:50:00-04:00,2021-10-06 03:30:00-04:00,14574.25,14506.0,14506.0,14847.25,68.25,-68.25,-1365.0,-1380.0,70.5,180.5,200,16.666666666666668,SL
2021-10-06 10:50:00-04:00,2021-10-20 09:55:00-04:00,14684.0,15437.0,14495.75,15437.0,188.25,753.0,15060.0,15045.0,116.5,755.0,2747,228.91666666666666,TP
2021-10-21 09:55:00-04:00,2021-10-22 11:25:00-04:00,15389.75,15325.0,15325.0,15648.75,64.75,-64.75,-1295.0,-1310.0,66.0,94.0,294,24.5,SL
2021-10-25 09:35:00-04:00,2021-10-25 09:40:00-04:00,15424.0,15374.75,15374.75,15621.0,49.25,-49.25,-985.0,-1000.0,67.25,4.75,1,0.08333333333333333,SL
2021-10-25 11:10:00-04:00,2021-10-26 04:25:00-04:00,15421.25,15607.25,15374.75,15607.25,46.5,186.0,3720.0,3705.0,10.25,191.0,195,16.25,TP
2021-10-26 10:50:00-04:00,2021-10-26 12:05:00-04:00,15689.75,15580.25,15580.25,16127.75,109.5,-109.5,-2190.0,-2205.0,120.25,11.25,15,1.25,SL
2021-10-27 10:35:00-04:00,2021-11-02 09:45:00-04:00,15626.75,15938.75,15548.75,15938.75,78.0,312.0,6240.0,6225.0,45.25,322.25,1092,91.0,TP
2021-11-02 09:55:00-04:00,2021-11-04 13:50:00-04:00,15961.5,16345.5,15865.5,16345.5,96.0,384.0,7680.0,7665.0,67.0,385.5,599,49.916666666666664,TP
2021-11-04 14:00:00-04:00,2021-11-09 13:50:00-05:00,16349.5,16171.5,16171.5,17061.5,178.0,-178.0,-3560.0,-3575.0,189.5,99.0,824,68.66666666666667,SL
2021-11-10 10:10:00-05:00,2021-11-10 13:05:00-05:00,16187.5,16081.5,16081.5,16611.5,106.0,-106.0,-2120.0,-2135.0,106.75,33.5,35,2.9166666666666665,SL
2021-11-12 11:05:00-05:00,2021-11-18 09:50:00-05:00,16130.25,16411.25,16060.0,16411.25,70.25,281.0,5620.0,5605.0,48.0,290.75,1089,90.75,TP
2021-11-18 12:05:00-05:00,2021-11-22 16:00:00-05:00,16469.5,16390.0,16390.0,16787.5,79.5,-79.5,-1590.0,-1605.0,92.5,298.0,598,49.833333333333336,SL
2021-11-24 11:50:00-05:00,2021-11-26 03:05:00-05:00,16326.5,16184.25,16184.25,16895.5,142.25,-142.25,-2845.0,-2860.0,152.75,109.5,399,33.25,SL
2021-11-29 11:00:00-05:00,2021-11-30 11:00:00-05:00,16276.0,16194.5,16194.5,16602.0,81.5,-81.5,-1630.0,-1645.0,134.0,180.25,274,22.833333333333332,SL
2021-12-01 11:50:00-05:00,2021-12-01 12:00:00-05:00,16403.0,16337.5,16337.5,16665.0,65.5,-65.5,-1310.0,-1325.0,78.75,0.0,2,0.16666666666666666,SL
2021-12-02 10:05:00-05:00,2021-12-02 10:45:00-05:00,16018.75,15790.75,15790.75,16930.75,228.0,-228.0,-4560.0,-4575.0,246.5,1.5,8,0.6666666666666666,SL
2021-12-02 11:50:00-05:00,2021-12-03 10:05:00-05:00,15927.0,15790.75,15790.75,16472.0,136.25,-136.25,-2725.0,-2740.0,151.5,194.75,253,21.083333333333332,SL
2021-12-06 12:20:00-05:00,2021-12-07 10:15:00-05:00,15779.5,16248.5,15662.25,16248.5,117.25,469.0,9380.0,9365.0,19.75,486.75,251,20.916666666666668,TP
2021-12-07 10:35:00-05:00,2021-12-13 11:55:00-05:00,16258.5,16119.5,16119.5,16814.5,139.0,-139.0,-2780.0,-2795.0,146.75,178.25,1115,92.91666666666667,SL
2021-12-17 10:50:00-05:00,2021-12-19 19:05:00-05:00,15881.5,15688.5,15688.5,16653.5,193.0,-193.0,-3860.0,-3875.0,215.5,75.0,87,7.25,SL
2021-12-20 10:20:00-05:00,2021-12-20 11:00:00-05:00,15623.5,15534.0,15534.0,15981.5,89.5,-89.5,-1790.0,-1805.0,95.25,14.25,8,0.6666666666666666,SL
2021-12-21 12:30:00-05:00,2021-12-22 10:40:00-05:00,15837.5,16057.5,15782.5,16057.5,55.0,220.0,4400.0,4385.0,6.0,235.25,254,21.166666666666668,TP
2021-12-22 11:15:00-05:00,2022-01-05 14:45:00-05:00,16115.5,15909.0,15909.0,16941.5,206.5,-206.5,-4130.0,-4145.0,225.25,544.0,2524,210.33333333333334,SL
2022-01-06 10:50:00-05:00,2022-01-07 03:45:00-05:00,15842.75,15677.5,15677.5,16503.75,165.25,-165.25,-3305.0,-3320.0,176.25,53.0,189,15.75,SL
2022-01-11 11:30:00-05:00,2022-01-13 12:50:00-05:00,15750.25,15597.0,15597.0,16363.25,153.25,-153.25,-3065.0,-3080.0,156.0,259.0,568,47.333333333333336,SL
2022-01-14 09:55:00-05:00,2022-01-18 03:25:00-05:00,15546.5,15322.25,15322.25,16443.5,224.25,-224.25,-4485.0,-4500.0,228.25,106.75,426,35.5,SL
2022-01-20 10:05:00-05:00,2022-01-20 14:15:00-05:00,15279.75,15152.75,15152.75,15787.75,127.0,-127.0,-2540.0,-2555.0,132.5,60.5,50,4.166666666666667,SL
2022-01-21 11:05:00-05:00,2022-01-21 11:50:00-05:00,14759.25,14695.5,14695.5,15014.25,63.75,-63.75,-1275.0,-1290.0,92.75,99.25,9,0.75,SL
