k,mode,drift,giveback,scale_body,max_gb,min_gap,IS_pf,OOS_pf,FULL_pf,FULL_net,FULL_dd,n,robust_pf
1.0,pure_ratchet,0.0,0.0,True,0.5,0.0,1.220130315500686,1.154164158137668,1.189736477115118,51300.0,-16290.0,709,1.154164158137668
1.0,pure_ratchet,0.0,0.3,True,0.5,0.0,1.2910243902439025,1.1785444947209653,1.2389383621442291,68420.0,-15535.0,709,1.1785444947209653
1.0,pure_ratchet,0.0,0.3,True,0.5,0.3,1.1925096125406685,1.0249056603773585,1.1139730441274707,29005.0,-18895.0,709,1.0249056603773585
1.0,pure_ratchet,0.0,0.3,True,1.0,0.0,1.2910243902439025,1.1785444947209653,1.2389383621442291,68420.0,-15535.0,709,1.1785444947209653
1.0,pure_ratchet,0.0,0.3,True,1.0,0.3,1.1925096125406685,1.0249056603773585,1.1139730441274707,29005.0,-18895.0,709,1.0249056603773585
1.0,pure_ratchet,0.0,0.3,False,0.5,0.0,1.3447671994440584,1.3511670416197976,1.347593250857613,111965.0,-18340.0,709,1.3447671994440584
1.0,pure_ratchet,0.0,0.3,False,0.5,0.3,1.2922080102057945,1.0791123793789659,1.1916164480680609,54055.0,-18475.0,709,1.0791123793789659
1.0,pure_ratchet,0.0,0.3,False,1.0,0.0,1.3447671994440584,1.3511670416197976,1.347593250857613,111965.0,-18340.0,709,1.3447671994440584
1.0,pure_ratchet,0.0,0.3,False,1.0,0.3,1.2922080102057945,1.0791123793789659,1.1916164480680609,54055.0,-18475.0,709,1.0791123793789659
1.0,pure_ratchet,0.0,0.5,True,0.5,0.0,1.3084785623831634,1.2576486166283365,1.2848991335833442,88125.0,-22135.0,709,1.2576486166283365
1.0,pure_ratchet,0.0,0.5,True,0.5,0.3,1.2353887399463808,1.0221947227655583,1.134669784633953,35705.0,-16625.0,709,1.0221947227655583
1.0,pure_ratchet,0.0,0.5,True,1.0,0.0,1.2777023837620958,1.2464693898691344,1.2633119620726412,82755.0,-21735.0,709,1.2464693898691344
1.0,pure_ratchet,0.0,0.5,True,1.0,0.3,1.230813103767868,1.0221947227655583,1.1324005724615849,35155.0,-16625.0,709,1.0221947227655583
1.0,pure_ratchet,0.0,0.5,False,0.5,0.0,1.356549154485526,1.2927955368880053,1.327966881324747,114080.0,-20480.0,709,1.2927955368880053
1.0,pure_ratchet,0.0,0.5,False,0.5,0.3,1.2754608080431948,1.1280984125814888,1.208077201610051,61775.0,-16745.0,709,1.1280984125814888
1.0,pure_ratchet,0.0,0.5,False,1.0,0.0,1.326764670149435,1.2898827460691589,1.3102099850010713,115820.0,-17275.0,709,1.2898827460691589
1.0,pure_ratchet,0.0,0.5,False,1.0,0.3,1.2028008440899998,1.1975653144511493,1.2004972528315787,65320.0,-17935.0,709,1.1975653144511493
1.0,pure_ratchet,0.0,0.7,True,0.5,0.0,1.3265968859636406,1.3766670242053702,1.3490185404591886,108995.0,-21705.0,709,1.3265968859636406
1.0,pure_ratchet,0.0,0.7,True,0.5,0.3,1.2689746539762228,1.0911175238170534,1.1856243052982587,50100.0,-16625.0,709,1.0911175238170534
1.0,pure_ratchet,0.0,0.7,True,1.0,0.0,1.3538931041240865,1.2499673799582462,1.3058924562698688,101515.0,-22375.0,709,1.2499673799582462
1.0,pure_ratchet,0.0,0.7,True,1.0,0.3,1.310044874007594,1.091330730877749,1.20686322775924,56725.0,-20550.0,709,1.091330730877749
1.0,pure_ratchet,0.0,0.7,False,0.5,0.0,1.3742728028256805,1.3386029531601422,1.358455111804923,123995.0,-20480.0,709,1.3386029531601422
1.0,pure_ratchet,0.0,0.7,False,0.5,0.3,1.2743612827119486,1.1230413562805035,1.2050147988699045,60955.0,-16970.0,709,1.1230413562805035
1.0,pure_ratchet,0.0,0.7,False,1.0,0.0,1.3348212143028557,1.3069532161992277,1.3224203838623316,121035.0,-17275.0,709,1.3069532161992277
1.0,pure_ratchet,0.0,0.7,False,1.0,0.3,1.1999126780549036,1.209893471152832,1.2042741477054495,66480.0,-17935.0,709,1.1999126780549036
