delta,tp_rr,n_all,wr_all,all_net,all_PF,all_mdd,all_avg,is_n,is_net,is_PF,oos_n,oos_net,oos_PF,beat_both,net_mdd_ratio
0,0.5,849,64.1,59618.0,1.118,-24568.0,70.2,509,39852.0,1.147,340,19765.0,1.083,True,2.4266525561706285
0,0.75,849,59.7,118211.0,1.212,-20514.0,139.2,509,57010.0,1.186,340,61201.0,1.243,True,5.7624549088427415
0,1.0,849,57.2,130645.0,1.224,-24035.0,153.9,509,67915.0,1.212,340,62730.0,1.239,True,5.435614728520907
0,1.25,849,55.7,118872.0,1.197,-24145.0,140.0,509,59870.0,1.179,340,59002.0,1.219,True,4.92325533236695
0,1.5,849,55.5,119035.0,1.196,-22500.0,140.2,509,64742.0,1.192,340,54292.0,1.2,True,5.290444444444445
0,2.0,849,55.1,119815.0,1.196,-22140.0,141.1,509,59020.0,1.173,340,60795.0,1.224,True,5.411698283649503
0,2.5,849,55.1,135565.0,1.222,-22140.0,159.7,509,66922.0,1.197,340,68642.0,1.253,True,6.123080397470641
0,3.0,849,55.1,136955.0,1.224,-22140.0,161.3,509,72180.0,1.212,340,64775.0,1.239,True,6.185862691960253
0,4.0,849,55.0,134160.0,1.219,-22140.0,158.0,509,67035.0,1.196,340,67125.0,1.248,True,6.059620596205962
0,5.0,849,55.0,133320.0,1.218,-22140.0,157.0,509,66865.0,1.196,340,66455.0,1.245,True,6.021680216802168
50,0.5,844,64.0,67220.0,1.135,-23808.0,79.6,506,43135.0,1.162,338,24085.0,1.104,True,2.823420698924731
50,0.75,844,59.6,125140.0,1.227,-20514.0,148.3,506,56975.0,1.187,338,68165.0,1.277,True,6.100224237106366
50,1.0,844,57.1,134490.0,1.234,-24270.0,159.3,506,65390.0,1.205,338,69100.0,1.269,True,5.541409147095179
50,1.25,844,55.7,122630.0,1.206,-24325.0,145.3,506,59509.0,1.18,338,63121.0,1.239,True,5.041315519013361
50,1.5,844,55.3,123742.0,1.206,-22735.0,146.6,506,63475.0,1.19,338,60268.0,1.227,True,5.442797448867385
50,2.0,844,55.1,126970.0,1.211,-22360.0,150.4,506,60990.0,1.181,338,65980.0,1.249,True,5.678443649373882
50,2.5,844,55.1,142760.0,1.237,-22360.0,169.1,506,68892.0,1.205,338,73868.0,1.278,True,6.384615384615385
50,3.0,844,55.1,144150.0,1.239,-22360.0,170.8,506,74150.0,1.22,338,70000.0,1.264,True,6.446779964221824
50,4.0,844,55.0,141355.0,1.234,-22360.0,167.5,506,69005.0,1.204,338,72350.0,1.273,True,6.321779964221824
50,5.0,844,55.0,140515.0,1.233,-22360.0,166.5,506,68835.0,1.204,338,71680.0,1.27,True,6.284212880143112
100,0.5,835,64.1,75788.0,1.155,-22592.0,90.8,501,43185.0,1.163,334,32602.0,1.146,True,3.3546388101983005
100,0.75,835,59.8,126639.0,1.234,-20514.0,151.7,501,54708.0,1.18,334,71931.0,1.301,True,6.173296285463586
