N,tp_rr,delta,n_all,wr_all,all_net,all_PF,all_mdd,is_net,is_PF,oos_net,oos_PF,beat_both,net_mdd_ratio
1,1.0,100,835,57.4,137760.0,1.244,-24825.0,64600.0,1.204,73160.0,1.294,True,5.549244712990936
1,1.0,150,827,57.7,142775.0,1.259,-26720.0,64035.0,1.206,78740.0,1.327,True,5.343375748502994
1,1.0,200,810,57.8,134355.0,1.246,-24755.0,55810.0,1.179,78545.0,1.335,True,5.427388406382549
1,1.0,300,786,58.1,126715.0,1.241,-25790.0,53150.0,1.176,73565.0,1.328,True,4.913338503295851
1,1.5,100,835,55.4,124910.0,1.211,-23490.0,59275.0,1.178,65635.0,1.255,True,5.317581949765858
1,1.5,150,827,55.7,128645.0,1.223,-25385.0,59470.0,1.181,69175.0,1.277,True,5.067756549143195
1,1.5,200,810,56.0,130045.0,1.229,-23420.0,55995.0,1.171,74050.0,1.308,True,5.552732707087959
1,1.5,300,786,56.4,115472.0,1.211,-24280.0,48262.0,1.152,67210.0,1.291,True,4.7558484349258645
1,2.0,100,835,55.3,129865.0,1.219,-22520.0,60730.0,1.181,69135.0,1.268,True,5.766651865008881
1,2.0,150,827,55.6,134665.0,1.232,-24430.0,60435.0,1.183,74230.0,1.297,True,5.512279983626689
1,2.0,200,810,55.9,136065.0,1.239,-23715.0,56960.0,1.173,79105.0,1.329,True,5.737507906388362
1,2.0,300,786,56.1,118995.0,1.216,-24185.0,44890.0,1.14,74105.0,1.321,True,4.9201984701261114
1,2.5,100,835,55.3,144002.0,1.243,-22360.0,68632.0,1.205,75370.0,1.293,True,6.440161001788908
1,2.5,150,827,55.6,147058.0,1.254,-24430.0,67405.0,1.204,79652.0,1.319,True,6.019566107245191
1,2.5,200,810,55.9,148458.0,1.261,-23715.0,63930.0,1.195,84528.0,1.351,True,6.260088551549652
1,2.5,300,786,56.1,130848.0,1.237,-23560.0,51172.0,1.159,79675.0,1.345,True,5.553820033955858
1,3.0,100,835,55.3,147435.0,1.249,-22370.0,73890.0,1.221,73545.0,1.285,True,6.590746535538668
1,3.0,150,827,55.6,149805.0,1.259,-24430.0,71940.0,1.218,77865.0,1.312,True,6.132009823986901
1,3.0,200,810,55.9,151205.0,1.266,-23715.0,68465.0,1.208,82740.0,1.344,True,6.375922411975543
1,3.0,300,786,56.1,131420.0,1.238,-24035.0,55010.0,1.171,76410.0,1.331,True,5.467859371749532
2,1.0,100,748,57.5,89015.0,1.178,-25845.0,50050.0,1.18,38965.0,1.176,True,3.444186496420971
2,1.0,150,733,57.3,83680.0,1.171,-25880.0,50740.0,1.187,32940.0,1.151,True,3.2333848531684697
2,1.0,200,711,57.2,78290.0,1.164,-26105.0,45385.0,1.17,32905.0,1.157,True,2.9990423290557366
2,1.0,300,671,58.1,86500.0,1.198,-21605.0,40880.0,1.164,45620.0,1.242,True,4.003702846563296
2,1.5,100,748,56.6,81942.0,1.161,-24835.0,47215.0,1.165,34728.0,1.155,True,3.299456412321321
2,1.5,150,733,56.3,73028.0,1.147,-25065.0,46870.0,1.169,26158.0,1.119,True,2.913544783562737
2,1.5,200,711,56.4,72560.0,1.15,-25095.0,45502.0,1.167,27058.0,1.128,True,2.891412631998406
2,1.5,300,671,57.4,78878.0,1.177,-21605.0,40845.0,1.16,38032.0,1.2,True,3.650914140245314
2,2.0,100,748,56.3,81290.0,1.159,-25035.0,43430.0,1.151,37860.0,1.169,True,3.2470541242260835
2,2.0,150,733,56.1,74205.0,1.148,-25070.0,43720.0,1.156,30485.0,1.139,True,2.9599122457120064
2,2.0,200,711,56.1,72975.0,1.15,-25295.0,41590.0,1.151,31385.0,1.148,True,2.8849575014825066
2,2.0,300,671,57.2,77385.0,1.173,-21605.0,38135.0,1.148,39250.0,1.206,True,3.581809766257811
2,2.5,100,748,56.3,86790.0,1.17,-25035.0,44082.0,1.153,42708.0,1.191,True,3.4667465548232475
2,2.5,150,733,56.1,79705.0,1.159,-25070.0,44372.0,1.158,35332.0,1.161,True,3.179297965696051
2,2.5,200,711,56.1,77712.0,1.16,-25295.0,41480.0,1.151,36232.0,1.171,True,3.072227712986756
2,2.5,300,671,57.1,75610.0,1.169,-21605.0,35855.0,1.14,39755.0,1.209,True,3.499652858134691
2,3.0,100,748,56.3,92195.0,1.18,-25035.0,44640.0,1.155,47555.0,1.212,True,3.682644297982824
2,3.0,150,733,56.1,85110.0,1.17,-25070.0,44930.0,1.16,40180.0,1.183,True,3.3948942959712802
2,3.0,200,711,56.1,83160.0,1.171,-25295.0,42080.0,1.153,41080.0,1.194,True,3.287606246293734
2,3.0,300,671,57.1,75620.0,1.169,-21605.0,36455.0,1.142,39165.0,1.206,True,3.500115713955103
3,1.0,100,703,57.8,98840.0,1.221,-21575.0,66050.0,1.276,32790.0,1.158,True,4.581228273464658
3,1.0,150,689,57.5,92955.0,1.214,-20595.0,61280.0,1.259,31675.0,1.16,True,4.513474144209759
3,1.0,200,664,58.3,91675.0,1.221,-21330.0,68765.0,1.31,22910.0,1.118,True,4.297937177684013
3,1.0,300,621,60.2,106535.0,1.292,-14055.0,53825.0,1.26,52710.0,1.334,True,7.5798648167911775
3,1.5,100,703,57.2,89535.0,1.197,-21870.0,62510.0,1.254,27025.0,1.13,True,4.093964334705076
3,1.5,150,689,56.9,82452.0,1.187,-21215.0,55082.0,1.227,27370.0,1.139,True,3.886495404195145
3,1.5,200,664,57.7,82740.0,1.196,-20750.0,63390.0,1.278,19350.0,1.1,True,3.987469879518072
3,1.5,300,621,59.6,97110.0,1.262,-14040.0,49712.0,1.233,47398.0,1.301,True,6.916666666666667
3,2.0,100,703,57.2,101170.0,1.223,-21870.0,69710.0,1.284,31460.0,1.151,True,4.625971650663009
3,2.0,150,689,56.9,93825.0,1.213,-21215.0,62020.0,1.256,31805.0,1.161,True,4.422578364364836
3,2.0,200,664,57.7,94285.0,1.224,-20750.0,70500.0,1.31,23785.0,1.123,True,4.543855421686747
3,2.0,300,621,59.6,102685.0,1.277,-14040.0,53990.0,1.253,48695.0,1.309,True,7.313746438746438
3,2.5,100,703,57.0,100898.0,1.222,-21870.0,64442.0,1.26,36455.0,1.175,True,4.613534522176497
3,2.5,150,689,56.9,99288.0,1.226,-21215.0,62488.0,1.258,36800.0,1.186,True,4.680084845628094
3,2.5,200,664,57.5,96360.0,1.229,-20750.0,67580.0,1.297,28780.0,1.149,True,4.643855421686747
3,2.5,300,621,59.4,100900.0,1.272,-14040.0,51735.0,1.243,49165.0,1.312,True,7.186609686609686
3,3.0,100,703,57.0,105415.0,1.232,-21870.0,65590.0,1.265,39825.0,1.192,True,4.820073159579333
3,3.0,150,689,56.9,103810.0,1.236,-21215.0,63640.0,1.262,40170.0,1.203,True,4.893235917982559
3,3.0,200,664,57.5,100330.0,1.238,-20750.0,68180.0,1.299,32150.0,1.166,True,4.835180722891566
3,3.0,300,621,59.4,100910.0,1.272,-14040.0,52335.0,1.246,48575.0,1.308,True,7.187321937321937
4,1.0,100,668,58.2,99600.0,1.245,-18225.0,69415.0,1.327,30185.0,1.155,True,5.465020576131687
