session_date,entry_time,entry_price,exit_price,sl,tp,risk_pts,delta_at_entry,net_pts,net_dollars,reason
2021-01-05,2021-01-05 10:05:00-05:00,12772.75,12773.75,12650.25,12895.25,122.5,483.0,0.5,5.0,EOD
2021-01-06,2021-01-06 10:15:00-05:00,12676.75,12683.0,12551.25,12802.25,125.5,437.0,5.75,110.0,EOD
2021-01-07,2021-01-07 10:05:00-05:00,12871.5,12917.75,12726.0,13017.0,145.5,492.0,45.75,910.0,EOD
2021-01-11,2021-01-11 10:10:00-05:00,12980.5,12941.25,12892.25,13068.75,88.25,435.0,-39.75,-800.0,EOD
2021-01-13,2021-01-13 10:40:00-05:00,12958.75,12989.25,12864.5,13053.0,94.25,797.0,30.0,595.0,EOD
2021-01-14,2021-01-14 10:50:00-05:00,13020.75,12968.75,12968.75,13072.75,52.0,701.0,-52.5,-1055.0,SL
2021-01-19,2021-01-19 12:40:00-05:00,12931.25,12985.5,12860.5,13002.0,70.75,312.0,53.75,1070.0,EOD
2021-01-20,2021-01-20 10:10:00-05:00,13206.5,13292.0,13121.0,13292.0,85.5,894.0,85.0,1695.0,TP
2021-01-21,2021-01-21 10:15:00-05:00,13364.5,13405.0,13283.25,13445.75,81.25,972.0,40.0,795.0,EOD
2021-01-26,2021-01-26 10:50:00-05:00,13514.0,13496.25,13426.75,13601.25,87.25,386.0,-18.25,-370.0,EOD
2021-01-28,2021-01-28 10:20:00-05:00,13266.25,13330.75,13128.25,13404.25,138.0,719.0,64.0,1275.0,EOD
2021-01-29,2021-01-29 10:25:00-05:00,13147.5,12998.0,12998.0,13297.0,149.5,1049.0,-150.0,-3005.0,SL
2021-02-01,2021-02-01 10:45:00-05:00,13116.0,13261.75,12970.25,13261.75,145.75,629.0,145.25,2900.0,TP
2021-02-02,2021-02-02 10:20:00-05:00,13434.25,13488.75,13345.0,13523.5,89.25,1039.0,54.0,1075.0,EOD
2021-02-04,2021-02-04 13:15:00-05:00,13497.5,13506.25,13412.25,13582.75,85.25,566.0,8.25,160.0,EOD
2021-02-05,2021-02-05 12:45:00-05:00,13618.5,13594.5,13535.25,13701.75,83.25,401.0,-24.5,-495.0,EOD
2021-02-08,2021-02-08 10:05:00-05:00,13674.5,13632.75,13632.75,13716.25,41.75,447.0,-42.25,-850.0,SL
2021-02-09,2021-02-09 10:20:00-05:00,13725.5,13704.75,13645.25,13805.75,80.25,308.0,-21.25,-430.0,EOD
2021-02-12,2021-02-12 10:15:00-05:00,13706.75,13741.75,13646.0,13767.5,60.75,468.0,34.5,685.0,EOD
