delta_threshold,n,wr,net,avg_trade,avg_win,avg_loss,pf,mdd,tp_pct,sl_pct,eod_pct
0,849,57.2,130645.0,153.9,1467.0,-1608.0,1.224,-24035.0,23.3,23.2,53.5
50,844,57.1,134490.0,159.3,1472.0,-1592.0,1.234,-24270.0,23.0,22.9,54.1
100,835,57.4,137760.0,165.0,1467.0,-1592.0,1.244,-24825.0,22.5,22.6,54.9
150,827,57.7,142775.0,172.6,1456.0,-1581.0,1.259,-26720.0,22.4,22.2,55.4
200,810,57.8,134355.0,165.9,1453.0,-1600.0,1.246,-24755.0,22.2,22.5,55.3
250,801,57.9,125285.0,156.4,1434.0,-1608.0,1.232,-25575.0,21.6,22.1,56.3
300,786,58.1,126715.0,161.2,1428.0,-1609.0,1.241,-25790.0,21.6,21.9,56.5
400,744,57.7,90340.0,121.4,1382.0,-1606.0,1.18,-26330.0,20.0,21.4,58.6
500,686,57.0,60745.0,88.5,1342.0,-1583.0,1.131,-26640.0,18.2,20.6,61.2
600,606,55.4,30555.0,50.4,1357.0,-1588.0,1.072,-34375.0,17.5,21.3,61.2
750,453,56.5,37175.0,82.1,1347.0,-1585.0,1.121,-34770.0,18.1,19.6,62.3
1000,235,51.1,-9690.0,-41.2,1440.0,-1601.0,0.947,-40940.0,15.7,19.6,64.7
1500,52,61.5,9770.0,187.9,1258.0,-1525.0,1.32,-15080.0,13.5,11.5,75.0
