sl_ticks,tp_ticks,n_all,wr_all,all_net,all_PF,all_mdd,all_avg,is_wr,is_net,is_PF,is_mdd,oos_wr,oos_net,oos_PF,oos_mdd,beat_both,wr_min
100,10,1344,47.5,-332670.0,0.071,-332750.0,-247.5,52.1,-178940.0,0.086,-178980.0,40.7,-153730.0,0.054,-153930.0,False,40.7
100,11,1344,47.5,-330030.0,0.08,-330120.0,-245.6,52.0,-177395.0,0.096,-177440.0,40.7,-152635.0,0.061,-152860.0,False,40.7
100,12,1344,46.7,-332200.0,0.086,-332300.0,-247.2,51.2,-178420.0,0.104,-178470.0,40.0,-153780.0,0.065,-154030.0,False,40.0
100,13,1344,46.6,-329370.0,0.095,-329480.0,-245.1,51.0,-176665.0,0.113,-176720.0,40.0,-152705.0,0.072,-152980.0,False,40.0
100,14,1344,46.2,-329090.0,0.102,-329210.0,-244.9,50.4,-177460.0,0.121,-177520.0,40.0,-151630.0,0.078,-151930.0,False,40.0
100,15,1344,46.1,-327135.0,0.11,-327265.0,-243.4,50.2,-176005.0,0.13,-176070.0,39.8,-151130.0,0.084,-151455.0,False,39.8
100,16,1344,45.9,-325200.0,0.117,-325340.0,-242.0,50.0,-175140.0,0.139,-175210.0,39.8,-150060.0,0.091,-150410.0,False,39.8
100,17,1344,45.6,-324455.0,0.124,-324605.0,-241.4,49.6,-174880.0,0.146,-174955.0,39.6,-149575.0,0.096,-149950.0,False,39.6
100,18,1344,45.3,-323750.0,0.131,-323910.0,-240.9,49.1,-175240.0,0.153,-175320.0,39.6,-148510.0,0.103,-148910.0,False,39.6
100,19,1344,45.0,-322625.0,0.137,-322795.0,-240.0,48.9,-173990.0,0.161,-174075.0,39.2,-148635.0,0.108,-149060.0,False,39.2
100,20,1344,44.6,-322600.0,0.143,-322780.0,-240.0,48.4,-174420.0,0.168,-174510.0,39.0,-148180.0,0.113,-148630.0,False,39.0
100,21,1344,44.6,-320205.0,0.151,-320395.0,-238.2,48.3,-173075.0,0.176,-173170.0,39.0,-147130.0,0.119,-147605.0,False,39.0
100,22,1344,44.3,-319040.0,0.157,-319240.0,-237.4,47.9,-172960.0,0.182,-173060.0,39.0,-146080.0,0.126,-146580.0,False,39.0
100,23,1344,44.3,-316675.0,0.165,-316885.0,-235.6,47.8,-171645.0,0.191,-171750.0,39.0,-145030.0,0.132,-145555.0,False,39.0
100,24,1344,44.0,-315560.0,0.171,-315780.0,-234.8,47.4,-171580.0,0.197,-171690.0,39.0,-143980.0,0.138,-144530.0,False,39.0
100,25,1344,43.8,-314475.0,0.177,-314705.0,-234.0,47.3,-170295.0,0.205,-170410.0,38.7,-144180.0,0.142,-144755.0,False,38.7
100,26,1344,43.2,-315780.0,0.181,-316020.0,-235.0,46.5,-171380.0,0.208,-171500.0,38.3,-144400.0,0.146,-145000.0,False,38.3
100,27,1344,42.8,-316685.0,0.185,-316935.0,-235.6,45.9,-172680.0,0.211,-172805.0,38.1,-144005.0,0.151,-144630.0,False,38.1
100,28,1344,42.3,-317650.0,0.189,-317910.0,-236.3,45.3,-174030.0,0.214,-174160.0,37.9,-143620.0,0.156,-144270.0,False,37.9
