date,fill_idx,dir,kind,bos,sl,tp,pnl_pts,reason
2020-12-02,580,-1,CONT,False,25.0,38.0,38.0,TP
2020-12-03,571,1,CONT,False,25.0,38.0,38.0,TP
2020-12-08,577,-1,CONT,False,25.0,38.0,38.0,TP
2020-12-09,571,-1,CONT,False,25.0,38.0,38.0,TP
2020-12-10,548,-1,CONT,False,50.0,76.0,-50.0,SL
2020-12-11,571,-1,CONT,False,50.0,76.0,76.0,TP
2020-12-14,570,1,CONT,False,25.0,38.0,38.0,TP
2020-12-14,578,1,CONT,False,25.0,38.0,38.0,TP
2020-12-16,578,-1,CONT,False,25.0,38.0,-25.0,SL
2020-12-17,573,1,CONT,False,25.0,38.0,-25.0,SL
2020-12-21,572,1,CONT,False,50.0,76.0,-50.0,SL
2020-12-22,571,-1,CONT,False,25.0,38.0,-25.0,SL
2020-12-23,572,-1,CONT,False,25.0,38.0,38.0,TP
2020-12-24,575,1,CONT,False,25.0,38.0,16.75,FC
2021-01-04,573,-1,CONT,False,25.0,38.0,38.0,TP
2021-01-06,575,-1,CONT,False,50.0,76.0,-50.0,SL
2021-01-06,578,1,CONT,False,25.0,38.0,-25.0,SL
2021-01-07,572,1,CONT,False,25.0,38.0,38.0,TP
2021-01-08,573,-1,CONT,False,50.0,76.0,-50.0,SL
2021-01-13,571,1,CONT,False,25.0,38.0,-25.0,SL
2021-01-14,576,1,CONT,False,25.0,38.0,-25.0,SL
2021-01-15,572,1,CONT,False,25.0,38.0,-25.0,SL
2021-01-19,573,1,CONT,False,50.0,76.0,-50.0,SL
2021-01-20,576,1,CONT,False,25.0,38.0,38.0,TP
2021-01-21,573,-1,CONT,False,25.0,38.0,-25.0,SL
2021-01-25,577,1,CONT,False,25.0,38.0,-25.0,SL
2021-01-27,570,-1,CONT,False,50.0,76.0,76.0,TP
2021-01-27,586,1,REV,False,50.0,76.0,-50.0,SL
2021-01-27,594,1,REV,False,50.0,76.0,76.0,TP
2021-01-28,574,1,CONT,False,25.0,38.0,-25.0,SL
2021-01-28,625,-1,REV,True,50.0,76.0,-50.0,SL
2021-01-29,574,1,CONT,False,25.0,38.0,-25.0,SL
2021-02-01,574,1,CONT,False,50.0,76.0,-50.0,SL
2021-02-02,578,1,CONT,False,25.0,38.0,38.0,TP
2021-02-03,572,-1,CONT,False,50.0,76.0,76.0,TP
2021-02-05,575,-1,CONT,False,25.0,38.0,38.0,TP
2021-02-09,571,1,CONT,False,25.0,38.0,38.0,TP
2021-02-10,579,1,CONT,False,25.0,38.0,-25.0,SL
2021-02-10,636,1,REV,False,50.0,76.0,-50.0,SL
2021-02-11,570,1,CONT,False,25.0,38.0,-25.0,SL
2021-02-12,575,-1,CONT,False,25.0,38.0,-25.0,SL
2021-02-16,577,-1,CONT,False,25.0,38.0,-25.0,SL
2021-02-18,580,-1,CONT,False,25.0,38.0,-25.0,SL
2021-02-23,578,-1,CONT,False,25.0,38.0,38.0,TP
2021-02-23,579,-1,CONT,False,50.0,76.0,76.0,TP
2021-02-23,592,1,REV,False,50.0,76.0,76.0,TP
2021-02-24,577,-1,CONT,False,50.0,76.0,-50.0,SL
2021-02-24,580,1,CONT,False,25.0,38.0,-25.0,SL
2021-02-25,576,1,CONT,False,50.0,76.0,-50.0,SL
2021-02-26,579,1,CONT,False,25.0,38.0,38.0,TP
2021-02-26,613,1,REV,True,50.0,76.0,-50.0,SL
2021-02-26,638,1,REV,True,50.0,76.0,76.0,TP
2021-03-01,577,-1,CONT,False,50.0,76.0,-50.0,SL
2021-03-02,573,-1,CONT,False,25.0,38.0,38.0,TP
2021-03-03,577,-1,CONT,False,50.0,76.0,76.0,TP
2021-03-03,609,1,REV,False,50.0,76.0,-50.0,SL
2021-03-03,647,1,REV,True,50.0,76.0,-50.0,SL
2021-03-04,573,1,CONT,False,50.0,76.0,-50.0,SL
2021-03-04,609,1,REV,False,50.0,76.0,76.0,TP
2021-03-05,575,-1,CONT,False,50.0,76.0,76.0,TP
2021-03-05,599,1,REV,False,50.0,76.0,-50.0,SL
2021-03-05,626,1,REV,False,50.0,76.0,-50.0,SL
2021-03-09,575,1,CONT,False,50.0,76.0,-50.0,SL
2021-03-10,598,-1,REV,False,50.0,76.0,76.0,TP
2021-03-11,563,1,CONT,False,50.0,76.0,-50.0,SL
2021-03-12,576,-1,CONT,False,25.0,38.0,-25.0,SL
2021-03-15,571,-1,CONT,False,25.0,38.0,38.0,TP
2021-03-17,579,-1,CONT,False,25.0,38.0,-25.0,SL
2021-03-19,572,1,CONT,False,25.0,38.0,-25.0,SL
2021-03-23,572,-1,CONT,False,25.0,38.0,38.0,TP
2021-03-24,571,-1,CONT,False,25.0,38.0,38.0,TP
2021-03-25,571,1,CONT,False,50.0,76.0,76.0,TP
2021-03-29,576,1,CONT,False,25.0,38.0,-25.0,SL
2021-03-29,614,1,REV,False,50.0,76.0,76.0,TP
2021-03-30,572,-1,CONT,False,50.0,76.0,-50.0,SL
2021-03-31,570,-1,CONT,False,25.0,38.0,-25.0,SL
2021-04-01,578,1,CONT,False,25.0,38.0,-25.0,SL
2021-04-06,579,1,CONT,False,25.0,38.0,38.0,TP
2021-04-09,579,-1,CONT,False,25.0,38.0,-25.0,SL
2021-04-13,578,1,CONT,False,25.0,38.0,-25.0,SL
2021-04-15,580,1,CONT,False,25.0,38.0,-25.0,SL
2021-04-16,572,-1,CONT,False,50.0,76.0,-50.0,SL
2021-04-20,577,1,CONT,False,25.0,38.0,38.0,TP
2021-04-21,574,-1,CONT,False,25.0,38.0,-25.0,SL
2021-04-22,572,-1,CONT,False,25.0,38.0,-25.0,SL
2021-04-23,571,1,CONT,False,25.0,38.0,38.0,TP
2021-04-28,574,-1,CONT,False,25.0,38.0,-25.0,SL
2021-04-29,572,-1,CONT,False,50.0,76.0,76.0,TP
2021-05-03,578,-1,CONT,False,25.0,38.0,-25.0,SL
2021-05-04,573,-1,CONT,False,50.0,76.0,76.0,TP
2021-05-04,617,1,REV,False,50.0,76.0,-50.0,SL
2021-05-05,570,1,CONT,False,25.0,38.0,-25.0,SL
2021-05-05,575,-1,CONT,False,50.0,76.0,-50.0,SL
2021-05-06,575,-1,CONT,False,25.0,38.0,-25.0,SL
2021-05-07,577,1,CONT,False,50.0,76.0,76.0,TP
2021-05-10,572,-1,CONT,False,25.0,38.0,38.0,TP
2021-05-10,577,-1,CONT,False,25.0,38.0,38.0,TP
2021-05-11,572,1,CONT,False,25.0,38.0,-25.0,SL
2021-05-11,576,1,CONT,False,50.0,76.0,76.0,TP
2021-05-11,623,-1,REV,True,50.0,76.0,76.0,TP
2021-05-12,579,-1,CONT,False,25.0,38.0,-25.0,SL
2021-05-12,621,1,REV,True,50.0,76.0,-50.0,SL
2021-05-13,571,1,CONT,False,50.0,76.0,-50.0,SL
2021-05-17,578,1,CONT,False,50.0,76.0,-50.0,SL
2021-05-18,580,1,CONT,False,25.0,38.0,-25.0,SL
2021-05-21,580,-1,CONT,False,25.0,38.0,-25.0,SL
2021-05-24,578,1,CONT,False,25.0,38.0,38.0,TP
2021-05-25,575,-1,CONT,False,50.0,76.0,76.0,TP
2021-05-27,572,-1,CONT,False,25.0,38.0,-25.0,SL
2021-05-31,574,-1,CONT,False,25.0,38.0,17.5,FC
2021-06-02,573,1,CONT,False,25.0,38.0,-25.0,SL
2021-06-03,579,-1,CONT,False,25.0,38.0,38.0,TP
2021-06-04,572,1,CONT,False,25.0,38.0,38.0,TP
2021-06-07,575,1,CONT,False,25.0,38.0,-25.0,SL
2021-06-10,530,1,CONT,False,50.0,76.0,76.0,TP
2021-06-14,569,-1,CONT,False,50.0,76.0,-50.0,SL
2021-06-15,572,-1,CONT,False,25.0,38.0,-25.0,SL
2021-06-16,578,-1,CONT,False,25.0,38.0,-25.0,SL
2021-06-17,578,1,CONT,False,25.0,38.0,38.0,TP
2021-06-18,574,1,CONT,False,50.0,76.0,-50.0,SL
2021-06-21,572,-1,CONT,False,50.0,76.0,-50.0,SL
2021-06-22,574,1,CONT,False,25.0,38.0,-25.0,SL
2021-06-24,576,1,CONT,False,25.0,38.0,38.0,TP
2021-06-25,577,-1,CONT,False,25.0,38.0,38.0,TP
2021-06-28,571,1,CONT,False,50.0,76.0,76.0,TP
2021-06-29,572,-1,CONT,False,25.0,38.0,-25.0,SL
2021-06-30,575,-1,CONT,False,25.0,38.0,-25.0,SL
2021-07-02,578,1,CONT,False,25.0,38.0,-25.0,SL
2021-07-06,571,1,CONT,False,25.0,38.0,-25.0,SL
2021-07-07,575,-1,CONT,False,25.0,38.0,38.0,TP
2021-07-09,572,1,CONT,False,25.0,38.0,-25.0,SL
2021-07-09,577,-1,CONT,False,25.0,38.0,-25.0,SL
2021-07-14,577,-1,CONT,False,25.0,38.0,-25.0,SL
2021-07-15,574,-1,CONT,False,50.0,76.0,76.0,TP
2021-07-15,652,1,REV,True,50.0,76.0,-50.0,SL
2021-07-19,573,-1,CONT,False,50.0,76.0,-50.0,SL
2021-07-20,572,-1,CONT,False,50.0,76.0,-50.0,SL
2021-07-21,574,1,CONT,False,25.0,38.0,38.0,TP
2021-07-22,571,1,CONT,False,25.0,38.0,38.0,TP
2021-07-23,576,-1,CONT,False,25.0,38.0,-25.0,SL
2021-07-26,573,-1,CONT,False,25.0,38.0,-25.0,SL
2021-07-27,571,-1,CONT,False,25.0,38.0,38.0,TP
2021-07-27,622,1,REV,False,50.0,76.0,-50.0,SL
2021-07-28,574,-1,CONT,False,25.0,38.0,38.0,TP
2021-07-28,580,-1,CONT,False,25.0,38.0,-25.0,SL
2021-07-29,573,1,CONT,False,25.0,38.0,38.0,TP
2021-07-29,578,1,CONT,False,25.0,38.0,-25.0,SL
2021-07-30,577,1,CONT,False,25.0,38.0,38.0,TP
2021-08-02,576,-1,CONT,False,25.0,38.0,38.0,TP
2021-08-06,578,1,CONT,False,25.0,38.0,-25.0,SL
2021-08-09,580,-1,CONT,False,25.0,38.0,-25.0,SL
2021-08-11,574,1,CONT,False,25.0,38.0,-25.0,SL
2021-08-16,572,1,CONT,False,25.0,38.0,-25.0,SL
2021-08-19,572,1,CONT,False,50.0,76.0,76.0,TP
2021-08-20,577,-1,CONT,False,25.0,38.0,-25.0,SL
