date,entry_time,exit_time,side,reason,fair,cndl_rng,entry,sl_price,tp_price,exit_reason,pnl_pts
2026-01-02,10:41,10:51,LONG,below-fair BOS,25685.0,34.0,25556.5,25506.5,25632.5,SL,-50.0
2026-01-06,10:10,11:05,SHORT,above-fair BOS,25631.25,29.0,25740.25,25790.25,25664.25,TP,76.0
2026-01-08,11:00,11:17,LONG,below-fair BOS,25780.5,43.2,25675.25,25625.25,25751.25,SL,-50.0
2026-01-12,09:46,09:51,SHORT,above-fair candle,25736.5,25.0,25854.0,25904.0,25778.0,SL,-50.0
2026-01-12,10:38,11:11,SHORT,above-fair BOS,25736.5,26.8,25880.5,25930.5,25804.5,SL,-50.0
2026-01-13,10:52,11:17,LONG,below-fair candle,25961.75,33.5,25842.5,25792.5,25918.5,TP,76.0
2026-01-14,09:48,09:56,LONG,below-fair candle,25790.0,38.0,25653.0,25603.0,25729.0,SL,-50.0
2026-01-16,10:05,10:20,LONG,below-fair candle,25860.0,27.8,25747.0,25697.0,25823.0,SL,-50.0
2026-01-16,10:25,10:30,LONG,below-fair candle,25860.0,32.2,25719.0,25669.0,25795.0,SL,-50.0
2026-01-22,10:28,11:16,LONG,below-fair BOS,25725.0,28.2,25588.25,25538.25,25664.25,TP,76.0
2026-01-29,09:50,09:51,LONG,below-fair candle,26145.5,36.0,26005.0,25955.0,26081.0,SL,-50.0
2026-01-29,10:17,10:33,LONG,below-fair candle,26145.5,34.0,25749.0,25699.0,25825.0,SL,-50.0
2026-01-29,10:58,11:03,LONG,below-fair candle,26145.5,35.0,25606.25,25556.25,25682.25,SL,-50.0
2026-02-02,10:00,10:01,SHORT,above-fair candle,25532.75,28.8,25732.0,25782.0,25656.0,SL,-50.0
2026-02-03,10:05,10:08,LONG,below-fair candle,25938.5,64.8,25624.5,25574.5,25700.5,SL,-50.0
2026-02-03,10:22,10:23,LONG,below-fair BOS,25938.5,30.2,25598.75,25548.75,25674.75,SL,-50.0
2026-02-03,10:27,10:51,LONG,below-fair candle,25938.5,52.2,25523.0,25473.0,25599.0,TP,76.0
2026-02-03,10:52,10:53,LONG,below-fair BOS,25938.5,27.5,25618.5,25568.5,25694.5,SL,-50.0
2026-02-03,10:56,11:11,LONG,below-fair candle,25938.5,35.5,25590.5,25540.5,25666.5,SL,-50.0
2026-02-04,09:56,09:57,LONG,below-fair candle,25380.0,62.0,25303.5,25253.5,25379.5,SL,-50.0
2026-02-04,11:00,11:02,LONG,below-fair BOS,25380.0,47.0,25177.5,25127.5,25253.5,SL,-50.0
2026-02-05,09:43,09:43,SHORT,above-fair candle,24767.25,75.0,24855.75,24905.75,24779.75,SL,-50.0
2026-02-06,09:55,09:58,SHORT,above-fair candle,24763.75,50.8,24932.5,24982.5,24856.5,TP,76.0
2026-02-06,10:50,10:54,SHORT,above-fair BOS,24763.75,44.2,24919.0,24969.0,24843.0,TP,76.0
2026-02-12,10:16,10:34,LONG,below-fair candle,25354.75,29.2,25232.5,25182.5,25308.5,SL,-50.0
2026-02-13,10:40,10:47,SHORT,above-fair candle,24738.25,71.0,24839.25,24889.25,24763.25,TP,76.0
2026-02-17,10:05,10:10,LONG,below-fair BOS,24654.0,56.2,24557.75,24507.75,24633.75,SL,-50.0
2026-02-17,10:18,10:20,LONG,below-fair candle,24654.0,55.0,24561.75,24511.75,24637.75,TP,76.0
2026-02-17,10:46,10:52,LONG,below-fair BOS,24654.0,30.8,24512.0,24462.0,24588.0,TP,76.0
2026-02-20,09:45,10:02,SHORT,above-fair candle,24714.25,30.2,24908.5,24958.5,24832.5,SL,-50.0
2026-02-20,10:07,10:09,SHORT,above-fair candle,24714.25,97.2,24894.25,24944.25,24818.25,SL,-50.0
2026-02-20,10:13,10:16,SHORT,above-fair candle,24714.25,49.8,24985.5,25035.5,24909.5,TP,76.0
2026-02-20,10:18,10:18,SHORT,above-fair candle,24714.25,61.5,24864.0,24914.0,24788.0,SL,-50.0
2026-02-20,10:34,10:38,SHORT,above-fair candle,24714.25,56.8,24934.75,24984.75,24858.75,SL,-50.0
2026-02-20,10:42,10:42,SHORT,above-fair candle,24714.25,52.0,24962.25,25012.25,24886.25,SL,-50.0
2026-02-23,10:08,10:37,LONG,below-fair candle,24975.5,40.8,24882.75,24832.75,24958.75,SL,-50.0
2026-02-25,10:36,12:52,SHORT,above-fair BOS,25156.5,33.2,25297.0,25347.0,25221.0,SL,-50.0
2026-02-26,10:28,10:28,LONG,below-fair candle,25355.0,43.0,24964.0,24914.0,25040.0,SL,-50.0
2026-02-26,10:37,10:41,LONG,below-fair candle,25355.0,40.0,24905.5,24855.5,24981.5,TP,76.0
2026-02-26,10:47,11:56,LONG,below-fair BOS,25355.0,30.2,25015.5,24965.5,25091.5,SL,-50.0
2026-02-27,10:27,10:46,SHORT,above-fair BOS,24806.25,26.0,24958.75,25008.75,24882.75,SL,-50.0
2026-02-27,10:53,11:02,SHORT,above-fair BOS,24806.25,28.2,24943.5,24993.5,24867.5,SL,-50.0
