date,strat,tp,mae_pre,flat_pnl
2020-12-01,FB,0,1500.0,-895.0
2020-12-01,OD,0,740.0,-325.0
2020-12-02,FB,0,735.0,-225.0
2020-12-02,OD,0,245.0,15.0
2020-12-03,FB,0,1740.0,-1435.0
2020-12-03,OD,0,185.0,270.0
2020-12-07,B2,0,935.0,-485.0
2020-12-07,FB,0,935.0,-740.0
2020-12-07,OD,0,285.0,-35.0
2020-12-08,FB,0,170.0,350.0
2020-12-08,OD,0,530.0,-455.0
2020-12-09,RV,0,1395.0,-875.0
2020-12-09,RV,1,40.0,1485.0
2020-12-09,RV,0,620.0,405.0
2020-12-09,OD,0,955.0,-790.0
2020-12-10,OD,0,885.0,-850.0
2020-12-13,OD,0,530.0,-460.0
2020-12-14,FB,0,1215.0,-335.0
2020-12-14,OD,0,1015.0,-490.0
2020-12-15,FB,0,465.0,-170.0
2020-12-15,OD,1,115.0,815.0
2020-12-16,RV,1,535.0,1055.0
2020-12-16,FB,0,525.0,-310.0
2020-12-16,B2,1,30.0,440.0
2020-12-16,OD,1,115.0,1275.0
2020-12-17,FB,0,825.0,-615.0
2020-12-17,OD,0,560.0,-485.0
2020-12-18,RV,1,640.0,790.0
2020-12-20,OD,0,425.0,-230.0
2020-12-21,FB,1,125.0,780.0
2020-12-21,OD,0,410.0,-300.0
2020-12-22,RV,0,1215.0,-345.0
2020-12-22,OD,0,1660.0,-1175.0
2020-12-23,OD,0,400.0,305.0
2020-12-24,FB,0,935.0,-155.0
2020-12-27,OD,1,20.0,820.0
2020-12-28,OD,0,55.0,500.0
2020-12-29,B2,0,545.0,145.0
2020-12-29,OD,1,150.0,915.0
2020-12-30,RV,0,375.0,580.0
2020-12-30,OD,0,415.0,-255.0
2020-12-31,RV,0,905.0,-675.0
2021-01-03,OD,1,450.0,1505.0
2021-01-04,OD,0,125.0,95.0
2021-01-05,RV,0,1565.0,-1000.0
2021-01-05,OD,0,895.0,-575.0
2021-01-06,FB,1,235.0,1465.0
2021-01-06,OD,1,160.0,1340.0
2021-01-07,RV,1,350.0,1630.0
2021-01-07,FB,0,255.0,910.0
2021-01-07,OD,0,145.0,260.0
2021-01-08,B2,0,2115.0,-905.0
2021-01-10,OD,0,965.0,-830.0
2021-01-11,B2,0,1640.0,-975.0
2021-01-11,OD,0,690.0,-675.0
2021-01-12,RV,1,70.0,465.0
2021-01-12,RV,1,95.0,1790.0
2021-01-12,RV,0,1665.0,-1125.0
2021-01-12,OD,0,490.0,-315.0
2021-01-13,FB,1,750.0,1870.0
2021-01-13,RV,1,865.0,1390.0
2021-01-13,B2,0,755.0,-410.0
2021-01-13,OD,0,235.0,-145.0
2021-01-14,FB,0,910.0,-570.0
2021-01-14,OD,0,895.0,-545.0
2021-01-15,RV,1,190.0,-725.0
2021-01-17,OD,1,60.0,1180.0
2021-01-18,OD,1,50.0,1765.0
2021-01-19,FB,1,150.0,1110.0
2021-01-19,OD,1,435.0,1090.0
2021-01-20,FB,1,10.0,2725.0
2021-01-20,RV,1,425.0,1150.0
2021-01-20,OD,1,25.0,740.0
2021-01-21,RV,0,1110.0,495.0
2021-01-21,FB,0,1400.0,-190.0
2021-01-21,OD,0,1105.0,-870.0
2021-01-22,FB,0,495.0,240.0
2021-01-24,OD,1,0.0,1520.0
2021-01-25,FB,0,2410.0,-2005.0
2021-01-25,RV,1,390.0,-305.0
2021-01-25,OD,0,1580.0,-1535.0
2021-01-26,FB,0,1350.0,-1220.0
2021-01-26,OD,0,540.0,-445.0
2021-01-27,RV,1,820.0,3415.0
2021-01-27,B2,1,245.0,560.0
2021-01-27,OD,1,410.0,510.0
2021-01-28,FB,1,690.0,4245.0
2021-01-28,OD,0,2035.0,-1910.0
2021-01-31,OD,1,760.0,2205.0
2021-02-01,FB,1,1490.0,2650.0
2021-02-01,B2,0,1240.0,-830.0
2021-02-01,OD,1,220.0,2265.0
2021-02-02,RV,1,450.0,1515.0
2021-02-02,FB,1,950.0,1105.0
