date,ts,strat,outcome,pnl
2020-12-01,2020-12-01 10:20:00-05:00,FB,neither,-895.0
2020-12-01,2020-12-01 19:20:00-05:00,OD,neither,-325.0
2020-12-02,2020-12-02 10:45:00-05:00,FB,neither,-225.0
2020-12-02,2020-12-02 19:20:00-05:00,OD,neither,15.0
2020-12-03,2020-12-03 10:25:00-05:00,FB,neither,-1435.0
2020-12-03,2020-12-03 19:20:00-05:00,OD,neither,270.0
2020-12-07,2020-12-07 10:25:00-05:00,B2,neither,-485.0
2020-12-07,2020-12-07 10:25:00-05:00,FB,neither,-740.0
2020-12-07,2020-12-07 19:20:00-05:00,OD,neither,-35.0
2020-12-08,2020-12-08 13:10:00-05:00,FB,neither,350.0
2020-12-08,2020-12-08 19:20:00-05:00,OD,neither,-455.0
2020-12-09,2020-12-09 10:00:00-05:00,RV,neither,-875.0
2020-12-09,2020-12-09 11:00:00-05:00,RV,tp,1000.0
2020-12-09,2020-12-09 14:20:00-05:00,RV,neither,405.0
2020-12-09,2020-12-09 19:20:00-05:00,OD,neither,-790.0
2020-12-10,2020-12-10 19:20:00-05:00,OD,neither,-850.0
2020-12-13,2020-12-13 19:20:00-05:00,OD,neither,-460.0
2020-12-14,2020-12-14 10:15:00-05:00,FB,neither,-335.0
2020-12-14,2020-12-14 19:20:00-05:00,OD,neither,-490.0
2020-12-15,2020-12-15 09:35:00-05:00,FB,neither,-170.0
2020-12-15,2020-12-15 19:20:00-05:00,OD,tp,1000.0
2020-12-16,2020-12-16 10:00:00-05:00,RV,tp,1000.0
2020-12-16,2020-12-16 11:55:00-05:00,FB,neither,-310.0
2020-12-16,2020-12-16 14:35:00-05:00,B2,tp,1000.0
2020-12-16,2020-12-16 19:20:00-05:00,OD,tp,1000.0
2020-12-17,2020-12-17 09:35:00-05:00,FB,neither,-615.0
2020-12-17,2020-12-17 19:20:00-05:00,OD,neither,-485.0
2020-12-18,2020-12-18 11:40:00-05:00,RV,tp,1000.0
2020-12-20,2020-12-20 19:20:00-05:00,OD,neither,-230.0
2020-12-21,2020-12-21 12:55:00-05:00,FB,tp,1000.0
2020-12-21,2020-12-21 19:20:00-05:00,OD,neither,-300.0
2020-12-22,2020-12-22 10:00:00-05:00,RV,neither,-345.0
2020-12-22,2020-12-22 19:20:00-05:00,OD,neither,-1175.0
2020-12-23,2020-12-23 19:20:00-05:00,OD,neither,305.0
2020-12-24,2020-12-24 10:30:00-05:00,FB,neither,-155.0
2020-12-27,2020-12-27 19:20:00-05:00,OD,tp,1000.0
2020-12-28,2020-12-28 19:20:00-05:00,OD,neither,500.0
2020-12-29,2020-12-29 13:00:00-05:00,B2,neither,145.0
2020-12-29,2020-12-29 19:20:00-05:00,OD,tp,1000.0
2020-12-30,2020-12-30 11:00:00-05:00,RV,neither,580.0
2020-12-30,2020-12-30 19:20:00-05:00,OD,neither,-255.0
2020-12-31,2020-12-31 12:20:00-05:00,RV,neither,-675.0
2021-01-03,2021-01-03 19:20:00-05:00,OD,tp,1000.0
2021-01-04,2021-01-04 19:20:00-05:00,OD,neither,95.0
2021-01-05,2021-01-05 09:40:00-05:00,RV,neither,-1000.0
2021-01-05,2021-01-05 19:20:00-05:00,OD,neither,-575.0
2021-01-06,2021-01-06 10:25:00-05:00,FB,tp,1000.0
2021-01-06,2021-01-06 19:20:00-05:00,OD,tp,1000.0
2021-01-07,2021-01-07 09:40:00-05:00,RV,tp,1000.0
2021-01-07,2021-01-07 10:05:00-05:00,FB,neither,910.0
2021-01-07,2021-01-07 19:20:00-05:00,OD,neither,260.0
2021-01-08,2021-01-08 12:00:00-05:00,B2,sl,-2000.0
2021-01-10,2021-01-10 19:20:00-05:00,OD,neither,-830.0
2021-01-11,2021-01-11 10:30:00-05:00,B2,neither,-975.0
2021-01-11,2021-01-11 19:20:00-05:00,OD,neither,-675.0
2021-01-12,2021-01-12 09:40:00-05:00,RV,tp,1000.0
