date,variant,direction,entry_time,exit_time,entry_price,exit_price,gap_pct,atr,exit_reason,post_holiday,dow,pnl_gross,pnl_net
2020-12-02,A15,long,2020-12-02 09:31:00-05:00,2020-12-02 09:45:00-05:00,12390.375,12328.125,-0.004899106515410145,,time,False,Wednesday,-1240.0,-1249.5
2020-12-10,A15,long,2020-12-10 09:31:00-05:00,2020-12-10 09:45:00-05:00,12262.375,12312.125,-0.009871209980217177,,time,False,Thursday,1000.0,990.5
2020-12-11,A15,long,2020-12-11 09:31:00-05:00,2020-12-11 09:45:00-05:00,12328.875,12284.875,-0.006246851385390384,,time,False,Friday,-875.0,-884.5
2020-12-14,A15,short,2020-12-14 09:31:00-05:00,2020-12-14 09:45:00-05:00,12423.125,12495.125,0.004873412602119265,,time,True,Monday,-1435.0,-1444.5
2020-12-15,A15,short,2020-12-15 09:31:00-05:00,2020-12-15 09:45:00-05:00,12564.875,12550.625,0.006246496356210551,,time,False,Tuesday,290.0,280.5
2020-12-17,A15,short,2020-12-17 09:31:00-05:00,2020-12-17 09:45:00-05:00,12737.125,12747.625,0.005010356050892506,,time,False,Thursday,-205.0,-214.5
2020-12-21,A15,long,2020-12-21 09:31:00-05:00,2020-12-21 09:45:00-05:00,12581.875,12617.875,-0.009700905155450634,162.03571428571428,time,True,Monday,725.0,715.5
2020-12-22,A15,short,2020-12-22 09:31:00-05:00,2020-12-22 09:45:00-05:00,12718.875,12707.625,0.003510986626691359,162.14285714285714,time,False,Tuesday,230.0,220.5
2020-12-29,A15,short,2020-12-29 09:31:00-05:00,2020-12-29 09:45:00-05:00,12891.625,12911.375,0.00428457358755141,161.76785714285714,time,False,Tuesday,-390.0,-399.5
2020-12-30,A15,short,2020-12-30 09:31:00-05:00,2020-12-30 09:45:00-05:00,12896.875,12862.875,0.0048696871712961,144.23214285714286,time,False,Wednesday,685.0,675.5
2021-01-04,A15,short,2021-01-04 09:31:00-05:00,2021-01-04 09:45:00-05:00,12932.875,12885.125,0.0038421236465246977,151.94642857142858,time,True,Monday,960.0,950.5
2021-01-06,A15,long,2021-01-06 09:31:00-05:00,2021-01-06 09:45:00-05:00,12598.875,12605.625,-0.015107098186366463,158.25,time,False,Wednesday,140.0,130.5
2021-01-07,A15,short,2021-01-07 09:31:00-05:00,2021-01-07 09:45:00-05:00,12727.625,12805.375,0.0087778394230007,173.19642857142858,time,False,Thursday,-1550.0,-1559.5
2021-01-08,A15,short,2021-01-08 09:31:00-05:00,2021-01-08 09:45:00-05:00,13018.625,13046.875,0.006163536594790964,179.33928571428572,time,False,Friday,-560.0,-569.5
2021-01-11,A15,long,2021-01-11 09:31:00-05:00,2021-01-11 09:45:00-05:00,12964.625,12920.875,-0.009890025966091343,182.51785714285714,time,True,Monday,-870.0,-879.5
2021-01-20,A15,short,2021-01-20 09:31:00-05:00,2021-01-20 09:45:00-05:00,13136.875,13184.875,0.011627906976744207,204.875,time,False,Wednesday,-955.0,-964.5
2021-01-21,A15,short,2021-01-21 09:31:00-05:00,2021-01-21 09:45:00-05:00,13339.625,13297.875,0.003309328168775716,208.28571428571428,time,False,Thursday,840.0,830.5
2021-01-22,A15,long,2021-01-22 09:31:00-05:00,2021-01-22 09:45:00-05:00,13348.125,13348.125,-0.0036761275634925594,183.67857142857142,time,False,Friday,5.0,-4.5
2021-01-25,A15,short,2021-01-25 09:31:00-05:00,2021-01-25 09:45:00-05:00,13497.375,13542.875,0.009234335277404027,198.78571428571428,time,True,Monday,-905.0,-914.5
2021-01-27,A15,long,2021-01-27 09:31:00-05:00,2021-01-27 09:45:00-05:00,13389.375,13230.125,-0.006547950287516202,197.07142857142858,time,False,Wednesday,-3180.0,-3189.5
2021-01-28,A15,short,2021-01-28 09:31:00-05:00,2021-01-28 09:45:00-05:00,13154.875,13228.875,0.0031838026423656185,204.64285714285714,time,False,Thursday,-1475.0,-1484.5
2021-01-29,A15,long,2021-01-29 09:31:00-05:00,2021-01-29 09:45:00-05:00,13110.375,13003.375,-0.006479358884489361,214.96428571428572,time,False,Friday,-2135.0,-2144.5
2021-02-01,A15,short,2021-02-01 09:31:00-05:00,2021-02-01 09:45:00-05:00,13051.375,13057.875,0.009494344000773536,226.53571428571428,time,True,Monday,-125.0,-134.5
2021-02-02,A15,short,2021-02-02 09:31:00-05:00,2021-02-02 09:45:00-05:00,13352.125,13389.875,0.0076789555111127505,234.0,time,False,Tuesday,-750.0,-759.5
2021-02-03,A15,short,2021-02-03 09:31:00-05:00,2021-02-03 09:45:00-05:00,13530.875,13489.125,0.0064151434574835076,234.64285714285714,time,False,Wednesday,840.0,830.5
2021-02-04,A15,short,2021-02-04 09:31:00-05:00,2021-02-04 09:45:00-05:00,13449.375,13424.875,0.003413223911218788,231.35714285714286,time,False,Thursday,495.0,485.5
2021-02-05,A15,short,2021-02-05 09:31:00-05:00,2021-02-05 09:45:00-05:00,13589.875,13566.125,0.0042675829961758005,237.64285714285714,time,False,Friday,480.0,470.5
2021-02-08,A15,short,2021-02-08 09:31:00-05:00,2021-02-08 09:45:00-05:00,13666.375,13661.875,0.004834292226531645,230.82142857142858,time,True,Monday,95.0,85.5
2021-02-10,A15,short,2021-02-10 09:31:00-05:00,2021-02-10 09:45:00-05:00,13742.125,13726.875,0.004936104864805557,220.48214285714286,time,False,Wednesday,310.0,300.5
2021-02-11,A15,short,2021-02-11 09:31:00-05:00,2021-02-11 09:45:00-05:00,13717.375,13712.875,0.005589663703839509,223.69642857142858,time,False,Thursday,95.0,85.5
2021-02-15,A15,short,2021-02-15 09:31:00-05:00,2021-02-15 09:45:00-05:00,13850.875,13854.625,0.003332126041289296,206.71428571428572,time,True,Monday,-70.0,-79.5
2021-02-17,A15,long,2021-02-17 09:31:00-05:00,2021-02-17 09:45:00-05:00,13638.625,13655.875,-0.009621668724130394,181.73214285714286,time,False,Wednesday,350.0,340.5
2021-02-18,A15,long,2021-02-18 09:31:00-05:00,2021-02-18 09:45:00-05:00,13544.125,13565.125,-0.011080079586733071,171.80357142857142,time,False,Thursday,425.0,415.5
2021-02-19,A15,short,2021-02-19 09:31:00-05:00,2021-02-19 09:45:00-05:00,13695.875,13671.625,0.004271232424703397,159.48214285714286,time,False,Friday,490.0,480.5
2021-02-22,A15,long,2021-02-22 09:31:00-05:00,2021-02-22 09:45:00-05:00,13390.625,13401.625,-0.01348215272405795,167.375,time,True,Monday,225.0,215.5
2021-02-23,A15,long,2021-02-23 09:31:00-05:00,2021-02-23 09:45:00-05:00,13000.875,12838.125,-0.017476571946795638,191.89285714285714,time,False,Tuesday,-3250.0,-3259.5
2021-02-24,A15,long,2021-02-24 09:31:00-05:00,2021-02-24 09:45:00-05:00,13074.625,13039.125,-0.009957595032560995,206.64285714285714,time,False,Wednesday,-705.0,-714.5
2021-02-25,A15,long,2021-02-25 09:31:00-05:00,2021-02-25 09:45:00-05:00,13181.875,13267.625,-0.008443658793440667,236.0,time,False,Thursday,1720.0,1710.5
2021-02-26,A15,short,2021-02-26 09:31:00-05:00,2021-02-26 09:45:00-05:00,12952.375,12974.875,0.008526045316514796,253.17857142857142,time,False,Friday,-445.0,-454.5
2021-03-01,A15,short,2021-03-01 09:31:00-05:00,2021-03-01 09:45:00-05:00,13098.875,13070.625,0.011583906093134644,270.57142857142856,time,True,Monday,570.0,560.5
2021-03-03,A15,long,2021-03-03 09:31:00-05:00,2021-03-03 09:45:00-05:00,13013.375,12933.875,-0.0036368508699730073,289.44642857142856,time,False,Wednesday,-1585.0,-1594.5
2021-03-05,A15,short,2021-03-05 09:31:00-05:00,2021-03-05 09:45:00-05:00,12582.875,12487.375,0.009405771814772423,342.80357142857144,time,False,Friday,1915.0,1905.5
2021-03-09,A15,short,2021-03-09 09:31:00-05:00,2021-03-09 09:45:00-05:00,12608.875,12600.375,0.023623964929371688,383.4107142857143,time,False,Tuesday,175.0,165.5
2021-03-10,A15,short,2021-03-10 09:31:00-05:00,2021-03-10 09:45:00-05:00,12967.625,12911.875,0.014016499198498567,385.67857142857144,time,False,Wednesday,1120.0,1110.5
2021-03-11,A15,short,2021-03-11 09:31:00-05:00,2021-03-11 09:45:00-05:00,12942.125,12942.625,0.0143624108472451,398.625,time,False,Thursday,-5.0,-14.5
2021-03-12,A15,long,2021-03-12 09:31:00-05:00,2021-03-12 09:45:00-05:00,12861.375,12829.125,-0.013405185639766781,393.0892857142857,time,False,Friday,-640.0,-649.5
2021-03-16,A15,short,2021-03-16 09:31:00-04:00,2021-03-16 09:45:00-04:00,13159.375,13182.375,0.007252339309975264,362.3392857142857,time,False,Tuesday,-455.0,-464.5
2021-03-17,A15,long,2021-03-17 09:31:00-04:00,2021-03-17 09:45:00-04:00,13006.875,12977.875,-0.010630205758186628,348.5357142857143,time,False,Wednesday,-575.0,-584.5
2021-03-18,A15,long,2021-03-18 09:31:00-04:00,2021-03-18 09:45:00-04:00,12979.375,12975.625,-0.015380822333485034,354.42857142857144,time,False,Thursday,-70.0,-79.5
2021-03-22,A15,short,2021-03-22 09:31:00-04:00,2021-03-22 09:45:00-04:00,12928.625,12964.875,0.006167555157788218,350.07142857142856,time,True,Monday,-720.0,-729.5
2021-03-23,A15,short,2021-03-23 09:31:00-04:00,2021-03-23 09:45:00-04:00,13113.625,13082.125,0.003232222774739002,336.32142857142856,time,False,Tuesday,635.0,625.5
2021-03-24,A15,short,2021-03-24 09:31:00-04:00,2021-03-24 09:45:00-04:00,13071.125,12999.375,0.005558119855373578,321.30357142857144,time,False,Wednesday,1440.0,1430.5
2021-03-25,A15,long,2021-03-25 09:31:00-04:00,2021-03-25 09:45:00-04:00,12717.625,12780.125,-0.006134729603000988,302.5,time,False,Thursday,1255.0,1245.5
2021-03-30,A15,long,2021-03-30 09:31:00-04:00,2021-03-30 09:45:00-04:00,12873.375,12817.875,-0.005734697818111645,258.55357142857144,time,False,Tuesday,-1105.0,-1114.5
2021-03-31,A15,short,2021-03-31 09:31:00-04:00,2021-03-31 09:45:00-04:00,12967.875,13004.125,0.008927703110108265,255.21428571428572,time,False,Wednesday,-720.0,-729.5
2021-04-01,A15,short,2021-04-01 09:31:00-04:00,2021-04-01 09:45:00-04:00,13253.125,13281.625,0.011795018608645957,251.41071428571428,time,False,Thursday,-565.0,-574.5
2021-04-05,A15,short,2021-04-05 09:31:00-04:00,2021-04-05 09:45:00-04:00,13418.625,13433.375,0.007659526536129224,258.76785714285717,time,True,Monday,-290.0,-299.5
2021-04-08,A15,short,2021-04-08 09:31:00-04:00,2021-04-08 09:45:00-04:00,13726.875,13718.125,0.009060001837728482,217.10714285714286,time,False,Thursday,180.0,170.5
2021-04-09,A15,long,2021-04-09 09:31:00-04:00,2021-04-09 09:45:00-04:00,13689.375,13692.375,-0.0034034653465346842,215.10714285714286,time,False,Friday,65.0,55.5
2021-04-12,A15,long,2021-04-12 09:31:00-04:00,2021-04-12 09:45:00-04:00,13784.375,13792.875,-0.0032539725581647305,200.08928571428572,time,True,Monday,175.0,165.5
2021-04-13,A15,short,2021-04-13 09:31:00-04:00,2021-04-13 09:45:00-04:00,13876.375,13914.375,0.004942697300526877,199.57142857142858,time,False,Tuesday,-755.0,-764.5
2021-04-15,A15,short,2021-04-15 09:31:00-04:00,2021-04-15 09:45:00-04:00,13929.375,13963.375,0.010116026105873921,196.44642857142858,time,False,Thursday,-675.0,-684.5
2021-04-19,A15,long,2021-04-19 09:31:00-04:00,2021-04-19 09:45:00-04:00,13965.125,13999.125,-0.004987531172069848,187.58928571428572,time,True,Monday,685.0,675.5
2021-04-21,A15,long,2021-04-21 09:31:00-04:00,2021-04-21 09:45:00-04:00,13747.125,13720.375,-0.004075127234528075,184.78571428571428,time,False,Wednesday,-530.0,-539.5
2021-04-29,A15,short,2021-04-29 09:31:00-04:00,2021-04-29 09:45:00-04:00,14042.125,14025.375,0.011070309968679082,182.875,time,False,Thursday,340.0,330.5
