date_x,entry_time,exit_time,direction,entry_price,exit_price,entry_atr,sl_price,qty,bars_held,pnl_pts,pnl_$,reason,session_date,date_y,qqq_gamma_sign
2020-12-01,2020-12-01 10:00:00-05:00,2020-12-01 14:30:00-05:00,LONG,12390.75,12486.25,21.641091844975946,12331.236997426317,1,9,95.5,1910.0,FC,2020-12-01,,
2020-12-02,2020-12-02 10:00:00-05:00,2020-12-02 12:00:00-05:00,SHORT,12375.5,12450.880269161129,27.411006967683534,12450.880269161129,1,4,-75.38026916112904,-1507.6053832225807,SL,2020-12-02,2020-12-02,-1.0
2020-12-03,2020-12-03 10:00:00-05:00,2020-12-03 14:30:00-05:00,LONG,12495.25,12477.25,18.90892974794615,12443.250443193148,2,9,-18.0,-720.0,FC,2020-12-03,2020-12-03,-1.0
2020-12-04,2020-12-04 10:00:00-05:00,2020-12-04 14:30:00-05:00,LONG,12506.75,12495.75,17.553167617714678,12458.478789051285,1,9,-11.0,-220.0,FC,2020-12-04,2020-12-03,-1.0
2020-12-07,2020-12-07 10:00:00-05:00,2020-12-07 14:30:00-05:00,LONG,12584.75,12576.5,19.48036394009963,12531.178999164726,2,9,-8.25,-330.0,FC,2020-12-07,2020-12-03,-1.0
2020-12-08,2020-12-08 10:00:00-05:00,2020-12-08 13:30:00-05:00,SHORT,12551.75,12610.83599878839,21.48581774123259,12610.83599878839,1,7,-59.0859987883905,-1181.71997576781,SL,2020-12-08,2020-12-03,-1.0
2020-12-09,2020-12-09 10:00:00-05:00,2020-12-09 10:30:00-05:00,LONG,12636.0,12593.604898413461,15.416400576923204,12593.604898413461,2,1,-42.39510158653866,-1695.8040634615463,SL,2020-12-09,2020-12-09,-1.0
2020-12-10,2020-12-10 10:00:00-05:00,2020-12-10 14:30:00-05:00,SHORT,12373.5,12371.25,42.727104584520944,12490.999537607433,1,9,2.25,45.0,FC,2020-12-10,2020-12-10,-1.0
2020-12-11,2020-12-11 10:00:00-05:00,2020-12-11 14:30:00-05:00,SHORT,12314.5,12335.75,27.45700019908673,12390.006750547489,1,9,-21.25,-425.0,FC,2020-12-11,2020-12-10,-1.0
2020-12-14,2020-12-14 10:00:00-05:00,2020-12-14 14:30:00-05:00,LONG,12519.5,12520.25,25.802209834430236,12448.543922955318,2,9,0.75,30.0,FC,2020-12-14,2020-12-10,-1.0
2020-12-15,2020-12-15 10:00:00-05:00,2020-12-15 11:30:00-05:00,LONG,12566.0,12515.55154299547,18.344893456192338,12515.55154299547,1,3,-50.4484570045297,-1008.969140090594,SL,2020-12-15,2020-12-10,-1.0
2020-12-16,2020-12-16 10:00:00-05:00,2020-12-16 14:30:00-05:00,LONG,12601.25,12630.25,18.601003521000113,12550.097240317249,2,9,29.0,1160.0,FC,2020-12-16,2020-12-16,-1.0
2020-12-17,2020-12-17 10:00:00-05:00,2020-12-17 11:00:00-05:00,LONG,12740.0,12701.054756531943,14.161906715657205,12701.054756531943,1,2,-38.945243468057015,-778.9048693611403,SL,2020-12-17,2020-12-17,1.0
2020-12-18,2020-12-18 10:00:00-05:00,2020-12-18 14:30:00-05:00,SHORT,12725.0,12674.0,20.597688340437205,12781.643642936202,2,9,51.0,2040.0,FC,2020-12-18,2020-12-17,1.0
2020-12-21,2020-12-21 10:00:00-05:00,2020-12-21 14:30:00-05:00,SHORT,12582.5,12688.5,44.79980633108614,12705.699467410486,1,9,-106.0,-2120.0,FC,2020-12-21,2020-12-17,1.0
2020-12-22,2020-12-22 10:00:00-05:00,2020-12-22 11:30:00-05:00,LONG,12749.25,12678.152555092725,25.853616329917724,12678.152555092725,2,3,-71.09744490727462,-2843.897796290985,SL,2020-12-22,2020-12-22,-1.0
2020-12-23,2020-12-23 10:00:00-05:00,2020-12-23 14:30:00-05:00,SHORT,12689.5,12710.75,20.099869462156747,12744.774641020931,1,9,-21.25,-425.0,FC,2020-12-23,2020-12-22,-1.0
2020-12-28,2020-12-28 10:00:00-05:00,2020-12-28 10:30:00-05:00,LONG,12798.25,12756.268796786355,15.265892077689223,12756.268796786355,2,1,-41.98120321364513,-1679.2481285458052,SL,2020-12-28,,
2020-12-29,2020-12-29 10:00:00-05:00,2020-12-29 10:30:00-05:00,LONG,12859.75,12818.743778504007,14.911353271270034,12818.743778504007,1,1,-41.00622149599258,-820.1244299198515,SL,2020-12-29,2020-12-29,-1.0
2020-12-30,2020-12-30 10:00:00-05:00,2020-12-30 14:30:00-05:00,SHORT,12865.25,12855.75,16.816821750904467,12911.496259814987,2,9,9.5,380.0,FC,2020-12-30,2020-12-30,-1.0
2020-12-31,2020-12-31 10:00:00-05:00,2020-12-31 14:30:00-05:00,SHORT,12833.0,12830.75,12.67893172686623,12867.867062248883,1,9,2.25,45.0,FC,2020-12-31,2020-12-30,-1.0
2021-01-04,2021-01-04 10:00:00-05:00,2021-01-04 14:30:00-05:00,SHORT,12879.75,12646.5,22.17972903929496,12940.74425485806,1,9,233.25,4665.0,FC,2021-01-04,2020-12-30,-1.0
2021-01-05,2021-01-05 10:00:00-05:00,2021-01-05 14:30:00-05:00,LONG,12749.75,12784.25,41.97666243079112,12634.314178315324,1,9,34.5,690.0,FC,2021-01-05,,
2021-01-06,2021-01-06 10:00:00-05:00,2021-01-06 14:30:00-05:00,SHORT,12634.5,12687.5,61.22852784800354,12802.87845158201,1,9,-53.0,-1060.0,FC,2021-01-06,2021-01-06,-1.0
2021-01-07,2021-01-07 10:00:00-05:00,2021-01-07 14:30:00-05:00,LONG,12838.0,12908.5,37.336271954937416,12735.325252123923,2,9,70.5,2820.0,FC,2021-01-07,2021-01-07,-1.0
2021-01-08,2021-01-08 10:00:00-05:00,2021-01-08 14:00:00-05:00,LONG,13018.5,12947.688760197942,25.749541746202777,12947.688760197942,1,8,-70.81123980205848,-1416.2247960411696,SL,2021-01-08,2021-01-07,-1.0
2021-01-11,2021-01-11 10:00:00-05:00,2021-01-11 14:30:00-05:00,SHORT,12958.75,12917.0,32.4329488968172,13047.940609466248,2,9,41.75,1670.0,FC,2021-01-11,2021-01-07,-1.0
2021-01-12,2021-01-12 10:00:00-05:00,2021-01-12 14:30:00-05:00,SHORT,12890.5,12878.75,32.648381652151734,12980.283049543417,1,9,11.75,235.0,FC,2021-01-12,2021-01-07,-1.0
2021-01-13,2021-01-13 10:00:00-05:00,2021-01-13 14:30:00-05:00,LONG,12914.25,12995.5,31.008309045770112,12828.977150124132,1,9,81.25,1625.0,FC,2021-01-13,2021-01-13,-1.0
2021-01-14,2021-01-14 10:00:00-05:00,2021-01-14 14:30:00-05:00,LONG,12993.0,12952.5,23.21985731737837,12929.14539237721,1,9,-40.5,-810.0,FC,2021-01-14,2021-01-14,-1.0
2021-01-15,2021-01-15 10:00:00-05:00,2021-01-15 14:30:00-05:00,SHORT,12901.0,12847.0,26.565099420774004,12974.054023407129,2,9,54.0,2160.0,FC,2021-01-15,2021-01-14,-1.0
2021-01-19,2021-01-19 10:00:00-05:00,2021-01-19 14:30:00-05:00,LONG,12884.25,12981.25,20.873136353941355,12826.84887502666,1,9,97.0,1940.0,FC,2021-01-19,2021-01-14,-1.0
2021-01-20,2021-01-20 10:00:00-05:00,2021-01-20 14:30:00-05:00,LONG,13164.25,13298.5,23.120797751976667,13100.667806182064,1,9,134.25,2685.0,FC,2021-01-20,2021-01-20,-1.0
2021-01-21,2021-01-21 10:00:00-05:00,2021-01-21 14:30:00-05:00,LONG,13317.25,13391.75,24.953354529936718,13248.628275042674,1,9,74.5,1490.0,FC,2021-01-21,2021-01-21,-1.0
2021-01-22,2021-01-22 10:00:00-05:00,2021-01-22 14:30:00-05:00,LONG,13383.25,13368.0,25.017872406750833,13314.450850881436,1,9,-15.25,-305.0,FC,2021-01-22,2021-01-21,-1.0
2021-01-25,2021-01-25 10:00:00-05:00,2021-01-25 11:00:00-05:00,LONG,13539.5,13478.182237849494,22.297368054729,13478.182237849494,2,2,-61.31776215050559,-2452.7104860202235,SL,2021-01-25,2021-01-21,-1.0
2021-01-26,2021-01-26 10:00:00-05:00,2021-01-26 14:30:00-05:00,LONG,13478.0,13498.25,28.826810694242557,13398.726270590832,1,9,20.25,405.0,FC,2021-01-26,2021-01-21,-1.0
2021-01-27,2021-01-27 10:00:00-05:00,2021-01-27 14:30:00-05:00,SHORT,13280.5,13209.5,57.042707050143996,13437.367444387895,1,9,71.0,1420.0,FC,2021-01-27,2021-01-27,-1.0
2021-01-28,2021-01-28 10:00:00-05:00,2021-01-28 14:30:00-05:00,LONG,13188.75,13346.75,73.0169502631866,12987.953386776237,1,9,158.0,3160.0,FC,2021-01-28,2021-01-28,-1.0
2021-01-29,2021-01-29 10:00:00-05:00,2021-01-29 14:30:00-05:00,SHORT,13082.75,12930.75,68.49966115786702,13271.124068184134,1,9,152.0,3040.0,FC,2021-01-29,2021-01-28,-1.0
2021-02-01,2021-02-01 10:00:00-05:00,2021-02-01 14:30:00-05:00,LONG,13019.25,13257.75,45.60637820049822,12893.83245994863,1,9,238.5,4770.0,FC,2021-02-01,2021-01-28,-1.0
2021-02-02,2021-02-02 10:00:00-05:00,2021-02-02 14:30:00-05:00,LONG,13381.5,13471.0,30.787545834079683,13296.83424895628,1,9,89.5,1790.0,FC,2021-02-02,2021-01-28,-1.0
2021-02-03,2021-02-03 10:00:00-05:00,2021-02-03 10:30:00-05:00,LONG,13526.5,13444.426953866843,29.844744048420335,13444.426953866843,1,1,-82.07304613315682,-1641.4609226631364,SL,2021-02-03,2021-02-03,-1.0
2021-02-04,2021-02-04 10:00:00-05:00,2021-02-04 14:30:00-05:00,LONG,13437.5,13495.25,27.565866455168667,13361.693867248287,2,9,57.75,2310.0,FC,2021-02-04,2021-02-04,-1.0
2021-02-05,2021-02-05 10:00:00-05:00,2021-02-05 12:30:00-05:00,SHORT,13538.75,13604.402816537457,23.87375146816581,13604.402816537457,1,5,-65.6528165374566,-1313.056330749132,SL,2021-02-05,2021-02-04,-1.0
2021-02-08,2021-02-08 10:00:00-05:00,2021-02-08 12:00:00-05:00,LONG,13663.5,13609.34821009696,19.6915599647422,13609.34821009696,2,4,-54.15178990304048,-2166.071596121619,SL,2021-02-08,2021-02-04,-1.0
2021-02-09,2021-02-09 10:00:00-05:00,2021-02-09 14:30:00-05:00,LONG,13704.0,13695.0,18.227471933067953,13653.874452184064,1,9,-9.0,-180.0,FC,2021-02-09,2021-02-09,-1.0
2021-02-10,2021-02-10 10:00:00-05:00,2021-02-10 10:30:00-05:00,LONG,13735.5,13686.247869626404,17.909865590398773,13686.247869626404,2,1,-49.25213037359572,-1970.0852149438288,SL,2021-02-10,2021-02-10,-1.0
2021-02-11,2021-02-11 10:00:00-05:00,2021-02-11 13:00:00-05:00,LONG,13686.0,13632.953783916424,19.28953312130062,13632.953783916424,1,6,-53.04621608357593,-1060.9243216715186,SL,2021-02-11,2021-02-11,-1.0
2021-02-12,2021-02-12 10:00:00-05:00,2021-02-12 12:00:00-05:00,SHORT,13693.75,13749.382378632068,20.22995586620661,13749.382378632068,2,4,-55.63237863206814,-2225.2951452827256,SL,2021-02-12,2021-02-11,-1.0
2021-02-16,2021-02-16 10:00:00-05:00,2021-02-16 11:30:00-05:00,LONG,13853.0,13800.473274528353,19.10062744423506,13800.473274528353,1,3,-52.526725471647296,-1050.534509432946,SL,2021-02-16,2021-02-11,-1.0
2021-02-17,2021-02-17 10:00:00-05:00,2021-02-17 14:30:00-05:00,SHORT,13670.75,13645.25,35.04901667227096,13767.134795848746,2,9,25.5,1020.0,FC,2021-02-17,2021-02-17,-1.0
2021-02-18,2021-02-18 10:00:00-05:00,2021-02-18 14:30:00-05:00,SHORT,13567.5,13614.25,30.49383550235737,13651.358047631482,1,9,-46.75,-935.0,FC,2021-02-18,2021-02-18,-1.0
2021-02-19,2021-02-19 10:00:00-05:00,2021-02-19 13:00:00-05:00,LONG,13671.5,13595.900501021513,27.490726901267966,13595.900501021513,2,6,-75.59949897848674,-3023.9799591394694,SL,2021-02-19,2021-02-18,-1.0
2021-02-22,2021-02-22 10:00:00-05:00,2021-02-22 14:30:00-05:00,SHORT,13428.0,13353.5,40.47907069229609,13539.317444403814,1,9,74.5,1490.0,FC,2021-02-22,2021-02-18,-1.0
2021-02-23,2021-02-23 10:00:00-05:00,2021-02-23 11:00:00-05:00,SHORT,12885.25,13082.066278247365,71.56955572631456,13082.066278247365,1,2,-196.8162782473646,-3936.325564947292,SL,2021-02-23,2021-02-18,-1.0
2021-02-24,2021-02-24 10:00:00-05:00,2021-02-24 13:00:00-05:00,SHORT,13031.75,13236.653296180748,74.51028952027215,13236.653296180748,2,6,-204.90329618074793,-8196.131847229917,SL,2021-02-24,2021-02-24,-1.0
2021-02-25,2021-02-25 10:00:00-05:00,2021-02-25 14:30:00-05:00,SHORT,13219.75,13013.5,51.83800965770891,13362.304526558699,1,9,206.25,4125.0,FC,2021-02-25,2021-02-25,-1.0
2021-02-26,2021-02-26 10:00:00-05:00,2021-02-26 14:30:00-05:00,SHORT,12876.5,12950.75,84.56914534762925,13109.06514970598,1,9,-74.25,-1485.0,FC,2021-02-26,2021-02-25,-1.0
2021-03-01,2021-03-01 10:00:00-05:00,2021-03-01 14:30:00-05:00,LONG,13098.5,13252.25,42.08651747223854,12982.762076951343,2,9,153.75,6150.0,FC,2021-03-01,2021-02-25,-1.0
2021-03-02,2021-03-02 10:00:00-05:00,2021-03-02 14:30:00-05:00,LONG,13219.0,13137.75,44.118089246384436,13097.675254572443,1,9,-81.25,-1625.0,FC,2021-03-02,2021-02-25,-1.0
2021-03-03,2021-03-03 10:00:00-05:00,2021-03-03 14:30:00-05:00,SHORT,12905.0,12707.5,51.52534064370511,13046.694686770188,2,9,197.5,7900.0,FC,2021-03-03,2021-03-03,-1.0
2021-03-04,2021-03-04 10:00:00-05:00,2021-03-04 12:00:00-05:00,SHORT,12589.5,12771.904086829323,66.32875884702648,12771.904086829323,1,4,-182.4040868293232,-3648.081736586464,SL,2021-03-04,2021-03-04,-1.0
2021-03-05,2021-03-05 10:00:00-05:00,2021-03-05 14:30:00-05:00,SHORT,12421.75,12592.0,87.59753419872803,12662.643219046502,2,9,-170.25,-6810.0,FC,2021-03-05,2021-03-04,-1.0
2021-03-08,2021-03-08 10:00:00-05:00,2021-03-08 14:30:00-05:00,LONG,12579.5,12476.75,71.04791707455846,12384.118228044965,1,9,-102.75,-2055.0,FC,2021-03-08,2021-03-04,-1.0
2021-03-09,2021-03-09 10:00:00-05:00,2021-03-09 14:30:00-05:00,LONG,12704.75,12809.5,53.11547852118297,12558.682434066746,2,9,104.75,4190.0,FC,2021-03-09,2021-03-04,-1.0
2021-03-10,2021-03-10 10:00:00-05:00,2021-03-10 14:00:00-05:00,LONG,12911.5,12732.849471231955,64.96382864292568,12732.849471231955,1,8,-178.65052876804475,-3573.010575360895,SL,2021-03-10,2021-03-10,-1.0
2021-03-11,2021-03-11 10:00:00-05:00,2021-03-11 14:30:00-05:00,LONG,12957.25,13075.0,42.97861650813137,12839.058804602639,2,9,117.75,4710.0,FC,2021-03-11,2021-03-11,-1.0
2021-03-12,2021-03-12 10:00:00-05:00,2021-03-12 14:30:00-05:00,SHORT,12880.75,12874.0,49.14257763542507,13015.89208849742,1,9,6.75,135.0,FC,2021-03-12,2021-03-11,-1.0
2021-03-15,2021-03-15 10:00:00-04:00,2021-03-15 14:30:00-04:00,LONG,12952.25,13009.5,36.13170263227654,12852.887817761239,1,9,57.25,1145.0,FC,2021-03-15,2021-03-11,-1.0
2021-03-16,2021-03-16 10:00:00-04:00,2021-03-16 14:30:00-04:00,LONG,13225.0,13107.25,31.44812213435676,13138.517664130519,1,9,-117.75,-2355.0,FC,2021-03-16,2021-03-11,-1.0
2021-03-17,2021-03-17 10:00:00-04:00,2021-03-17 14:30:00-04:00,SHORT,13034.5,13080.0,37.783302124706296,13138.404080842942,2,9,-45.5,-1820.0,FC,2021-03-17,2021-03-17,-1.0
2021-03-18,2021-03-18 10:00:00-04:00,2021-03-18 14:30:00-04:00,SHORT,12995.25,12886.25,45.305382260987706,13119.839801217717,1,9,109.0,2180.0,FC,2021-03-18,2021-03-18,-1.0
2021-03-19,2021-03-19 10:00:00-04:00,2021-03-19 14:30:00-04:00,SHORT,12774.75,12859.0,50.109195481784305,12912.550287574906,1,9,-84.25,-1685.0,FC,2021-03-19,2021-03-18,-1.0
2021-03-22,2021-03-22 10:00:00-04:00,2021-03-22 14:30:00-04:00,LONG,13007.5,13137.75,33.98711179753115,12914.03544255679,2,9,130.25,5210.0,FC,2021-03-22,2021-03-18,-1.0
2021-03-23,2021-03-23 10:00:00-04:00,2021-03-23 14:30:00-04:00,LONG,13079.0,13111.25,32.57866982855796,12989.408657971466,1,9,32.25,645.0,FC,2021-03-23,2021-03-18,-1.0
2021-03-24,2021-03-24 10:00:00-04:00,2021-03-24 14:30:00-04:00,SHORT,12956.0,12909.5,37.2098135004166,13058.326987126145,1,9,46.5,930.0,FC,2021-03-24,2021-03-24,-1.0
2021-03-25,2021-03-25 10:00:00-04:00,2021-03-25 14:30:00-04:00,SHORT,12789.0,12660.75,44.19288341322071,12910.530429386357,1,9,128.25,2565.0,FC,2021-03-25,2021-03-25,-1.0
2021-03-26,2021-03-26 10:00:00-04:00,2021-03-26 14:30:00-04:00,LONG,12808.5,12754.5,41.35039440171959,12694.78641539527,1,9,-54.0,-1080.0,FC,2021-03-26,2021-03-25,-1.0
2021-03-29,2021-03-29 10:00:00-04:00,2021-03-29 13:30:00-04:00,SHORT,12854.25,12975.17161628237,43.97149682995303,12975.17161628237,2,7,-120.92161628237045,-4836.864651294818,SL,2021-03-29,2021-03-29,-1.0
2021-03-30,2021-03-30 10:00:00-04:00,2021-03-30 14:30:00-04:00,SHORT,12831.5,12850.5,34.23984538564609,12925.659574810526,1,9,-19.0,-380.0,FC,2021-03-30,2021-03-30,-1.0
2021-03-31,2021-03-31 10:00:00-04:00,2021-03-31 14:30:00-04:00,LONG,13051.75,13115.75,29.176110215429816,12971.515696907569,2,9,64.0,2560.0,FC,2021-03-31,2021-03-31,-1.0
2021-04-01,2021-04-01 10:00:00-04:00,2021-04-01 14:30:00-04:00,LONG,13292.0,13298.75,25.22230887731643,13222.63865058738,1,9,6.75,135.0,FC,2021-04-01,2021-03-31,-1.0
2021-04-05,2021-04-05 10:00:00-04:00,2021-04-05 14:30:00-04:00,LONG,13475.75,13596.0,26.6388643072891,13402.493123154954,1,9,120.25,2405.0,FC,2021-04-05,2021-03-31,-1.0
2021-04-06,2021-04-06 10:00:00-04:00,2021-04-06 14:30:00-04:00,LONG,13596.25,13607.5,26.832475694490768,13522.46069184015,1,9,11.25,225.0,FC,2021-04-06,,
2021-04-07,2021-04-07 10:00:00-04:00,2021-04-07 14:30:00-04:00,LONG,13576.0,13627.5,26.68520180878959,13502.615695025828,1,9,51.5,1030.0,FC,2021-04-07,2021-04-07,-1.0
2021-04-08,2021-04-08 10:00:00-04:00,2021-04-08 14:30:00-04:00,LONG,13749.75,13746.0,23.3724844005967,13685.47566789836,1,9,-3.75,-75.0,FC,2021-04-08,2021-04-08,1.0
