date_x,entry_time,exit_time,direction,entry_price,exit_price,entry_atr,sl_price,qty,bars_held,pnl_pts,pnl_$,reason,session_date,date_y,qqq_gamma_sign
2020-12-01,2020-12-01 10:00:00-05:00,2020-12-01 11:00:00-05:00,LONG,12390.75,12369.978297140504,16.61736228759635,12369.978297140504,1,2,-20.771702859496145,-415.4340571899229,SL,2020-12-01,,
2020-12-02,2020-12-02 10:00:00-05:00,2020-12-02 10:30:00-05:00,SHORT,12375.5,12404.871350353123,23.497080282499052,12404.871350353123,2,1,-29.37135035312349,-1174.8540141249396,SL,2020-12-02,2020-12-02,-1.0
2020-12-03,2020-12-03 10:00:00-05:00,2020-12-03 11:30:00-05:00,LONG,12495.25,12470.352919084895,19.917664732083825,12470.352919084895,1,3,-24.897080915105107,-497.94161830210214,SL,2020-12-03,2020-12-03,-1.0
2020-12-04,2020-12-04 10:00:00-05:00,2020-12-04 10:30:00-05:00,LONG,12506.75,12484.870833888206,17.50333288943537,12484.870833888206,2,1,-21.879166111793893,-875.1666444717557,SL,2020-12-04,2020-12-03,-1.0
2020-12-07,2020-12-07 10:00:00-05:00,2020-12-07 13:30:00-05:00,LONG,12584.75,12561.145447687617,18.883641849906745,12561.145447687617,1,7,-23.60455231238302,-472.0910462476604,SL,2020-12-07,2020-12-03,-1.0
2020-12-08,2020-12-08 10:00:00-05:00,2020-12-08 12:00:00-05:00,SHORT,12551.75,12574.981949971043,18.585559976834446,12574.981949971043,2,4,-23.231949971042923,-929.2779988417169,SL,2020-12-08,2020-12-03,-1.0
2020-12-09,2020-12-09 10:00:00-05:00,2020-12-09 10:30:00-05:00,LONG,12636.0,12616.587206991531,15.530234406774278,12616.587206991531,1,1,-19.412793008468725,-388.2558601693745,SL,2020-12-09,2020-12-09,-1.0
2020-12-10,2020-12-10 10:00:00-05:00,2020-12-10 10:30:00-05:00,SHORT,12373.5,12413.524765689996,32.019812551995976,12413.524765689996,2,1,-40.02476568999555,-1600.990627599822,SL,2020-12-10,2020-12-10,-1.0
2020-12-11,2020-12-11 10:00:00-05:00,2020-12-11 10:30:00-05:00,SHORT,12314.5,12348.239543338903,26.991634671122686,12348.239543338903,1,1,-33.73954333890288,-674.7908667780575,SL,2020-12-11,2020-12-10,-1.0
2020-12-14,2020-12-14 10:00:00-05:00,2020-12-14 13:00:00-05:00,LONG,12519.5,12490.569264581978,23.14458833441726,12490.569264581978,2,6,-28.930735418021868,-1157.2294167208747,SL,2020-12-14,2020-12-10,-1.0
2020-12-15,2020-12-15 10:00:00-05:00,2020-12-15 11:00:00-05:00,LONG,12566.0,12540.262542634497,20.5899658924023,12540.262542634497,1,2,-25.73745736550336,-514.7491473100672,SL,2020-12-15,2020-12-10,-1.0
2020-12-16,2020-12-16 10:00:00-05:00,2020-12-16 10:30:00-05:00,LONG,12601.25,12579.476672381175,17.418662095059027,12579.476672381175,2,1,-21.773327618824624,-870.933104752985,SL,2020-12-16,2020-12-16,-1.0
2020-12-17,2020-12-17 10:00:00-05:00,2020-12-17 10:30:00-05:00,LONG,12740.0,12720.74081581494,15.40734734804888,12720.74081581494,1,1,-19.259184185060803,-385.18368370121607,SL,2020-12-17,2020-12-17,1.0
2020-12-18,2020-12-18 10:00:00-05:00,2020-12-18 14:30:00-05:00,SHORT,12725.0,12674.0,17.410270273827212,12746.762837842283,2,9,51.0,2040.0,FC,2020-12-18,2020-12-17,1.0
2020-12-21,2020-12-21 10:00:00-05:00,2020-12-21 13:00:00-05:00,SHORT,12582.5,12626.560820987155,35.248656789723896,12626.560820987155,1,6,-44.06082098715524,-881.2164197431048,SL,2020-12-21,2020-12-17,1.0
2020-12-22,2020-12-22 10:00:00-05:00,2020-12-22 10:30:00-05:00,LONG,12749.25,12714.486213105876,27.811029515299076,12714.486213105876,2,1,-34.76378689412377,-1390.5514757649507,SL,2020-12-22,2020-12-22,-1.0
2020-12-23,2020-12-23 10:00:00-05:00,2020-12-23 13:30:00-05:00,SHORT,12689.5,12716.823067072777,21.858453658221936,12716.823067072777,1,7,-27.32306707277712,-546.4613414555424,SL,2020-12-23,2020-12-22,-1.0
2020-12-24,2020-12-24 10:00:00-05:00,2020-12-24 11:00:00-05:00,LONG,12704.0,12683.37451767927,16.50038585658386,12683.37451767927,2,2,-20.625482320729134,-825.0192928291654,SL,2020-12-24,2020-12-22,-1.0
2020-12-28,2020-12-28 10:00:00-05:00,2020-12-28 10:30:00-05:00,LONG,12798.25,12778.41261642835,15.869906857320819,12778.41261642835,1,1,-19.837383571650207,-396.74767143300414,SL,2020-12-28,,
2020-12-29,2020-12-29 10:00:00-05:00,2020-12-29 10:30:00-05:00,LONG,12859.75,12843.116662056047,13.306670355162598,12843.116662056047,2,1,-16.633337943952938,-665.3335177581175,SL,2020-12-29,2020-12-29,-1.0
2020-12-30,2020-12-30 10:00:00-05:00,2020-12-30 14:30:00-05:00,SHORT,12865.25,12855.75,16.218475419763767,12885.523094274704,1,9,9.5,190.0,FC,2020-12-30,2020-12-30,-1.0
