date,entry_time,exit_time,direction,prior_gamma_sign,entry_price,exit_price,qty,bars_held,pnl_pts,pnl_$,reason
2020-12-08,2020-12-08 10:00:00-05:00,2020-12-08 12:00:00-05:00,SHORT,-1,12551.75,12574.981949971043,1,4,-23.231949971042923,-464.63899942085845,SL
2020-12-10,2020-12-10 10:00:00-05:00,2020-12-10 10:30:00-05:00,SHORT,-1,12373.5,12413.524765689996,2,1,-40.02476568999555,-1600.990627599822,SL
2020-12-11,2020-12-11 10:00:00-05:00,2020-12-11 10:30:00-05:00,SHORT,-1,12314.5,12348.239543338903,1,1,-33.73954333890288,-674.7908667780575,SL
2020-12-22,2020-12-22 10:00:00-05:00,2020-12-22 10:30:00-05:00,LONG,1,12749.25,12714.486213105876,2,1,-34.76378689412377,-1390.5514757649507,SL
2020-12-23,2020-12-23 10:00:00-05:00,2020-12-23 13:30:00-05:00,SHORT,-1,12689.5,12716.823067072777,1,7,-27.32306707277712,-546.4613414555424,SL
2020-12-30,2020-12-30 10:00:00-05:00,2020-12-30 14:30:00-05:00,SHORT,-1,12865.25,12855.75,2,9,9.5,380.0,FC
2020-12-31,2020-12-31 10:00:00-05:00,2020-12-31 10:30:00-05:00,SHORT,-1,12833.0,12849.803339443402,1,1,-16.803339443402365,-336.0667888680473,SL
2021-01-04,2021-01-04 10:00:00-05:00,2021-01-04 14:30:00-05:00,SHORT,-1,12879.75,12646.5,2,9,233.25,9330.0,FC
2021-01-11,2021-01-11 10:00:00-05:00,2021-01-11 11:00:00-05:00,SHORT,-1,12958.75,12996.657096325313,1,2,-37.90709632531252,-758.1419265062505,SL
2021-01-12,2021-01-12 10:00:00-05:00,2021-01-12 11:30:00-05:00,SHORT,-1,12890.5,12926.342815999826,2,3,-35.84281599982569,-1433.7126399930276,SL
2021-01-15,2021-01-15 10:00:00-05:00,2021-01-15 14:30:00-05:00,SHORT,-1,12901.0,12847.0,1,9,54.0,1080.0,FC
2021-01-29,2021-01-29 10:00:00-05:00,2021-01-29 14:30:00-05:00,SHORT,-1,13082.75,12930.75,1,9,152.0,3040.0,FC
2021-02-05,2021-02-05 10:00:00-05:00,2021-02-05 11:00:00-05:00,SHORT,-1,13538.75,13567.495816193032,1,2,-28.745816193031715,-574.9163238606343,SL
2021-02-12,2021-02-12 10:00:00-05:00,2021-02-12 11:00:00-05:00,SHORT,-1,13693.75,13719.525224284376,2,2,-25.775224284376236,-1031.0089713750494,SL
2021-02-18,2021-02-18 10:00:00-05:00,2021-02-18 13:30:00-05:00,SHORT,-1,13567.5,13603.955982737298,1,7,-36.455982737297745,-729.1196547459549,SL
2021-02-22,2021-02-22 10:00:00-05:00,2021-02-22 14:30:00-05:00,SHORT,-1,13428.0,13353.5,2,9,74.5,2980.0,FC
2021-02-23,2021-02-23 10:00:00-05:00,2021-02-23 10:30:00-05:00,SHORT,-1,12885.25,12950.114312757167,1,1,-64.86431275716677,-1297.2862551433354,SL
