atr_n,sl_mult,n_all,wr_all,all_net,all_PF,all_mdd,is_n,is_net,is_PF,oos_n,oos_net,oos_PF,beat_both,net_mdd_ratio
7,0.25,1381,8.9,124584.0,1.285,-40758.0,828,39694.0,1.171,553,84890.0,1.414,True,3.0566759899896954
7,0.35,1377,11.9,109025.0,1.187,-57235.0,826,45308.0,1.147,551,63717.0,1.231,True,1.904865903730235
7,0.45,1375,15.4,177524.0,1.249,-39209.0,825,129764.0,1.352,550,47760.0,1.139,True,4.5276339615904515
7,0.55,1370,17.9,163225.0,1.195,-42745.0,822,120922.0,1.278,548,42303.0,1.105,True,3.818575271961633
7,0.65,1365,20.2,169269.0,1.177,-48893.0,819,99300.0,1.197,546,69968.0,1.154,True,3.46202932935185
7,0.75,1363,22.9,171912.0,1.163,-53334.0,817,106238.0,1.192,546,65674.0,1.132,True,3.223309708628642
7,0.85,1362,25.8,240138.0,1.212,-52560.0,817,108791.0,1.18,545,131348.0,1.247,True,4.568835616438356
7,0.95,1362,28.0,222477.0,1.183,-58168.0,817,93197.0,1.143,545,129280.0,1.228,True,3.824731811305185
7,1.05,1359,30.7,250386.0,1.195,-68926.0,815,90734.0,1.131,544,159652.0,1.271,True,3.6326785247947075
7,1.15,1357,32.6,223250.0,1.166,-58408.0,814,84027.0,1.116,543,139222.0,1.224,True,3.8222503766607314
7,1.25,1354,35.2,220549.0,1.157,-54182.0,812,114667.0,1.154,542,105882.0,1.161,True,4.070521575430955
7,1.35,1354,36.9,178427.0,1.121,-64456.0,812,93821.0,1.12,542,84606.0,1.123,True,2.76819846096562
7,1.45,1352,38.7,175541.0,1.116,-65587.0,811,91457.0,1.114,541,84084.0,1.119,True,2.6764602741396923
7,1.55,1352,40.2,183530.0,1.119,-71898.0,811,100197.0,1.123,541,83333.0,1.114,True,2.5526440234777046
7,1.65,1352,42.0,194009.0,1.123,-57948.0,811,100733.0,1.122,541,93276.0,1.125,True,3.347984399806723
7,1.75,1351,43.5,218051.0,1.138,-69503.0,810,90430.0,1.107,541,127621.0,1.175,True,3.137289037883257
7,1.85,1350,44.9,222158.0,1.14,-71036.0,810,76156.0,1.089,540,146002.0,1.202,True,3.1274001914522214
7,1.95,1350,46.1,228047.0,1.143,-67625.0,810,72198.0,1.083,540,155849.0,1.216,True,3.372229205175601
7,2.05,1350,47.0,218599.0,1.135,-73460.0,810,58804.0,1.066,540,159795.0,1.219,True,2.975755513204465
7,2.15,1348,47.7,218004.0,1.133,-78334.0,808,59885.0,1.067,540,158119.0,1.213,True,2.783006102075727
7,2.25,1348,48.5,258800.0,1.16,-68709.0,808,83822.0,1.095,540,174978.0,1.237,True,3.7666099055436697
7,2.35,1348,49.1,259983.0,1.16,-57970.0,808,100758.0,1.115,540,159226.0,1.211,True,4.48478523374159
7,2.45,1347,49.7,247968.0,1.152,-60403.0,808,104353.0,1.12,539,143616.0,1.187,True,4.105226561594622
7,2.55,1346,50.3,255159.0,1.155,-58980.0,807,100091.0,1.114,539,155068.0,1.202,True,4.326195320447609
7,2.65,1346,50.7,258994.0,1.157,-58437.0,807,102542.0,1.117,539,156452.0,1.202,True,4.432020808734192
7,2.75,1345,50.9,238409.0,1.142,-67006.0,807,100727.0,1.114,538,137683.0,1.174,True,3.5580246545085514
7,2.85,1345,51.1,221733.0,1.131,-71737.0,807,98818.0,1.112,538,122915.0,1.152,True,3.0909154271854136
7,2.95,1344,51.5,223683.0,1.132,-75030.0,806,106255.0,1.121,538,117428.0,1.144,True,2.9812475009996002
10,0.25,1381,7.8,102108.0,1.255,-52992.0,828,16537.0,1.078,553,85571.0,1.455,True,1.926856884057971
10,0.35,1377,10.7,90262.0,1.168,-57847.0,826,35168.0,1.124,551,55094.0,1.217,True,1.5603574947706882
10,0.45,1375,14.2,166080.0,1.253,-36856.0,825,111472.0,1.329,550,54608.0,1.173,True,4.506186238332972
10,0.55,1370,16.5,172792.0,1.223,-41428.0,822,110782.0,1.275,548,62010.0,1.166,True,4.170898908950468
10,0.65,1366,18.7,156753.0,1.177,-44082.0,819,100885.0,1.22,547,55868.0,1.131,True,3.555941200489996
10,0.75,1363,21.1,191769.0,1.195,-51609.0,817,122220.0,1.238,546,69549.0,1.148,True,3.7158053827820727
10,0.85,1362,23.3,183253.0,1.171,-49512.0,817,101884.0,1.181,545,81369.0,1.161,True,3.7011835514622717
10,0.95,1362,26.1,228436.0,1.2,-54732.0,817,92183.0,1.15,545,136252.0,1.256,True,4.173719213622744
10,1.05,1362,28.0,221236.0,1.181,-68327.0,817,79999.0,1.122,545,141237.0,1.25,True,3.2379000980578687
10,1.15,1355,30.5,234665.0,1.184,-67313.0,813,90400.0,1.132,542,144265.0,1.245,True,3.486176518651672
10,1.25,1354,32.5,221951.0,1.167,-54194.0,812,80140.0,1.111,542,141810.0,1.231,True,4.0954902756762745
10,1.35,1353,34.7,239772.0,1.174,-50998.0,811,105801.0,1.144,542,133972.0,1.208,True,4.701596141025139
10,1.45,1353,36.4,211286.0,1.147,-59918.0,811,106884.0,1.14,542,104402.0,1.154,True,3.5262525451450317
10,1.55,1352,37.9,207268.0,1.139,-61534.0,811,122756.0,1.157,541,84511.0,1.119,True,3.3683492053173856
10,1.65,1351,39.3,192667.0,1.126,-68217.0,810,97884.0,1.121,541,94783.0,1.133,True,2.8243253148042275
10,1.75,1351,40.9,175782.0,1.112,-80223.0,810,102217.0,1.125,541,73566.0,1.099,True,2.191167121648405
10,1.85,1351,42.6,224699.0,1.144,-74910.0,810,117509.0,1.143,541,107190.0,1.145,True,2.9995861700707516
10,1.95,1350,43.9,241417.0,1.154,-68491.0,810,96841.0,1.115,540,144577.0,1.2,True,3.524798878684791
10,2.05,1350,44.9,242041.0,1.153,-58916.0,810,98814.0,1.116,540,143228.0,1.196,True,4.10823884853011
10,2.15,1348,46.0,233953.0,1.146,-59269.0,808,84088.0,1.097,540,149865.0,1.203,True,3.9473080362415427
10,2.25,1348,46.6,211172.0,1.13,-74632.0,808,54724.0,1.061,540,156448.0,1.214,True,2.8295101297030762
10,2.35,1348,47.4,219392.0,1.134,-93799.0,808,47822.0,1.053,540,171570.0,1.234,True,2.338958837514259
10,2.45,1348,48.1,221348.0,1.134,-81405.0,808,50281.0,1.055,540,171068.0,1.23,True,2.7190958786315336
10,2.55,1348,48.9,231582.0,1.141,-68664.0,808,72034.0,1.081,540,159547.0,1.211,True,3.3726843760922756
10,2.65,1347,49.6,257732.0,1.158,-52621.0,808,112428.0,1.13,539,145303.0,1.19,True,4.897892476387754
10,2.75,1346,50.2,282664.0,1.174,-49799.0,807,120957.0,1.141,539,161708.0,1.211,True,5.676097913612723
10,2.85,1345,50.5,264484.0,1.161,-53148.0,807,103230.0,1.118,538,161254.0,1.21,True,4.976367878377362
10,2.95,1345,50.7,250142.0,1.15,-57592.0,807,102035.0,1.116,538,148107.0,1.189,True,4.343346298096958
14,0.25,1381,7.1,73858.0,1.195,-52046.0,828,5404.0,1.027,553,68454.0,1.383,True,1.419090804288514
14,0.35,1377,10.3,95888.0,1.189,-57837.0,826,33905.0,1.126,551,61984.0,1.258,True,1.6579006518318724
14,0.45,1375,13.0,114424.0,1.182,-42372.0,825,67909.0,1.208,550,46515.0,1.154,True,2.700462569621448
14,0.55,1369,15.6,142068.0,1.192,-42678.0,821,118079.0,1.311,548,23989.0,1.067,True,3.3288345283284126
14,0.65,1366,17.6,154323.0,1.183,-47279.0,819,96225.0,1.22,547,58098.0,1.143,True,3.264091880115908
14,0.75,1362,20.2,199992.0,1.213,-45137.0,817,120421.0,1.247,545,79570.0,1.176,True,4.4307774109931986
14,0.85,1362,22.1,189230.0,1.184,-50414.0,817,116287.0,1.217,545,72943.0,1.147,True,3.753520847383663
14,0.95,1362,24.7,202559.0,1.184,-51672.0,817,100192.0,1.173,545,102367.0,1.197,True,3.920092119523146
14,1.05,1360,26.8,232401.0,1.198,-55996.0,816,90968.0,1.145,544,141433.0,1.259,True,4.150314308164869
14,1.15,1355,29.0,232168.0,1.188,-67534.0,813,101585.0,1.154,542,130583.0,1.228,True,3.4377942962063552
14,1.25,1353,31.0,244522.0,1.19,-51121.0,811,92173.0,1.133,542,152349.0,1.257,True,4.783200641614992
14,1.35,1352,32.9,223000.0,1.166,-46910.0,811,89744.0,1.125,541,133256.0,1.213,True,4.753783841398422
14,1.45,1352,34.9,231895.0,1.167,-53047.0,811,113210.0,1.154,541,118685.0,1.181,True,4.3715007446226934
14,1.55,1352,36.5,195854.0,1.135,-61459.0,811,94384.0,1.123,541,101470.0,1.149,True,3.1867423810995947
14,1.65,1351,38.0,220439.0,1.148,-56531.0,810,128215.0,1.165,541,92224.0,1.13,True,3.899435707841715
14,1.75,1351,39.4,199615.0,1.131,-60501.0,810,107768.0,1.135,541,91847.0,1.126,True,3.2993669526123535
14,1.85,1351,40.5,180956.0,1.116,-77889.0,810,117011.0,1.144,541,63944.0,1.085,True,2.3232548883667783
14,1.95,1349,42.2,233302.0,1.15,-66589.0,809,111558.0,1.135,540,121744.0,1.167,True,3.5036117076393998
14,2.05,1348,43.5,247344.0,1.158,-66322.0,808,114813.0,1.137,540,132531.0,1.181,True,3.7294412110611863
14,2.15,1348,44.6,254214.0,1.16,-50387.0,808,109773.0,1.129,540,144441.0,1.197,True,5.045229920415981
14,2.25,1348,45.5,245370.0,1.153,-65702.0,808,87420.0,1.101,540,157950.0,1.214,True,3.734589510212779
14,2.35,1348,46.2,232415.0,1.143,-65820.0,808,68413.0,1.077,540,164002.0,1.223,True,3.531069583713157
14,2.45,1347,47.2,228321.0,1.141,-76394.0,808,68132.0,1.077,539,160189.0,1.219,True,2.9887294813728826
14,2.55,1347,47.7,225059.0,1.137,-79178.0,808,54399.0,1.06,539,170660.0,1.231,True,2.8424436080729496
14,2.65,1347,48.3,213667.0,1.129,-83235.0,808,58566.0,1.065,539,155101.0,1.205,True,2.567033099056887
