date,entry_time,exit_time,direction,entry_price,exit_price,entry_atr,yellow_final,qty,bars_held,pnl_pts,pnl_$,reason
2020-12-01,2020-12-01 10:00:00-05:00,2020-12-01 14:30:00-05:00,LONG,12390.75,12486.25,19.748473893647724,12420.788041202017,1,9,95.5,1910.0,FC
2020-12-02,2020-12-02 10:00:00-05:00,2020-12-02 12:00:00-05:00,SHORT,12375.5,12457.5,25.674830452777663,12439.687076131944,1,4,-82.0,-1640.0,SL
2020-12-03,2020-12-03 10:00:00-05:00,2020-12-03 14:30:00-05:00,LONG,12495.25,12477.25,18.769355582518667,12465.088995969154,2,9,-18.0,-720.0,FC
2020-12-04,2020-12-04 10:00:00-05:00,2020-12-04 14:30:00-05:00,LONG,12506.75,12495.75,16.694986399750526,12476.24988793825,1,9,-11.0,-220.0,FC
2020-12-07,2020-12-07 10:00:00-05:00,2020-12-07 14:30:00-05:00,LONG,12584.75,12576.5,19.037127138346573,12551.411699778655,2,9,-8.25,-330.0,FC
2020-12-08,2020-12-08 10:00:00-05:00,2020-12-08 12:00:00-05:00,SHORT,12551.75,12584.75,19.89541070427783,12578.10541770636,1,4,-33.0,-660.0,SL
2020-12-09,2020-12-09 10:00:00-05:00,2020-12-09 12:00:00-05:00,LONG,12636.0,12590.5,14.869042133455409,12598.827394666361,2,4,-45.5,-1820.0,SL
2020-12-10,2020-12-10 10:00:00-05:00,2020-12-10 14:30:00-05:00,SHORT,12373.5,12371.25,37.91040858422168,12468.276021460555,1,9,2.25,45.0,FC
2020-12-11,2020-12-11 10:00:00-05:00,2020-12-11 14:30:00-05:00,SHORT,12314.5,12335.75,26.58980935117058,12339.416546506962,1,9,-21.25,-425.0,FC
2020-12-14,2020-12-14 10:00:00-05:00,2020-12-14 14:30:00-05:00,LONG,12519.5,12520.25,23.692639316822067,12475.177801585949,2,9,0.75,30.0,FC
2020-12-15,2020-12-15 10:00:00-05:00,2020-12-15 11:30:00-05:00,LONG,12566.0,12494.0,18.709799673107014,12519.225500817232,1,3,-72.0,-1440.0,SL
2020-12-16,2020-12-16 10:00:00-05:00,2020-12-16 14:30:00-05:00,LONG,12601.25,12630.25,17.391372763882668,12601.489197371586,2,9,29.0,1160.0,FC
2020-12-17,2020-12-17 10:00:00-05:00,2020-12-17 11:00:00-05:00,LONG,12740.0,12704.0,14.197933677748392,12704.505165805629,1,2,-36.0,-720.0,SL
2020-12-18,2020-12-18 10:00:00-05:00,2020-12-18 14:30:00-05:00,SHORT,12725.0,12674.0,18.893754585928704,12736.9627961568,2,9,51.0,2040.0,FC
2020-12-21,2020-12-21 10:00:00-05:00,2020-12-21 12:30:00-05:00,SHORT,12582.5,12624.0,41.8998849741544,12613.72870613051,1,5,-41.5,-830.0,SL
2020-12-22,2020-12-22 10:00:00-05:00,2020-12-22 11:30:00-05:00,LONG,12749.25,12682.5,25.86779871012971,12684.580503224675,2,3,-66.75,-2670.0,SL
2020-12-23,2020-12-23 10:00:00-05:00,2020-12-23 14:30:00-05:00,SHORT,12689.5,12710.75,19.745218472485547,12730.147453520454,1,9,-21.25,-425.0,FC
2020-12-28,2020-12-28 10:00:00-05:00,2020-12-28 14:30:00-05:00,LONG,12798.25,12847.25,15.112842375040739,12801.516646213466,2,9,49.0,1960.0,FC
2020-12-29,2020-12-29 10:00:00-05:00,2020-12-29 14:30:00-05:00,LONG,12859.75,12831.75,13.610607153975605,12835.055578966558,1,9,-28.0,-560.0,FC
2020-12-30,2020-12-30 10:00:00-05:00,2020-12-30 14:30:00-05:00,SHORT,12865.25,12855.75,16.203428613450455,12902.820459281224,2,9,9.5,380.0,FC
2020-12-31,2020-12-31 10:00:00-05:00,2020-12-31 14:30:00-05:00,SHORT,12833.0,12830.75,12.490285448841652,12842.758817465663,1,9,2.25,45.0,FC
2021-01-04,2021-01-04 10:00:00-05:00,2021-01-04 14:30:00-05:00,SHORT,12879.75,12646.5,20.792025119168656,12710.428395174684,1,9,233.25,4665.0,FC
2021-01-05,2021-01-05 10:00:00-05:00,2021-01-05 14:30:00-05:00,LONG,12749.75,12784.25,39.01179835984416,12691.144544918012,1,9,34.5,690.0,FC
2021-01-06,2021-01-06 10:00:00-05:00,2021-01-06 14:30:00-05:00,SHORT,12634.5,12687.5,58.278392377734306,12780.195980944336,1,9,-53.0,-1060.0,FC
2021-01-07,2021-01-07 10:00:00-05:00,2021-01-07 14:30:00-05:00,LONG,12838.0,12908.5,37.01985472245057,12825.077467926994,2,9,70.5,2820.0,FC
2021-01-08,2021-01-08 10:00:00-05:00,2021-01-08 14:30:00-05:00,LONG,13018.5,13023.75,24.580096893653337,12957.049757765866,1,9,5.25,105.0,FC
2021-01-11,2021-01-11 10:00:00-05:00,2021-01-11 14:30:00-05:00,SHORT,12958.75,12917.0,30.967471978742182,13003.345300215842,1,9,41.75,835.0,FC
2021-01-12,2021-01-12 10:00:00-05:00,2021-01-12 14:30:00-05:00,SHORT,12890.5,12878.75,30.097126423908954,12915.347824340828,1,9,11.75,235.0,FC
2021-01-13,2021-01-13 10:00:00-05:00,2021-01-13 14:30:00-05:00,LONG,12914.25,12995.5,28.53989439303182,12919.36288540691,1,9,81.25,1625.0,FC
2021-01-14,2021-01-14 10:00:00-05:00,2021-01-14 13:30:00-05:00,LONG,12993.0,12951.5,23.12688300876589,12952.827254738757,1,7,-41.5,-830.0,SL
2021-01-15,2021-01-15 10:00:00-05:00,2021-01-15 14:30:00-05:00,SHORT,12901.0,12847.0,26.033907338362923,12880.516213464056,2,9,54.0,2160.0,FC
2021-01-19,2021-01-19 10:00:00-05:00,2021-01-19 14:30:00-05:00,LONG,12884.25,12981.25,19.59982446389068,12920.984282538526,1,9,97.0,1940.0,FC
2021-01-20,2021-01-20 10:00:00-05:00,2021-01-20 14:30:00-05:00,LONG,13164.25,13298.5,21.98970404732711,13232.513324916075,1,9,134.25,2685.0,FC
2021-01-21,2021-01-21 10:00:00-05:00,2021-01-21 14:30:00-05:00,LONG,13317.25,13391.75,23.543384402819157,13318.810208344657,1,9,74.5,1490.0,FC
2021-01-22,2021-01-22 10:00:00-05:00,2021-01-22 14:30:00-05:00,LONG,13383.25,13368.0,23.72753830986462,13323.931154225338,1,9,-15.25,-305.0,FC
2021-01-25,2021-01-25 10:00:00-05:00,2021-01-25 11:00:00-05:00,LONG,13539.5,13348.25,20.859347875013555,13487.351630312467,2,2,-191.25,-7650.0,SL
2021-01-26,2021-01-26 10:00:00-05:00,2021-01-26 14:30:00-05:00,LONG,13478.0,13498.25,28.601531048651044,13428.84937822421,1,9,20.25,405.0,FC
2021-01-27,2021-01-27 10:00:00-05:00,2021-01-27 14:30:00-05:00,SHORT,13280.5,13209.5,48.995923886509956,13363.541849888237,1,9,71.0,1420.0,FC
