ema_n,ymult,n_all,wr_all,all_net,all_PF,all_mdd,all_avg,is_n,is_net,is_PF,is_wr,oos_n,oos_net,oos_PF,oos_wr,oos_mdd,net_mdd_ratio,beat_both
50,1.0,1359,42.0,208675.0,1.16,-71075.0,153.6,815,160400.0,1.242,41.5,544,48275.0,1.075,42.8,-65130.0,2.93598311642631,True
50,1.25,1352,42.6,210545.0,1.149,-60610.0,155.7,811,124185.0,1.168,41.3,541,86360.0,1.129,44.5,-60565.0,3.4737667051641643,True
50,1.5,1350,43.5,232640.0,1.156,-74460.0,172.3,810,70025.0,1.088,42.1,540,162615.0,1.234,45.6,-43920.0,3.124362073596562,True
50,1.75,1350,45.4,219875.0,1.142,-72140.0,162.9,810,55845.0,1.067,44.2,540,164030.0,1.231,47.2,-50140.0,3.0478929858608264,True
50,2.0,1348,46.5,243365.0,1.153,-91540.0,180.5,808,45345.0,1.052,44.6,540,198020.0,1.276,49.4,-58620.0,2.6585645619401355,True
50,2.5,1345,49.3,286645.0,1.175,-70400.0,213.1,807,100575.0,1.114,48.2,538,186070.0,1.247,50.9,-70400.0,4.0716619318181815,True
50,3.0,1345,50.5,249380.0,1.146,-81470.0,185.4,807,77125.0,1.085,49.3,538,172255.0,1.217,52.2,-81470.0,3.0610040505707623,True
60,1.0,1359,41.8,216505.0,1.164,-92060.0,159.3,815,166190.0,1.25,40.7,544,50315.0,1.077,43.4,-64235.0,2.351781446882468,True
60,1.25,1352,42.5,210880.0,1.148,-85805.0,156.0,811,123615.0,1.165,40.7,541,87265.0,1.129,45.3,-58180.0,2.457665637200629,True
60,1.5,1350,43.8,227880.0,1.153,-80440.0,168.8,810,88740.0,1.112,41.9,540,139140.0,1.199,46.7,-38620.0,2.8329189457981103,True
60,1.75,1350,45.7,214520.0,1.139,-77120.0,158.9,810,68725.0,1.082,44.0,540,145795.0,1.206,48.3,-36565.0,2.7816390041493775,True
60,2.0,1348,47.0,248400.0,1.157,-93540.0,184.3,808,67495.0,1.078,44.4,540,180905.0,1.255,50.7,-41235.0,2.6555484284797948,True
60,2.5,1345,50.0,282975.0,1.175,-73010.0,210.4,807,106650.0,1.122,48.3,538,176325.0,1.238,52.4,-45755.0,3.8758389261744965,True
60,3.0,1345,51.3,251620.0,1.149,-85705.0,187.1,807,80155.0,1.089,49.6,538,171465.0,1.22,53.9,-51800.0,2.9358847208447583,True
70,1.0,1359,41.9,184170.0,1.139,-103945.0,135.5,815,130105.0,1.193,41.0,544,54065.0,1.084,43.4,-60105.0,1.771802395497619,True
70,1.25,1352,42.5,192635.0,1.135,-99660.0,142.5,811,100615.0,1.133,40.7,541,92020.0,1.137,45.3,-52915.0,1.9329219345775637,True
70,1.5,1350,43.9,207485.0,1.139,-101925.0,153.7,810,69925.0,1.087,42.2,540,137560.0,1.199,46.3,-37335.0,2.035663478047584,True
70,1.75,1350,45.8,198600.0,1.128,-102600.0,147.1,810,56220.0,1.067,44.2,540,142380.0,1.202,48.1,-38455.0,1.935672514619883,True
70,2.0,1348,47.0,219345.0,1.138,-119470.0,162.7,808,61915.0,1.071,44.8,540,157430.0,1.22,50.2,-43445.0,1.8359839290198376,True
70,2.5,1345,49.9,236145.0,1.144,-109350.0,175.6,807,95105.0,1.108,48.6,538,141040.0,1.186,51.9,-51790.0,2.1595336076817557,True
70,3.0,1345,51.2,203330.0,1.119,-117680.0,151.2,807,67925.0,1.075,49.9,538,135405.0,1.17,53.2,-54375.0,1.727821210061183,True
80,1.0,1360,41.8,162155.0,1.121,-95035.0,119.2,816,112235.0,1.164,40.9,544,49920.0,1.077,43.2,-59705.0,1.706266112484874,True
80,1.25,1352,42.2,153855.0,1.106,-99765.0,113.8,811,70705.0,1.092,40.3,541,83150.0,1.122,44.9,-51085.0,1.5421741091565178,True
80,1.5,1350,43.3,177005.0,1.117,-105600.0,131.1,810,40370.0,1.049,41.6,540,136635.0,1.195,45.9,-41520.0,1.6761837121212122,True
80,1.75,1350,45.4,184815.0,1.118,-94865.0,136.9,810,36550.0,1.043,43.8,540,148265.0,1.21,47.8,-44635.0,1.9481895324935434,True
80,2.0,1348,46.6,211435.0,1.132,-110165.0,156.9,808,44715.0,1.051,44.4,540,166720.0,1.233,49.8,-45280.0,1.9192574774202333,True
80,2.5,1345,49.6,223695.0,1.135,-105000.0,166.3,807,79590.0,1.089,48.3,538,144105.0,1.19,51.5,-55490.0,2.1304285714285713,True
80,3.0,1345,50.9,188860.0,1.11,-113450.0,140.4,807,51040.0,1.055,49.7,538,137820.0,1.173,52.8,-54965.0,1.6646981048920229,True
90,1.0,1360,41.5,83065.0,1.061,-133405.0,61.1,816,82055.0,1.118,40.3,544,1010.0,1.002,43.2,-87560.0,0.6226528241070425,True
90,1.25,1352,41.7,75830.0,1.052,-135440.0,56.1,811,38825.0,1.05,39.7,541,37005.0,1.054,44.7,-74325.0,0.5598789131718842,True
