date,direction,entry_time,entry_price,close_1700,pnl,qqq_regime_open,ndx_regime_open,upper_band,lower_band
2021-04-30,short,09:30,13870.25,13865.25,5.0,neg,neg,13988.405997549908,13902.094002450094
2021-05-04,short,09:30,13644.0,13521.75,122.25,neg,neg,13835.91362768099,13734.086372319012
2021-05-05,long,09:30,13646.75,13483.5,-163.25,neg,neg,13580.14787517593,13463.35212482407
2021-05-07,long,09:30,13679.25,13715.5,36.25,neg,neg,13666.710502576232,13544.789497423768
2021-05-10,short,09:30,13585.25,13311.5,273.75,neg,neg,13777.30063692786,13653.69936307214
2021-05-11,short,09:30,13123.5,13312.25,-188.75,neg,neg,13377.62894927253,13245.371050727472
2021-05-12,short,09:30,13173.0,12965.25,207.75,neg,neg,13401.158187055684,13229.841812944316
2021-05-13,long,09:30,13134.25,13091.25,-43.0,neg,neg,13056.849157383398,12873.650842616602
2021-05-14,long,09:30,13252.5,13398.0,145.5,neg,neg,13198.737197012095,12983.762802987907
2021-05-17,short,09:30,13275.5,13312.0,-36.5,neg,neg,13514.966411222316,13281.033588777684
2021-05-19,short,09:30,13030.5,13218.75,-188.25,neg,neg,13307.122877566948,13070.377122433052
2021-06-03,short,09:30,13558.75,13530.25,28.5,neg,neg,13774.610439700153,13579.389560299847
2021-06-04,long,09:30,13642.75,13763.25,120.5,neg,neg,13622.21383694395,13438.28616305605
2021-06-18,short,09:30,14119.5,14017.75,101.75,pos,neg,14234.368168770297,14119.631831229703
2021-06-24,long,09:30,14351.5,14359.0,7.5,pos,pos,14337.159216083408,14211.340783916592
2021-06-28,long,09:30,14435.5,14502.75,67.25,neg,pos,14383.54950766696,14278.450492333042
2021-07-02,long,09:30,14635.5,14701.0,65.5,neg,neg,14593.524068730636,14486.475931269366
2021-07-06,long,09:30,14766.25,14763.75,-2.5,neg,pos,14760.053358602268,14641.946641397733
2021-07-07,long,09:30,14845.5,14810.25,-35.25,neg,pos,14824.946406655179,14702.553593344821
2021-07-08,short,09:30,14615.5,14713.0,-97.5,neg,neg,14876.898372165946,14743.601627834052
2021-07-14,long,09:30,14987.0,14896.75,-90.25,neg,pos,14944.930929524586,14785.069070475414
2021-07-19,short,09:30,14494.5,14592.25,-97.75,neg,neg,14750.084179409221,14586.91582059078
2021-07-28,long,09:30,14982.75,14984.75,2.0,neg,pos,14962.406987165436,14807.093012834564
2021-08-17,short,09:30,14993.5,14969.25,24.25,neg,neg,15181.742928618445,15088.257071381557
