direction,signal_time,session_date,exit_time,exit_reason,entry,exit,entry_raw,sl_raw,tp_raw,atr,body_ratio,bar_total_delta,bot_wick_delta,top_wick_delta,zone_low,zone_high,pts,pnl_gross,pnl_net,dev_poc,dev_vah,dev_val,noise_upper_14,noise_lower_14,noise_upper_90,noise_lower_90,prev_week_iso_poc,prev_week_iso_vah,prev_week_iso_val,entry_hour,dev_loc,noise_loc,week_loc,bot_wick_sign,top_wick_sign
short,2020-12-01 10:35:00-05:00,2020-12-01,2020-12-01 11:05:00-05:00,sl,12353.625,12416.69642857143,12353.75,12416.57142857143,12263.107142857141,27.821428571428573,0.8601398601398601,-1057,-35,65,12368.75,12388.0,-63.07142857142935,-1261.428571428587,-1265.928571428587,12372.5,12402.5,12355.0,,,,,,,,10:00,below_val,no_bands,unknown,neg,pos
short,2020-12-01 15:00:00-05:00,2020-12-01,2020-12-01 16:55:00-05:00,eod,12453.625,12458.625,12453.75,12482.285714285714,12412.178571428572,13.035714285714286,0.859375,-592,-20,19,12460.0,12465.25,-5.0,-100.0,-104.5,12372.5,12450.0,12350.0,,,,,,,,15:00,above_vah,no_bands,unknown,neg,pos
short,2020-12-01 15:15:00-05:00,2020-12-01,2020-12-01 15:50:00-05:00,sl,12421.375,12464.80357142857,12421.5,12464.67857142857,12361.642857142859,16.678571428571427,0.8378378378378378,-375,-49,122,12422.0,12430.0,-43.42857142857065,-868.571428571413,-873.071428571413,12372.5,12450.0,12350.0,,,,,,,,15:00,in_va,no_bands,unknown,neg,pos
short,2020-12-09 13:55:00-05:00,2020-12-09,2020-12-09 16:55:00-05:00,eod,12339.125,12351.875,12339.25,12422.857142857143,12223.035714285714,32.607142857142854,0.861904761904762,-573,-82,38,12363.5,12376.0,-12.75,-255.0,-259.5,12597.5,12667.5,12507.5,,,,,,,,13:00,below_val,no_bands,unknown,neg,pos
short,2020-12-02 10:50:00-05:00,2020-12-02,2020-12-02 11:10:00-05:00,sl,12403.875,12439.357142857143,12404.0,12439.232142857143,12347.035714285714,21.732142857142858,0.8833333333333333,-250,-20,2,12407.5,12417.0,-35.48214285714312,-709.6428571428623,-714.1428571428623,12400.0,12450.0,12367.5,,,,,,,,10:00,in_va,no_bands,unknown,neg,pos
short,2020-12-03 11:05:00-05:00,2020-12-03,2020-12-03 11:55:00-05:00,sl,12463.375,12507.75,12463.5,12507.625,12401.75,17.625,0.7589285714285714,-750,-71,-62,12475.0,12491.5,-44.375,-887.5,-892.0,12487.5,12505.0,12467.5,,,,,,,,11:00,below_val,no_bands,unknown,neg,neg
short,2020-12-03 10:55:00-05:00,2020-12-03,2020-12-03 16:55:00-05:00,eod,12480.125,12488.375,12480.25,12525.392857142857,12417.214285714286,17.892857142857142,0.8362068965517241,-965,-136,-5,12490.25,12498.75,-8.25,-165.0,-169.5,12487.5,12505.0,12465.0,,,,,,,,10:00,in_va,no_bands,unknown,neg,neg
short,2020-12-03 15:50:00-05:00,2020-12-03,2020-12-03 16:55:00-05:00,eod,12451.375,12488.375,12451.5,12512.517857142857,12372.964285714286,17.517857142857142,0.7941176470588235,-557,-29,53,12455.25,12475.25,-37.0,-740.0,-744.5,12487.5,12505.0,12470.0,,,,,,,,15:00,below_val,no_bands,unknown,neg,pos
short,2020-12-09 13:25:00-05:00,2020-12-09,2020-12-09 13:55:00-05:00,tp,12431.375,12339.767857142859,12431.5,12495.42857142857,12339.642857142859,27.928571428571427,0.7307692307692307,-796,-38,19,12448.5,12458.5,91.6071428571413,1832.142857142826,1827.642857142826,12597.5,12650.0,12570.0,,,,,,,,13:00,below_val,no_bands,unknown,neg,pos
short,2020-12-04 15:35:00-05:00,2020-12-04,2020-12-04 15:55:00-05:00,sl,12500.625,12519.785714285714,12500.75,12519.660714285714,12473.428571428572,8.410714285714286,0.9302325581395349,-381,-4,6,12502.5,12509.25,-19.160714285713766,-383.2142857142753,-387.7142857142753,12505.0,12522.5,12490.0,,,,,,,,15:00,in_va,no_bands,unknown,neg,pos
short,2020-12-07 12:00:00-05:00,2020-12-07,2020-12-07 16:55:00-05:00,eod,12580.875,12571.875,12581.0,12605.232142857143,12544.035714285714,12.732142857142858,0.7857142857142857,-235,-151,1,12588.75,12597.25,9.0,180.0,175.5,12590.0,12612.5,12550.0,,,,,,,,12:00,in_va,no_bands,unknown,neg,pos
short,2020-12-08 10:20:00-05:00,2020-12-08,2020-12-08 10:45:00-05:00,sl,12505.625,12547.142857142857,12505.75,12547.017857142857,12443.464285714286,21.017857142857142,0.8125,-811,-162,-11,12524.0,12529.75,-41.51785714285688,-830.3571428571377,-834.8571428571377,12562.5,12580.0,12545.0,,,,,,,,10:00,below_val,no_bands,unknown,neg,neg
