zone_id,zone_type,formed_at,run_start_time,run_bars,zone_low,zone_high,zone_height_pts,formation_wick_deltas,n_touches,n_respects,last_touch_time,invalidation_time,invalidation_reason
9989,support,2026-03-02 09:30:00-05:00,2026-03-02 09:25:00-05:00,2,24605.0,24644.25,39.25,"-118, -262",4,1,2026-03-03 03:25:00-05:00,2026-03-03 03:25:00-05:00,eth_break
9990,support,2026-03-02 09:40:00-05:00,2026-03-02 09:35:00-05:00,2,24795.5,24805.25,9.75,"-89, -121",15,9,2026-03-03 00:35:00-05:00,2026-03-03 00:35:00-05:00,eth_break
9991,resistance,2026-03-02 09:50:00-05:00,2026-03-02 09:45:00-05:00,2,24892.0,24898.5,6.5,"+82, +139",2,1,2026-03-02 10:05:00-05:00,2026-03-02 10:05:00-05:00,rth_break
9992,support,2026-03-02 10:00:00-05:00,2026-03-02 09:50:00-05:00,3,24802.0,24861.75,59.75,"-230, -125, -142",40,9,2026-03-02 23:50:00-05:00,2026-03-02 23:50:00-05:00,eth_break
9993,resistance,2026-03-02 10:15:00-05:00,2026-03-02 10:10:00-05:00,2,24930.75,24947.75,17.0,"+198, +353",6,3,2026-03-02 11:05:00-05:00,2026-03-02 11:05:00-05:00,rth_break
9994,support,2026-03-02 11:30:00-05:00,2026-03-02 11:25:00-05:00,2,24852.0,24867.25,15.25,"-293, -181",1,0,2026-03-02 21:00:00-05:00,2026-03-02 21:00:00-05:00,eth_break
9995,support,2026-03-02 12:10:00-05:00,2026-03-02 12:00:00-05:00,3,25007.5,25030.75,23.25,"-269, -88, -254",10,4,2026-03-02 13:45:00-05:00,2026-03-02 13:45:00-05:00,rth_break
9996,resistance,2026-03-02 14:50:00-05:00,2026-03-02 14:45:00-05:00,2,25094.5,25101.0,6.5,"+100, +100",1,0,2026-03-04 10:25:00-05:00,2026-03-04 10:25:00-05:00,rth_break
9997,support,2026-03-02 15:15:00-05:00,2026-03-02 15:10:00-05:00,2,24946.75,24967.5,20.75,"-316, -443",17,7,2026-03-02 19:15:00-05:00,2026-03-02 19:15:00-05:00,eth_break
9998,resistance,2026-03-02 15:20:00-05:00,2026-03-02 15:15:00-05:00,2,25001.0,25020.75,19.75,"+110, +111",5,0,2026-03-02 15:50:00-05:00,2026-03-02 15:50:00-05:00,rth_break
9999,support,2026-03-02 15:45:00-05:00,2026-03-02 15:35:00-05:00,3,24974.5,25007.75,33.25,"-230, -301, -340",15,1,2026-03-02 18:10:00-05:00,2026-03-02 18:10:00-05:00,eth_break
10000,resistance,2026-03-03 05:55:00-05:00,2026-03-03 05:45:00-05:00,3,24453.0,24483.0,30.0,"+267, +92, +82",6,1,2026-03-03 06:35:00-05:00,2026-03-03 06:35:00-05:00,eth_break
10001,support,2026-03-03 06:20:00-05:00,2026-03-03 06:15:00-05:00,2,24370.0,24407.0,37.0,"-107, -198",2,0,2026-03-03 10:25:00-05:00,2026-03-03 10:25:00-05:00,rth_break
10002,support,2026-03-03 07:35:00-05:00,2026-03-03 07:30:00-05:00,2,24549.75,24573.0,23.25,"-112, -138",4,2,2026-03-03 08:05:00-05:00,2026-03-03 08:05:00-05:00,eth_break
10003,support,2026-03-03 08:50:00-05:00,2026-03-03 08:45:00-05:00,2,24447.75,24476.0,28.25,"-114, -228",7,6,2026-03-03 10:15:00-05:00,2026-03-03 10:15:00-05:00,rth_break
10004,resistance,2026-03-03 09:50:00-05:00,2026-03-03 09:40:00-05:00,3,24532.25,24614.25,82.0,"+124, +550, +276",8,4,2026-03-03 11:20:00-05:00,2026-03-03 11:20:00-05:00,rth_break
10005,resistance,2026-03-03 10:15:00-05:00,2026-03-03 10:00:00-05:00,4,24489.25,24562.5,73.25,"+162, +243, +464, +123",2,0,2026-03-03 11:05:00-05:00,2026-03-03 11:05:00-05:00,rth_break
10006,support,2026-03-03 10:45:00-05:00,2026-03-03 10:35:00-05:00,3,24392.75,24415.25,22.5,"-86, -176, -208",1,0,2026-03-03 10:50:00-05:00,2026-03-03 10:50:00-05:00,rth_break
10007,support,2026-03-03 11:40:00-05:00,2026-03-03 11:30:00-05:00,3,24563.25,24623.5,60.25,"-612, -159, -147",15,4,2026-03-03 22:30:00-05:00,2026-03-03 22:30:00-05:00,eth_break
10008,support,2026-03-03 12:15:00-05:00,2026-03-03 12:05:00-05:00,3,24620.5,24655.75,35.25,"-91, -320, -96",2,1,2026-03-03 12:30:00-05:00,2026-03-03 12:30:00-05:00,rth_break
10009,support,2026-03-03 13:10:00-05:00,2026-03-03 13:05:00-05:00,2,24651.5,24685.25,33.75,"-94, -172",8,5,2026-03-03 20:30:00-05:00,2026-03-03 20:30:00-05:00,eth_break
10010,resistance,2026-03-03 15:00:00-05:00,2026-03-03 14:55:00-05:00,2,24792.25,24821.75,29.5,"+113, +82",7,5,2026-03-04 05:05:00-05:00,2026-03-04 05:05:00-05:00,eth_break
10011,support,2026-03-04 10:05:00-05:00,2026-03-04 09:50:00-05:00,4,24865.5,24930.5,65.0,"-94, -317, -287, -105",5,1,2026-03-05 12:40:00-05:00,2026-03-05 12:40:00-05:00,rth_break
10012,support,2026-03-04 10:50:00-05:00,2026-03-04 10:45:00-05:00,2,25036.75,25060.5,23.75,"-254, -235",24,13,2026-03-05 00:55:00-05:00,2026-03-05 00:55:00-05:00,eth_break
10013,support,2026-03-04 11:20:00-05:00,2026-03-04 11:15:00-05:00,2,25051.0,25066.0,15.0,"-216, -239",11,7,2026-03-04 22:25:00-05:00,2026-03-04 22:25:00-05:00,eth_break
10014,support,2026-03-04 11:35:00-05:00,2026-03-04 11:30:00-05:00,2,25097.25,25114.25,17.0,"-167, -174",6,5,2026-03-04 20:40:00-05:00,2026-03-04 20:40:00-05:00,eth_break
10015,support,2026-03-04 12:35:00-05:00,2026-03-04 12:30:00-05:00,2,25105.0,25140.0,35.0,"-283, -125",25,13,2026-03-04 20:40:00-05:00,2026-03-04 20:40:00-05:00,eth_break
10016,resistance,2026-03-05 08:50:00-05:00,2026-03-05 08:45:00-05:00,2,25031.75,25048.0,16.25,"+93, +92",1,0,2026-03-05 09:30:00-05:00,2026-03-05 09:30:00-05:00,rth_break
10017,support,2026-03-05 09:45:00-05:00,2026-03-05 09:40:00-05:00,2,25036.0,25059.25,23.25,"-213, -435",1,0,2026-03-05 10:20:00-05:00,2026-03-05 10:20:00-05:00,rth_break
10018,resistance,2026-03-05 10:50:00-05:00,2026-03-05 10:40:00-05:00,3,25041.5,25098.0,56.5,"+95, +826, +210",6,3,2026-03-05 12:00:00-05:00,2026-03-05 12:00:00-05:00,rth_break
10019,resistance,2026-03-05 12:25:00-05:00,2026-03-05 12:20:00-05:00,2,24974.75,24994.25,19.5,"+366, +144",6,2,2026-03-05 15:50:00-05:00,2026-03-05 15:50:00-05:00,rth_break
10020,resistance,2026-03-05 12:40:00-05:00,2026-03-05 12:35:00-05:00,2,24886.5,24922.75,36.25,"+280, +103",6,2,2026-03-05 15:15:00-05:00,2026-03-05 15:15:00-05:00,rth_break
10021,support,2026-03-05 13:30:00-05:00,2026-03-05 13:25:00-05:00,2,24772.5,24793.75,21.25,"-213, -116",5,3,2026-03-06 08:35:00-05:00,2026-03-06 08:35:00-05:00,eth_break
10022,support,2026-03-05 14:35:00-05:00,2026-03-05 14:30:00-05:00,2,24792.5,24809.5,17.0,"-142, -108",3,2,2026-03-06 08:35:00-05:00,2026-03-06 08:35:00-05:00,eth_break
10023,support,2026-03-05 15:45:00-05:00,2026-03-05 15:40:00-05:00,2,24944.0,24967.75,23.75,"-116, -168",2,0,2026-03-06 04:30:00-05:00,2026-03-06 04:30:00-05:00,eth_break
10024,resistance,2026-03-06 08:30:00-05:00,2026-03-06 08:25:00-05:00,2,24863.75,24908.75,45.0,"+93, +115",20,11,2026-03-09 15:25:00-04:00,2026-03-09 15:25:00-04:00,rth_break
10025,support,2026-03-06 09:45:00-05:00,2026-03-06 09:30:00-05:00,4,24608.75,24685.0,76.25,"-338, -211, -147, -423",23,4,2026-03-06 16:55:00-05:00,2026-03-08 18:00:00-04:00,eth_break
10026,support,2026-03-06 10:20:00-05:00,2026-03-06 10:15:00-05:00,2,24759.5,24783.0,23.5,"-492, -153",9,6,2026-03-06 15:10:00-05:00,2026-03-06 15:10:00-05:00,rth_break
10027,support,2026-03-06 14:50:00-05:00,2026-03-06 14:45:00-05:00,2,24773.5,24792.5,19.0,"-148, -129",1,0,2026-03-06 15:10:00-05:00,2026-03-06 15:10:00-05:00,rth_break
10028,support,2026-03-06 15:35:00-05:00,2026-03-06 15:30:00-05:00,2,24601.0,24638.25,37.25,"-94, -352",7,5,2026-03-06 16:30:00-05:00,2026-03-08 18:00:00-04:00,eth_break
10029,resistance,2026-03-06 15:55:00-05:00,2026-03-06 15:50:00-05:00,2,24679.25,24704.75,25.5,"+134, +92",6,3,2026-03-09 12:35:00-04:00,2026-03-09 12:35:00-04:00,rth_break
10030,resistance,2026-03-09 05:35:00-04:00,2026-03-09 05:30:00-04:00,2,24474.0,24495.75,21.75,"+128, +83",7,4,2026-03-09 10:40:00-04:00,2026-03-09 10:40:00-04:00,rth_break
10031,resistance,2026-03-09 09:15:00-04:00,2026-03-09 09:10:00-04:00,2,24434.5,24445.75,11.25,"+305, +103",2,1,2026-03-09 09:30:00-04:00,2026-03-09 09:30:00-04:00,rth_break
10032,resistance,2026-03-09 09:35:00-04:00,2026-03-09 09:30:00-04:00,2,24476.75,24525.25,48.5,"+566, +168",3,1,2026-03-09 10:40:00-04:00,2026-03-09 10:40:00-04:00,rth_break
10033,support,2026-03-09 10:10:00-04:00,2026-03-09 10:00:00-04:00,3,24320.0,24385.5,65.5,"-193, -131, -122",35,10,2026-03-15 18:10:00-04:00,2026-03-15 18:10:00-04:00,eth_break
10034,support,2026-03-09 11:40:00-04:00,2026-03-09 11:35:00-04:00,2,24590.25,24604.25,14.0,"-235, -195",4,2,2026-03-09 13:40:00-04:00,2026-03-09 13:40:00-04:00,rth_break
10035,support,2026-03-09 12:00:00-04:00,2026-03-09 11:55:00-04:00,2,24631.25,24643.0,11.75,"-98, -161",3,2,2026-03-09 13:20:00-04:00,2026-03-09 13:20:00-04:00,rth_break
10036,support,2026-03-09 14:25:00-04:00,2026-03-09 14:15:00-04:00,3,24630.0,24659.75,29.75,"-80, -283, -103",8,4,2026-03-12 10:25:00-04:00,2026-03-12 10:25:00-04:00,rth_break
10037,resistance,2026-03-09 14:50:00-04:00,2026-03-09 14:40:00-04:00,3,24688.25,24708.25,20.0,"+110, +148, +85",2,1,2026-03-09 15:15:00-04:00,2026-03-09 15:15:00-04:00,rth_break
10038,resistance,2026-03-09 16:00:00-04:00,2026-03-09 15:55:00-04:00,2,24992.25,25025.75,33.5,"+1419, +485",6,3,2026-03-10 03:20:00-04:00,2026-03-10 03:20:00-04:00,eth_break
