sl_mult,tp_mult,RR,trades,win%,PF,gross_$,avg_$,MaxDD_$,TP_hits,SL_hits,Force_hits
0.5,0.5,1.0,1361,50.69801616458487,0.981283592140688,-4514.032062174847,-3.316702470370938,-14357.38662819167,689,671,1
0.5,0.75,1.5,1361,39.82365907421014,0.9727306415655048,-7904.457918059343,-5.807830946406571,-23673.239025481853,541,819,1
0.5,1.0,2.0,1361,33.210874357090375,0.9803051672803687,-6315.40562369657,-4.640268643421432,-28456.43995921968,451,909,1
0.5,1.25,2.5,1361,28.581925055106538,1.0307754060627945,10409.761371459172,7.648612322894322,-26900.63945689508,386,971,4
0.5,1.5,3.0,1361,25.055106539309328,1.0660682486887607,23364.32147506788,17.16702533068911,-29456.034766011,336,1019,6
0.5,2.0,4.0,1361,20.79353416605437,1.041957233710653,16152.944366401971,11.868438182514307,-53051.97013630659,255,1077,29
0.5,2.5,5.0,1361,18.442321822189566,1.0017508431637294,703.0453330319506,0.5165652704128953,-53498.353952403595,189,1109,63
0.5,3.0,6.0,1361,17.92799412196914,1.0376202858561405,15185.842562522994,11.157856401559878,-54052.03730656849,145,1116,100
0.75,0.5,0.67,1360,61.617647058823536,1.055939902633779,15420.286911083494,11.338446258149629,-13312.58252206957,837,522,1
0.75,0.75,1.0,1360,50.44117647058823,1.0231900466092514,8164.080012287923,6.003000009035238,-20970.306184836627,685,674,1
0.75,1.0,1.33,1360,43.30882352941177,1.0291124647539427,11695.538863372094,8.599660928950069,-23735.113722698916,585,770,5
0.75,1.25,1.67,1360,38.23529411764706,1.0748357288496482,32293.32267811722,23.745090204497956,-25173.99182567151,513,835,12
0.75,1.5,2.0,1360,34.19117647058824,1.1053182765122285,48140.156424801025,35.39717384176546,-24643.211671200443,451,889,20
0.75,2.0,2.67,1360,28.749999999999996,1.0487766854246277,24793.482776139317,18.23050204127891,-45709.79962290676,341,961,58
0.75,2.5,3.33,1360,26.397058823529413,1.0477632857759827,25297.256196726703,18.60092367406375,-46834.951581998976,262,993,105
0.75,3.0,4.0,1360,25.66176470588235,1.0776676294651912,41521.24017663646,30.53032365929151,-45037.60853369382,199,1003,158
1.0,0.5,0.5,1360,67.94117647058823,1.0636019466198285,19499.319016933514,14.337734571274643,-16549.578238852628,923,436,1
1.0,0.75,0.75,1360,57.79411764705882,1.056370031231651,22361.304614265937,16.442135745783776,-16474.67870386241,785,572,3
1.0,1.0,1.0,1360,50.588235294117645,1.0451010111318624,21010.315577678848,15.448761454175624,-17811.972015959036,684,669,7
1.0,1.25,1.25,1360,45.44117647058823,1.0964621368584697,48556.33558118039,35.703187927338526,-15179.905146173587,607,731,22
1.0,1.5,1.5,1360,41.10294117647059,1.1204188908432962,64724.71176888819,47.59169983006485,-20180.679244041057,538,785,37
1.0,2.0,2.0,1360,36.17647058823529,1.101100671170919,60132.96084326568,44.21541238475418,-45098.68970980537,414,849,97
1.0,2.5,2.5,1359,33.554083885209714,1.0935068995249484,58214.16961926433,42.83603356825925,-48891.3883423436,311,881,167
1.0,3.0,3.0,1359,32.89183222958057,1.1159625265654456,72779.86337214708,53.55398334962994,-53504.91300957343,230,889,240
1.25,0.5,0.4,1360,73.08823529411764,1.0839519833084914,27043.845184294514,19.885180282569497,-16309.851736582932,992,364,4
1.25,0.75,0.6,1360,63.60294117647059,1.074436267963262,31727.876258141587,23.329320778045286,-13993.308638936433,863,490,7
1.25,1.0,0.8,1360,56.39705882352941,1.04894262567246,25023.860261650734,18.399897251213776,-21376.830499666612,759,583,18
