R,p_funded,p_pass_any,p_bust,p_timeout,expected_pnl,consistency_pass_lands_at_3k_exactly,pass_consistent,pass_violates_consistency,bust,timeout,P_exact_0,P_exact_1,P_exact_2,P_exact_3,P_exact_4,P_exact_5,P_exact_6,P_exact_7,P_exact_8,P_exact_9,P_exact_10,P_atleast_0,P_atleast_1,P_atleast_2,P_atleast_3,P_atleast_4,P_atleast_5,P_atleast_6,P_atleast_7,P_atleast_8,P_atleast_9,P_atleast_10,E_funded
100,0.0001,0.0001,0.015175,0.984725,2.91375,True,8,0,1214,78778,0.9990004498800211,0.0009991003599160127,4.4964012597480323e-07,1.1991602519580046e-10,2.098740314958004e-14,2.518740251974802e-18,2.0991601259916007e-22,1.1996400359988003e-26,4.4991000450000016e-31,9.999000000000005e-36,1.0000000000000005e-40,1.0000000000000002,0.0009995501199790027,4.4976006298992114e-07,1.1993701511790021e-10,2.0989922099760024e-14,2.518950179984251e-18,2.0992800944944006e-22,1.1996850279991603e-26,4.4992000360000015e-31,9.999100000000004e-36,1.0000000000000005e-40,0.001
150,0.0099125,0.0099125,0.1231375,0.86695,4.44375,True,793,0,9851,69356,0.9051817205896767,0.09062445294325167,0.004082888637721332,0.00010900486706858456,1.909824943179621e-06,2.2944808109507076e-08,1.9143123746258862e-10,1.0951771672982208e-12,4.111736464268415e-15,9.147920473260227e-18,9.158661400249169e-21,1.0000000000000002,0.0948182794103234,0.004193826467071741,0.00011093782935040922,1.932962281824651e-06,2.3137338645030508e-08,1.9253053552343024e-10,1.099298060841624e-12,4.120893543403076e-15,9.157079134660476e-18,9.158661400249169e-21,0.09912499999999999
200,0.0516125,0.0516125,0.351025,0.5973625,6.1375,True,4129,0,28082,47789,0.5886514420486373,0.3203518873112023,0.07845287714918472,0.011385357769511713,0.0010843108553076834,7.081155416270394e-05,3.2113818975388546e-06,9.986722466847245e-08,2.0380898366443835e-09,2.4647897778260054e-11,1.3413711421549176e-13,1.0000000000000004,0.4113485579513632,0.0909966706401609,0.012543793490976179,0.0011584357214644663,7.41248661567828e-05,3.313311994078864e-06,1.0193009654000932e-07,2.062871871536859e-09,2.4782034892475544e-11,1.3413711421549176e-13,0.516125
250,0.122575,0.122575,0.532,0.345425,9.459375,True,9806,0,42560,27634,0.2704581317048258,0.37782608762821923,0.23751790421931257,0.08848241801386936,0.021631514578553793,0.003626269458198111,0.000422153820211256,3.369958654171969e-05,1.7654187624375124e-06,5.480587572999985e-08,7.656301356360637e-10,1.0000000000000002,0.7295418682951743,0.35171578066695514,0.11419787644764254,0.025715458433773184,0.00408394385521939,0.00045767439702127885,3.552057681002284e-05,1.8209902683031483e-06,5.5571505865635916e-08,7.656301356360637e-10,1.2257500000000001
300,0.1888625,0.1888625,0.6156875,0.19545,7.99875,True,15109,0,49255,15636,0.1232948109259336,0.28707544933502804,0.3007875258204253,0.18675825523296216,0.07609727600207954,0.021261877482832803,0.004125452770647712,0.000548889376353897,4.792557666316031e-05,2.479739658482649e-06,5.77374158203978e-08,1.0000000000000004,0.8767051890740669,0.5896297397390389,0.2888422139186136,0.10208395868565141,0.025986682683571877,0.004724805200739072,0.0005993524300913604,5.046305373746336e-05,2.5374770743030467e-06,5.77374158203978e-08,1.8886249999999998
400,0.2248625,0.2248625,0.7539875,0.02115,6.78,True,17989,0,60319,1692,0.0783046367404006,0.2271568125531061,0.29653541395204425,0.2293948089460826,0.11645547776570912,0.04053959954577106,0.0098002351226513,0.0016245636568753856,0.0001767283765593885,1.1392841649695986e-05,3.304991508544953e-07,1.0000000000000004,0.9216953632595998,0.6945385507064936,0.3980031367544494,0.16860832780836682,0.05215285004265769,0.011613250496886624,0.0018130153742353244,0.000188451717359939,1.172334080055048e-05,3.304991508544953e-07,2.248625
500,0.2615625,0.2615625,0.7377375,0.0007,3.45625,True,20925,0,59019,56,0.048210033484532594,0.17076512072176797,0.2721907859494452,0.2571010724668478,0.15936893605409028,0.06774022825760823,0.019995264159831456,0.0040471642831216795,0.0005375809095915433,4.231487481338428e-05,1.4988383503513598e-06,1.0000000000000004,0.9517899665154679,0.7810248457936999,0.5088340598442548,0.2517329873774069,0.09236405132331664,0.024623823065708414,0.004628558905876958,0.0005813946227552789,4.3813713163735635e-05,1.4988383503513598e-06,2.6156249999999996
600,0.328625,0.328625,0.671025,0.00035,5.205,True,26290,0,53682,28,0.018605941615777832,0.09107246417404564,0.2006018967438181,0.2618419346065898,0.2242914318825671,0.1317435504194978,0.05373825390257242,0.015030759848909525,0.0027589741884274208,0.0003001031523769912,1.4689465417968902e-05,1.0000000000000007,0.9813940583842228,0.8903215942101771,0.689719697466359,0.42787776285976925,0.20358633097720213,0.07184278055770432,0.018104526655131906,0.003073766806222381,0.0003147926177949601,1.4689465417968902e-05,3.28625
750,0.3163,0.3163,0.6837,0.0,3.571875,True,25304,0,54696,0,0.022318027018069748,0.1032498456313509,0.21494905335583347,0.26517823831680615,0.21468887577052823,0.11918576815483646,0.045949074237451586,0.012147092234527205,0.0021073526073831484,0.0002166498073278695,1.0022865885301323e-05,1.0,0.9776819729819303,0.8744321273505794,0.6594830739947459,0.3943048356779398,0.17961595990741158,0.06043019175257511,0.014481117515123524,0.002334025280596319,0.00022667267321317084,1.0022865885301323e-05,3.1630000000000003
800,0.3163,0.3163,0.6837,0.0,3.81,True,25304,0,54696,0,0.022318027018069748,0.1032498456313509,0.21494905335583347,0.26517823831680615,0.21468887577052823,0.11918576815483646,0.045949074237451586,0.012147092234527205,0.0021073526073831484,0.0002166498073278695,1.0022865885301323e-05,1.0,0.9776819729819303,0.8744321273505794,0.6594830739947459,0.3943048356779398,0.17961595990741158,0.06043019175257511,0.014481117515123524,0.002334025280596319,0.00022667267321317084,1.0022865885301323e-05,3.1630000000000003
