R,N_per_day,p_funded,p_pass_any,p_bust,p_timeout,avg_days_to_pass,P>=3/10,P>=4/10,E[funded]
200,1,0.00515,0.00515,0.11415,0.8807,25.262135922330096,1.5953174468706695e-05,1.441102679960196e-07,0.051500000000000004
200,3,0.101175,0.101175,0.48765,0.411175,20.656535705460836,0.07222852211874149,0.013326949639071394,1.01175
200,5,0.1862,0.1862,0.6509,0.1629,17.94763694951665,0.28096490354978854,0.09784140596091428,1.862
200,8,0.2158,0.216975,0.740925,0.0421,15.234592215013901,0.3702702370492071,0.15032050722950532,2.158
200,10,0.214,0.215575,0.767825,0.0166,13.572780373831776,0.36476825103112515,0.14680644973730833,2.14
200,15,0.183575,0.1844,0.813975,0.001625,11.087566389758955,0.2732423346437631,0.09375412686729966,1.83575
200,20,0.16955,0.169875,0.830025,0.0001,9.358596284281923,0.2328610488420658,0.07354150494918256,1.6955
300,1,0.070975,0.070975,0.34665,0.582375,22.806622050017612,0.029387632084830397,0.0037611343797399797,0.70975
300,3,0.2349,0.2349,0.6855,0.0796,15.983290762026394,0.4286756098703515,0.18997270170912517,2.349
300,5,0.220375,0.223175,0.76565,0.011175,13.090300623936471,0.38426746367433096,0.15943008082209514,2.20375
300,8,0.211325,0.212175,0.78695,0.000875,9.588193540754762,0.35660002924799605,0.14165846745118046,2.1132500000000003
300,10,0.18855,0.188725,0.811225,5e-05,8.742906390877751,0.28791544407861747,0.10158097151803279,1.8855
300,15,0.130925,0.130925,0.869075,0.0,7.787282795493603,0.1328944695037789,0.032050532270178206,1.30925
300,20,0.12465,0.12465,0.87535,0.0,6.4821500200561575,0.1187301167086011,0.02720711673701184,1.2465
400,1,0.143725,0.143725,0.61,0.246275,20.14298138806749,0.16377773707123125,0.043531623356334904,1.43725
400,3,0.2381,0.2381,0.758075,0.003825,11.20380092398152,0.4384203284567497,0.19701589194008828,2.3810000000000002
400,5,0.182225,0.182325,0.817525,0.00015,8.868157497599121,0.2692887774927526,0.09168919899349452,1.82225
400,8,0.142325,0.14235,0.85765,0.0,7.327419638152117,0.1602780524266785,0.04216875614912361,1.4232500000000001
400,10,0.12385,0.12385,0.87615,0.0,6.678845377472749,0.1169736276092339,0.026625629129435724,1.2385
400,15,0.08565,0.08565,0.91435,0.0,5.8776999416228835,0.047693115843772164,0.007407441980123342,0.8565
400,20,0.073375,0.073375,0.926625,0.0,5.244293015332198,0.03205173711066747,0.004244766317345963,0.7337499999999999
500,1,0.237125,0.237125,0.69965,0.063225,15.881075382182393,0.435453617423443,0.194858417533136,2.37125
500,3,0.1817,0.181775,0.8182,2.5e-05,9.38442487616951,0.26775473369216213,0.09089299661158788,1.817
500,5,0.135975,0.135975,0.864025,0.0,7.510204081632653,0.14477271570230343,0.03631945612443338,1.35975
500,8,0.120825,0.120825,0.879175,0.0,5.77508793709911,0.11043588443648725,0.02449912594627057,1.20825
500,10,0.10035,0.10035,0.89965,0.0,5.362232187344295,0.07079476877302664,0.012952080804271463,1.0034999999999998
500,15,0.0579,0.0579,0.9421,0.0,5.149395509499136,0.01712076754630094,0.0017782734872088166,0.579
500,20,0.050725,0.050725,0.949275,0.0,4.655495317890587,0.01196462267570329,0.001085554017401206,0.50725
600,1,0.309575,0.309575,0.6463,0.044125,13.621174190422353,0.6423487618681912,0.3760957978864945,3.09575
600,3,0.187325,0.187425,0.81255,2.5e-05,9.199919925263579,0.2842880899548337,0.09962216342954837,1.8732499999999999
