entry_hour,hold_hours,n,wins,losses,win_rate_%,total_$,avg_$,median_$,best_$,worst_$,PF,max_DD_$,avg_pts,avg_bars_held
19,13,1358,507,754,37.33431516936672,151860.0,111.8262150220913,-110.0,15090.0,-10870.0,1.230979831472637,-55595.0,2.9850883652430045,15.486745213549337
20,12,1359,514,745,37.821927888153056,152000.0,111.84694628403237,-90.0,15490.0,-7880.0,1.2467392274789582,-27470.0,3.493009565857248,15.17954378219279
21,11,1362,499,769,36.63729809104259,128660.0,94.4640234948605,-100.0,16620.0,-8860.0,1.2149545982340508,-27155.0,3.3118575624082234,14.552129221732747
22,10,1364,478,768,35.043988269794724,91390.0,67.00146627565982,-125.0,12890.0,-12140.0,1.153155191339249,-37620.0,2.5756964809384164,13.441348973607038
23,9,1365,427,811,31.28205128205128,89825.0,65.8058608058608,-125.0,12990.0,-12370.0,1.1559136985350273,-31860.0,2.1717948717948716,11.575824175824176
0,8,1391,449,821,32.27893601725377,68030.0,48.90726096333573,-155.0,13430.0,-9350.0,1.1129728652562356,-57375.0,1.4579439252336448,10.192667145938174
1,7,1379,452,791,32.777374909354606,23450.0,17.00507614213198,-150.0,13630.0,-6110.0,1.040035853002689,-69170.0,0.6479332849891225,8.825235678027557
2,6,1379,462,760,33.50253807106599,155125.0,112.49093546047861,-100.0,21180.0,-10160.0,1.27464258841234,-33890.0,2.6463016678752718,7.95794053662074
3,5,1378,520,747,37.735849056603776,101805.0,73.87880986937591,-70.0,22940.0,-7040.0,1.163958319912388,-29810.0,1.46788824383164,8.281567489114659
4,4,1379,500,790,36.25815808556926,-22765.0,-16.508339376359682,-135.0,10510.0,-9310.0,0.9650344816993565,-46885.0,-1.0587382160986223,8.203770848440898
5,3,1380,566,753,41.01449275362319,42965.0,31.134057971014492,-90.0,29100.0,-9620.0,1.074520856820744,-37805.0,0.8480072463768116,7.042028985507247
