S,L,label,pct_L,trades,wr,gross,PF,mdd,worst,g_per_mdd,Pre_PF,F1_PF,F2_PF,F3_PF,F4_PF,minF
0,1,no marti,0.0,1357,43.92041267501842,130915.0,1.2376837117257782,-21600.0,-6365.0,6.060879629629629,1.0849306014540647,1.1032856822094155,1.4832226701446527,1.42657612470098,1.1536731634182908,1.0849306014540647
1,2,s1-L2,36.403831982313925,1357,43.92041267501842,208450.0,1.2858063454630213,-28155.0,-10870.0,7.403658320014207,1.1231024221192603,1.0376344086021505,1.507500898311175,1.581893324548531,1.1979249378010692,1.0376344086021505
1,3,s1-L3,36.403831982313925,1357,43.92041267501842,285985.0,1.315001349289833,-41395.0,-16305.0,6.908684623746829,1.1455646970830218,0.9996536046763369,1.5223065798987707,1.6804032889584966,1.2260256188333045,0.9996536046763369
1,4,s1-L4,36.403831982313925,1357,43.92041267501842,363520.0,1.334600480472741,-54800.0,-21740.0,6.6335766423357665,1.1603602709475722,0.9748944996781346,1.5322785575992255,1.7484535655915758,1.2454528819762123,0.9748944996781346
1,5,s1-L5,36.403831982313925,1357,43.92041267501842,441055.0,1.3486669697029585,-68205.0,-27175.0,6.466608019939887,1.1708420762595113,0.9574766212799659,1.5394517840424424,1.7982798781580362,1.2596854987001458,0.9574766212799659
1,6,s1-L6,36.403831982313925,1357,43.92041267501842,518590.0,1.3592537685657282,-81610.0,-32610.0,6.354490871216763,1.178656652916258,0.9445564516129032,1.544859514687101,1.8363383531122102,1.2705612573058531,0.9445564516129032
1,8,s1-L8,36.403831982313925,1357,43.92041267501842,673660.0,1.3741287674732452,-108420.0,-43480.0,6.213429256594724,1.1895303398953034,0.9266708834071263,1.5524707174231331,1.8906415779314576,1.2860860317244813,0.9266708834071263
1,10,s1-L10,36.403831982313925,1357,43.92041267501842,828730.0,1.3840802706585715,-135230.0,-54350.0,6.12829993344672,1.1967365853060523,0.9148764956965922,1.557571218975425,1.9275234773276093,1.2966348072282288,0.9148764956965922
2,2,s2-L2,16.58069270449521,1357,43.92041267501842,167425.0,1.2626624726434112,-23590.0,-9910.0,7.097286986011022,1.1312161770928446,1.091211675094412,1.5402310498581273,1.4019526998053897,1.1964032181732134,1.091211675094412
2,3,s2-L3,16.58069270449521,1357,43.92041267501842,203935.0,1.281664560414897,-28515.0,-14865.0,7.15184990355953,1.1672941269715462,1.082191780821918,1.582772960537958,1.3835695356607904,1.2291731995400856,1.082191780821918
2,4,s2-L4,16.58069270449521,1357,43.92041267501842,240445.0,1.2966058310872073,-33640.0,-19820.0,7.1475921521997625,1.1962058072921313,1.075197299846131,1.6157349246231156,1.3693212322638375,1.2551020408163265,1.075197299846131
2,5,s2-L5,16.58069270449521,1357,43.92041267501842,276955.0,1.3086623387478755,-38765.0,-24775.0,7.144460208951374,1.219893503035813,1.0696148868758089,1.6420254057868737,1.3579537620076296,1.27612952445537,1.0696148868758089
2,6,s2-L6,16.58069270449521,1357,43.92041267501842,313465.0,1.3185959883930705,-43890.0,-29730.0,7.142059694691274,1.2396557628456144,1.0650561387864295,1.6634837221225327,1.3486736376348798,1.2935254027261462,1.0650561387864295
2,8,s2-L8,16.58069270449521,1357,43.92041267501842,386485.0,1.334001650628492,-54245.0,-39640.0,7.1248041294128495,1.2707521745239039,1.058057886624422,1.696405370290169,1.3344324734178554,1.3206313564918768,1.058057886624422
2,10,s2-L10,16.58069270449521,1357,43.92041267501842,459505.0,1.3453950953678475,-66535.0,-49550.0,6.906214774179004,1.2941077798776601,1.0529375129748806,1.7204779756326147,1.3240165473446397,1.340778263872899,1.0529375129748806
3,2,s3-L2,8.179808400884303,1357,43.92041267501842,143040.0,1.242564015601153,-26845.0,-6365.0,5.328366548705532,1.082973043211189,1.0614856219274025,1.4935608145294441,1.5115548160473284,1.0887516882114605,1.0614856219274025
3,3,s3-L3,8.179808400884303,1357,43.92041267501842,155165.0,1.246840225578861,-32505.0,-8190.0,4.773573296415936,1.0812737223055875,1.0272999938789251,1.5025164338537387,1.5897344881442568,1.0307476863127132,1.0272999938789251
3,4,s3-L4,8.179808400884303,1357,43.92041267501842,167290.0,1.2506179682701384,-39775.0,-10920.0,4.205908233815211,1.079784701376669,0.9988218793828892,1.5103494753056705,1.6618997235400526,0.978611480432395,0.978611480432395
3,5,s3-L5,8.179808400884303,1357,43.92041267501842,179415.0,1.2539796012259083,-47060.0,-13650.0,3.8124734381640457,1.0784692166725154,0.9747320457722778,1.517258561333575,1.7287188588707028,0.9314955430835259,0.9314955430835259
3,6,s3-L6,8.179808400884303,1357,43.92041267501842,191540.0,1.2569902860516289,-54345.0,-16380.0,3.5245192750023002,1.077298601772194,0.9540887457333782,1.5233980665583027,1.7907647450321682,0.8887080686650218,0.8887080686650218
3,8,s3-L8,8.179808400884303,1357,43.92041267501842,215790.0,1.2621578608482256,-68990.0,-21840.0,3.1278446151616177,1.0753057533064503,0.920553476048282,1.5338311138480487,1.9024462389445973,0.8139333621808741,0.8139333621808741
3,10,s3-L10,8.179808400884303,1357,43.92041267501842,240040.0,1.2664328368148823,-85330.0,-27300.0,2.813078635884214,1.0736726097918146,0.8944791238365791,1.542363394668719,2.0001663847369735,0.750765000665218,0.750765000665218
