green_base,green_decay,green_atr_mult,n_all,all_net,all_PF,all_mdd,all_worst,is_net,is_PF,is_mdd,oos_net,oos_PF,oos_mdd,oos_worst
82.5,1.0,1.0,1368,198330.0,1.266,-35990.0,-10870.0,50740.0,1.132,-35990.0,147590.0,1.409,-23125.0,-10870.0
82.5,1.0,1.25,1368,208510.0,1.279,-41370.0,-10870.0,46690.0,1.121,-41370.0,161820.0,1.447,-22280.0,-10870.0
82.5,1.0,1.5,1368,195005.0,1.261,-41250.0,-10870.0,47825.0,1.124,-41250.0,147180.0,1.407,-22315.0,-10870.0
82.5,1.0,1.75,1368,202145.0,1.271,-40985.0,-10870.0,44445.0,1.115,-40985.0,157700.0,1.436,-22990.0,-10870.0
82.5,1.5,1.0,1368,208825.0,1.281,-28155.0,-10870.0,56480.0,1.147,-28155.0,152345.0,1.426,-22890.0,-10870.0
82.5,1.5,1.25,1368,207295.0,1.278,-33425.0,-10870.0,52350.0,1.136,-33425.0,154945.0,1.427,-22695.0,-10870.0
82.5,1.5,1.5,1368,208360.0,1.279,-37700.0,-10870.0,52280.0,1.136,-37700.0,156080.0,1.43,-22280.0,-10870.0
82.5,1.5,1.75,1368,204815.0,1.274,-40250.0,-10870.0,46715.0,1.122,-40250.0,158100.0,1.436,-22155.0,-10870.0
82.5,2.0,1.0,1368,204340.0,1.275,-41700.0,-10870.0,45425.0,1.118,-41700.0,158915.0,1.444,-22850.0,-10870.0
82.5,2.0,1.25,1368,197655.0,1.266,-38140.0,-10870.0,43245.0,1.113,-38140.0,154410.0,1.43,-22235.0,-10870.0
82.5,2.0,1.5,1368,200145.0,1.268,-38325.0,-10870.0,47725.0,1.124,-38325.0,152420.0,1.42,-22020.0,-10870.0
82.5,2.0,1.75,1368,209530.0,1.281,-34660.0,-10870.0,50480.0,1.132,-34660.0,159050.0,1.439,-22280.0,-10870.0
82.5,2.5,1.0,1368,206705.0,1.28,-49645.0,-10870.0,44110.0,1.115,-49645.0,162595.0,1.458,-21700.0,-10870.0
82.5,2.5,1.25,1368,206865.0,1.279,-41430.0,-10870.0,44760.0,1.117,-41430.0,162105.0,1.453,-22950.0,-10870.0
82.5,2.5,1.5,1368,202775.0,1.273,-39745.0,-10870.0,45760.0,1.119,-39745.0,157015.0,1.438,-21895.0,-10870.0
82.5,2.5,1.75,1368,206115.0,1.276,-38880.0,-10870.0,45390.0,1.118,-38880.0,160725.0,1.443,-22020.0,-10870.0
100.0,1.0,1.0,1368,201800.0,1.27,-41900.0,-10870.0,44900.0,1.117,-41900.0,156900.0,1.434,-21565.0,-10870.0
100.0,1.0,1.25,1368,206980.0,1.277,-38380.0,-10870.0,48850.0,1.127,-38380.0,158130.0,1.437,-22990.0,-10870.0
100.0,1.0,1.5,1368,204740.0,1.274,-40340.0,-10870.0,47380.0,1.123,-40340.0,157360.0,1.435,-22265.0,-10870.0
100.0,1.0,1.75,1368,218920.0,1.293,-40750.0,-10870.0,46575.0,1.121,-40750.0,172345.0,1.475,-22620.0,-10870.0
100.0,1.5,1.0,1368,208245.0,1.279,-41020.0,-10870.0,45580.0,1.118,-41020.0,162665.0,1.45,-22020.0,-10870.0
100.0,1.5,1.25,1368,204340.0,1.274,-41620.0,-10870.0,47375.0,1.123,-41620.0,156965.0,1.434,-21465.0,-10870.0
100.0,1.5,1.5,1368,197460.0,1.264,-38485.0,-10870.0,48245.0,1.126,-38485.0,149215.0,1.411,-22990.0,-10870.0
100.0,1.5,1.75,1368,209515.0,1.281,-38490.0,-10870.0,46340.0,1.12,-38490.0,163175.0,1.451,-22265.0,-10870.0
