green_base,green_decay,n_all,all_net,all_PF,all_mdd,is_n,is_wr,is_net,is_PF,is_mdd,oos_n,oos_wr,oos_net,oos_PF,oos_mdd
82.5,1.5,1353,245395.0,1.26,-30430.0,798,49.4,68300.0,1.13,-30430.0,555,54.6,177095.0,1.42,-22980.0
130.0,1.0,1353,268510.0,1.275,-30160.0,806,49.1,74875.0,1.142,-30160.0,547,52.3,193635.0,1.434,-28575.0
130.0,1.25,1353,269220.0,1.276,-30275.0,806,49.1,75705.0,1.143,-29580.0,547,52.3,193515.0,1.434,-30275.0
130.0,1.5,1353,272065.0,1.279,-30035.0,806,49.1,75605.0,1.143,-29725.0,547,52.3,196460.0,1.44,-30035.0
130.0,1.75,1353,259280.0,1.266,-30660.0,806,49.3,81340.0,1.154,-30115.0,547,52.3,177940.0,1.399,-30660.0
130.0,2.0,1353,249260.0,1.256,-30870.0,806,49.4,76410.0,1.145,-30870.0,547,52.3,172850.0,1.387,-30800.0
140.0,1.0,1353,286520.0,1.294,-33370.0,806,49.1,78610.0,1.149,-33370.0,547,52.3,207910.0,1.466,-29230.0
140.0,1.25,1353,279160.0,1.286,-30845.0,806,49.1,76705.0,1.145,-30845.0,547,52.3,202455.0,1.454,-28575.0
140.0,1.5,1353,278810.0,1.286,-29620.0,806,49.1,79555.0,1.15,-29475.0,547,52.3,199255.0,1.446,-29620.0
140.0,1.75,1353,266015.0,1.273,-30105.0,806,49.1,72800.0,1.138,-30105.0,547,52.3,193215.0,1.433,-29620.0
140.0,2.0,1353,253010.0,1.259,-29960.0,806,49.1,74295.0,1.141,-29960.0,547,52.3,178715.0,1.4,-29380.0
145.0,1.0,1353,279375.0,1.287,-36055.0,807,49.2,73440.0,1.139,-36055.0,546,52.2,205935.0,1.461,-30260.0
145.0,1.25,1353,284400.0,1.292,-32500.0,807,49.2,80230.0,1.152,-32500.0,546,52.2,204170.0,1.457,-28575.0
145.0,1.5,1353,283010.0,1.29,-29780.0,806,49.1,78015.0,1.148,-29780.0,547,52.3,204995.0,1.459,-29540.0
145.0,1.75,1353,273915.0,1.281,-29620.0,806,49.1,79870.0,1.151,-29475.0,547,52.3,194045.0,1.435,-29620.0
145.0,2.0,1353,269320.0,1.276,-29925.0,806,49.1,73855.0,1.14,-29925.0,547,52.3,195465.0,1.438,-29620.0
150.0,1.0,1353,277470.0,1.285,-35075.0,808,49.1,75845.0,1.143,-35075.0,545,52.3,201625.0,1.452,-32525.0
150.0,1.25,1353,290310.0,1.298,-34815.0,808,49.1,73650.0,1.139,-34815.0,545,52.3,216660.0,1.486,-29230.0
150.0,1.5,1353,282400.0,1.29,-30550.0,807,49.2,78810.0,1.149,-30550.0,546,52.2,203590.0,1.456,-28575.0
150.0,1.75,1353,280230.0,1.287,-30960.0,806,49.1,77795.0,1.147,-30960.0,547,52.3,202435.0,1.454,-29620.0
150.0,2.0,1353,266255.0,1.273,-30400.0,806,49.1,73050.0,1.138,-30400.0,547,52.3,193205.0,1.433,-29620.0
155.0,1.0,1353,286670.0,1.294,-37100.0,807,49.2,78590.0,1.149,-37100.0,546,52.2,208080.0,1.466,-32285.0
155.0,1.25,1353,275185.0,1.282,-35920.0,808,49.1,74640.0,1.141,-35920.0,545,52.3,200545.0,1.45,-32525.0
155.0,1.5,1353,296330.0,1.304,-32580.0,808,49.1,79865.0,1.151,-32580.0,545,52.3,216465.0,1.486,-28575.0
155.0,1.75,1353,288675.0,1.296,-30550.0,808,49.1,77550.0,1.147,-30550.0,545,52.3,211125.0,1.474,-29250.0
155.0,2.0,1353,278465.0,1.286,-29830.0,807,49.2,79265.0,1.15,-29830.0,546,52.2,199200.0,1.446,-29620.0
160.0,1.0,1353,287375.0,1.295,-36910.0,808,49.1,77445.0,1.146,-36910.0,545,52.3,209930.0,1.471,-32135.0
160.0,1.25,1353,288350.0,1.296,-35320.0,807,49.2,79960.0,1.151,-35320.0,546,52.2,208390.0,1.467,-32285.0
160.0,1.5,1353,282540.0,1.29,-34535.0,807,49.2,76320.0,1.144,-34535.0,546,52.2,206220.0,1.462,-29230.0
160.0,1.75,1353,285550.0,1.293,-31940.0,808,49.1,80260.0,1.152,-31940.0,545,52.3,205290.0,1.46,-28575.0
160.0,2.0,1353,290440.0,1.298,-29540.0,808,49.1,80020.0,1.151,-29170.0,545,52.3,210420.0,1.472,-29540.0
170.0,1.0,1352,299885.0,1.308,-38580.0,808,49.3,76600.0,1.145,-38580.0,544,52.2,223285.0,1.501,-30685.0
170.0,1.25,1352,288980.0,1.296,-39040.0,808,49.3,76255.0,1.144,-39040.0,544,52.2,212725.0,1.477,-31805.0
170.0,1.5,1353,292835.0,1.3,-37190.0,808,49.1,77510.0,1.146,-37190.0,545,52.3,215325.0,1.483,-32135.0
170.0,1.75,1353,291550.0,1.299,-34235.0,808,49.1,80405.0,1.152,-34235.0,545,52.3,211145.0,1.474,-31495.0
170.0,2.0,1353,285775.0,1.293,-32095.0,807,49.2,77655.0,1.147,-32095.0,546,52.2,208120.0,1.466,-28575.0
180.0,1.0,1351,304105.0,1.313,-37235.0,808,49.3,81565.0,1.154,-37235.0,543,52.3,222540.0,1.502,-30685.0
180.0,1.25,1352,300540.0,1.308,-38800.0,808,49.3,76345.0,1.144,-38800.0,544,52.2,224195.0,1.503,-30685.0
180.0,1.5,1352,299685.0,1.307,-38700.0,808,49.3,75720.0,1.143,-38700.0,544,52.2,223965.0,1.502,-31715.0
180.0,1.75,1352,295055.0,1.303,-36850.0,808,49.3,78960.0,1.149,-36850.0,544,52.2,216095.0,1.485,-31715.0
180.0,2.0,1353,291250.0,1.299,-36340.0,808,49.1,79210.0,1.15,-36340.0,545,52.3,212040.0,1.476,-31165.0
190.0,1.0,1351,306560.0,1.315,-36550.0,808,49.3,82675.0,1.156,-36550.0,543,52.3,223885.0,1.505,-31830.0
190.0,1.25,1351,304210.0,1.313,-38140.0,808,49.3,81240.0,1.154,-38140.0,543,52.3,222970.0,1.503,-30510.0
190.0,1.5,1351,303875.0,1.312,-38155.0,808,49.3,78130.0,1.148,-38155.0,543,52.3,225745.0,1.509,-30510.0
190.0,1.75,1352,302865.0,1.311,-39000.0,809,49.2,75480.0,1.143,-39000.0,543,52.3,227385.0,1.511,-30510.0
190.0,2.0,1352,300555.0,1.308,-36660.0,809,49.2,78670.0,1.149,-36660.0,543,52.3,221885.0,1.498,-31965.0
200.0,1.0,1351,309155.0,1.318,-37530.0,808,49.3,85285.0,1.161,-37530.0,543,52.3,223870.0,1.505,-32790.0
200.0,1.25,1351,308795.0,1.318,-36790.0,808,49.3,85845.0,1.162,-36790.0,543,52.3,222950.0,1.503,-32790.0
200.0,1.5,1351,301635.0,1.31,-37890.0,808,49.3,80420.0,1.152,-37890.0,543,52.3,221215.0,1.499,-31830.0
200.0,1.75,1351,305640.0,1.314,-37235.0,808,49.3,78130.0,1.148,-37235.0,543,52.3,227510.0,1.513,-30510.0
200.0,2.0,1352,302245.0,1.31,-38600.0,809,49.2,76060.0,1.144,-38600.0,543,52.3,226185.0,1.508,-30510.0
215.0,1.0,1351,306585.0,1.315,-37040.0,808,49.3,88925.0,1.168,-37040.0,543,52.3,217660.0,1.491,-35040.0
215.0,1.25,1351,313125.0,1.322,-37220.0,808,49.3,89960.0,1.17,-37220.0,543,52.3,223165.0,1.503,-32790.0
215.0,1.5,1351,314985.0,1.324,-37530.0,808,49.3,85650.0,1.162,-37530.0,543,52.3,229335.0,1.517,-32790.0
215.0,1.75,1351,315385.0,1.324,-36790.0,808,49.3,84205.0,1.159,-36790.0,543,52.3,231180.0,1.521,-32790.0
215.0,2.0,1351,308285.0,1.317,-37390.0,808,49.3,80975.0,1.153,-37390.0,543,52.3,227310.0,1.513,-31830.0
225.0,1.0,1351,304700.0,1.313,-37290.0,808,49.3,86655.0,1.164,-37290.0,543,52.3,218045.0,1.492,-35045.0
225.0,1.25,1351,309425.0,1.318,-36700.0,808,49.3,89895.0,1.17,-36700.0,543,52.3,219530.0,1.495,-35040.0
225.0,1.5,1351,312410.0,1.321,-37040.0,808,49.3,89780.0,1.17,-37040.0,543,52.3,222630.0,1.502,-32790.0
225.0,1.75,1351,318145.0,1.327,-37530.0,808,49.3,89040.0,1.168,-37530.0,543,52.3,229105.0,1.517,-32790.0
225.0,2.0,1351,315420.0,1.324,-37530.0,808,49.3,84820.0,1.16,-37530.0,543,52.3,230600.0,1.52,-32790.0
250.0,1.0,1351,292855.0,1.301,-38330.0,808,49.3,84460.0,1.16,-38330.0,543,52.3,208395.0,1.47,-33970.0
250.0,1.25,1351,293005.0,1.301,-38330.0,808,49.3,82550.0,1.156,-38330.0,543,52.3,210455.0,1.475,-35075.0
250.0,1.5,1351,291855.0,1.3,-38330.0,808,49.3,81235.0,1.154,-38330.0,543,52.3,210620.0,1.475,-35470.0
