yellow_suppress,yellow_atr_mult,green_atr_mult,n_all,all_net,all_PF,all_mdd,is_net,is_PF,is_mdd,oos_net,oos_PF,oos_mdd
25,1.2,0.75,1353,271990.0,1.284,-37460.0,81800.0,1.158,-37460.0,190190.0,1.431,-28760.0
25,1.2,1.0,1353,291905.0,1.305,-38430.0,84060.0,1.162,-38430.0,207845.0,1.472,-28680.0
25,1.2,1.25,1353,290695.0,1.303,-40980.0,80810.0,1.156,-40980.0,209885.0,1.476,-31560.0
25,1.2,1.5,1353,305095.0,1.318,-41630.0,86775.0,1.168,-41630.0,218320.0,1.496,-30980.0
25,1.3,0.75,1353,271840.0,1.279,-29620.0,79075.0,1.15,-29475.0,192765.0,1.432,-29620.0
25,1.3,1.0,1353,290440.0,1.298,-29540.0,80020.0,1.151,-29170.0,210420.0,1.472,-29540.0
25,1.3,1.25,1353,288320.0,1.296,-31950.0,76540.0,1.145,-31950.0,211780.0,1.475,-31420.0
25,1.3,1.5,1353,302125.0,1.31,-32600.0,82050.0,1.155,-32600.0,220075.0,1.494,-30840.0
25,1.4,0.75,1353,276745.0,1.281,-29480.0,86910.0,1.161,-28930.0,189835.0,1.426,-29480.0
25,1.4,1.0,1353,295140.0,1.3,-29480.0,87650.0,1.162,-28345.0,207490.0,1.466,-29480.0
25,1.4,1.25,1353,298090.0,1.303,-31385.0,84170.0,1.156,-31385.0,213920.0,1.481,-30060.0
25,1.4,1.5,1353,312290.0,1.317,-32485.0,89580.0,1.166,-32485.0,222710.0,1.5,-29480.0
25,1.5,0.75,1353,254615.0,1.251,-38290.0,72205.0,1.13,-38290.0,182410.0,1.401,-30520.0
25,1.5,1.0,1353,272660.0,1.269,-39680.0,72965.0,1.131,-39680.0,199695.0,1.439,-30440.0
25,1.5,1.25,1353,273880.0,1.271,-43170.0,66695.0,1.12,-43170.0,207185.0,1.456,-30055.0
25,1.5,1.5,1353,286775.0,1.283,-45605.0,70970.0,1.127,-45605.0,215805.0,1.475,-29475.0
28,1.2,0.75,1353,289600.0,1.283,-34095.0,113730.0,1.206,-26615.0,175870.0,1.372,-34095.0
28,1.2,1.0,1353,308015.0,1.301,-34095.0,116570.0,1.211,-25440.0,191445.0,1.405,-34095.0
28,1.2,1.25,1353,302390.0,1.294,-37450.0,114385.0,1.207,-27445.0,188005.0,1.393,-37450.0
28,1.2,1.5,1353,319615.0,1.31,-37450.0,121260.0,1.22,-28680.0,198355.0,1.415,-37450.0
28,1.3,0.75,1353,292895.0,1.283,-31515.0,107145.0,1.192,-27565.0,185750.0,1.39,-31515.0
28,1.3,1.0,1353,311130.0,1.301,-31515.0,109805.0,1.197,-26335.0,201325.0,1.424,-31515.0
28,1.3,1.25,1353,302890.0,1.292,-35540.0,105540.0,1.189,-27555.0,197350.0,1.411,-35540.0
28,1.3,1.5,1353,319975.0,1.308,-35540.0,112415.0,1.201,-28770.0,207560.0,1.432,-35540.0
28,1.4,0.75,1353,307200.0,1.295,-29430.0,111775.0,1.197,-28410.0,195425.0,1.413,-29430.0
28,1.4,1.0,1353,325755.0,1.313,-29430.0,114755.0,1.203,-27675.0,211000.0,1.446,-29430.0
