entry_time,exit_time,entry_price,exit_price,qty,reason,bars_held,be_arm_time,be_arm_bar,pnl_points,pnl_dollars,session
2020-12-01 19:00:00-05:00,2020-12-02 06:20:00-05:00,12442.75,12426.0,1,SL Yellow,34,,,-16.75,-335.0,2020-12-01
2020-12-02 06:40:00-05:00,2020-12-02 08:00:00-05:00,12435.0,12412.5,2,Force Close,4,,,-22.5,-900.0,2020-12-02
2020-12-02 19:00:00-05:00,2020-12-02 23:20:00-05:00,12467.5,12467.0,1,SL Yellow,13,,,-0.5,-10.0,2020-12-02
2020-12-03 00:20:00-05:00,2020-12-03 08:00:00-05:00,12477.25,12481.5,2,Force Close,23,,,4.25,170.0,2020-12-03
2020-12-03 19:00:00-05:00,2020-12-04 07:20:00-05:00,12485.5,12501.0,1,SL Yellow,37,,,15.5,310.0,2020-12-03
2020-12-04 10:00:00-05:00,2020-12-07 03:00:00-05:00,12508.75,12511.5,1,SL Yellow,32,,,2.75,55.0,2020-12-04
2020-12-07 05:20:00-05:00,2020-12-07 08:00:00-05:00,12517.75,12524.75,1,Force Close,8,,,7.0,140.0,2020-12-07
2020-12-07 19:00:00-05:00,2020-12-08 02:00:00-05:00,12566.5,12565.0,1,SL Yellow,21,,,-1.5,-30.0,2020-12-07
2020-12-08 02:20:00-05:00,2020-12-08 06:00:00-05:00,12577.0,12563.5,2,SL Yellow,11,,,-13.5,-540.0,2020-12-08
2020-12-08 11:40:00-05:00,2020-12-08 18:00:00-05:00,12581.75,12660.0,1,TP Green,17,,,78.25,1565.0,2020-12-08
2020-12-08 19:00:00-05:00,2020-12-08 20:40:00-05:00,12659.75,12638.0,1,SL Yellow,5,,,-21.75,-435.0,2020-12-08
2020-12-08 21:00:00-05:00,2020-12-09 03:40:00-05:00,12644.5,12632.25,2,SL Yellow,20,,,-12.25,-490.0,2020-12-08
2020-12-09 04:00:00-05:00,2020-12-09 06:40:00-05:00,12640.25,12627.25,1,SL Yellow,8,,,-13.0,-260.0,2020-12-09
2020-12-09 19:00:00-05:00,2020-12-09 22:20:00-05:00,12365.75,12328.75,2,SL Yellow,10,,,-37.0,-1480.0,2020-12-09
2020-12-09 23:20:00-05:00,2020-12-10 01:20:00-05:00,12342.25,12316.75,1,SL Yellow,6,,,-25.5,-510.0,2020-12-09
2020-12-10 02:00:00-05:00,2020-12-10 06:40:00-05:00,12321.0,12343.25,2,SL Yellow,14,,,22.25,890.0,2020-12-10
2020-12-10 19:00:00-05:00,2020-12-10 22:00:00-05:00,12406.0,12362.75,1,SL Yellow,9,,,-43.25,-865.0,2020-12-10
