atr_len,yellow_atr_mult,yellow_drift,yellow_mode,green_atr_mult,green_base,green_decay,yellow_giveback,scale_by_body,max_giveback_atr,giveback_min_gap_atr,IS_trades,IS_win%,IS_avg_$,IS_gross_$,IS_PF,OOS_trades,OOS_win%,OOS_avg_$,OOS_gross_$,OOS_PF
16,2.32,2.83,raw_atr,2.39,98.8,1.79,0.0,False,1.17,0.36,763,54.914809960681524,4.285714285714286,3270.0,1.0065221293655384,618,59.54692556634305,246.74757281553397,152490.0,1.318035351165337
14,2.21,2.73,drift_floor,0.75,49.9,0.92,0.0,False,0.96,0.17,765,45.88235294117647,6.633986928104576,5075.0,1.0182481751824817,620,51.29032258064517,131.73387096774192,81675.0,1.2564927927645009
14,0.81,2.79,raw_atr,2.77,162.4,0.41,0.17,True,1.29,0.42,764,40.575916230366495,-10.202879581151832,-7795.0,0.9650644257703082,619,44.4264943457189,147.84329563812602,91515.0,1.3583974622569466
14,2.16,0.79,drift_floor,1.05,51.3,0.23,0.0,True,0.81,0.36,765,41.17647058823529,16.50980392156863,12630.0,1.036614532751598,620,50.483870967741936,173.8790322580645,107805.0,1.292848896434635
12,2.62,0.28,drift_floor,3.36,179.2,2.79,0.32,True,0.75,0.22,763,50.720838794233295,21.854521625163827,16675.0,1.0363924050632911,619,54.44264943457189,203.26332794830373,125820.0,1.258723859266723
14,2.5,1.14,pure_ratchet,1.54,125.9,1.29,0.73,False,0.33,0.58,764,47.90575916230366,3.056282722513089,2335.0,1.0052705829242141,620,52.741935483870975,204.84677419354838,127005.0,1.27234713242626
12,2.71,0.16,pure_ratchet,3.56,119.8,0.31,0.75,False,1.31,0.17,763,54.39056356487549,12.90956749672346,9850.0,1.0202302344447982,619,58.319870759289174,221.55896607431342,137145.0,1.2778379911469464
16,2.93,2.58,drift_floor,2.88,40.6,2.65,0.47,False,1.21,0.2,764,64.52879581151832,-0.8704188481675392,-665.0,0.998488705058861,620,67.90322580645162,219.40322580645162,136030.0,1.311107045249231
16,2.6,0.85,pure_ratchet,3.43,124.4,1.98,0.37,False,0.81,0.29,763,53.73525557011796,23.60419397116645,18010.0,1.038355872644021,619,57.51211631663974,205.12924071082392,126975.0,1.2553467467044734
30,2.78,0.58,raw_atr,3.81,197.2,1.39,0.75,True,0.73,0.32,762,54.46194225721784,21.25984251968504,16200.0,1.0332983905777888,617,58.6709886547812,216.33711507293356,133480.0,1.2672192026265479
7,2.93,2.78,drift_floor,1.08,107.4,0.64,0.0,True,0.32,0.23,765,43.790849673202615,-9.620915032679738,-7360.0,0.9740034968122494,620,48.70967741935484,201.04032258064515,124645.0,1.3768727228748092
16,2.33,1.36,raw_atr,1.32,67.6,2.37,0.29,False,1.25,0.12,763,63.17169069462647,24.521625163827,18710.0,1.0429473200964077,618,68.44660194174757,216.3106796116505,133680.0,1.3143673498183357
30,0.85,1.09,raw_atr,1.33,100.0,0.85,0.0,False,0.81,0.32,763,54.914809960681524,1.598951507208388,1220.0,1.0024333326684884,618,59.54692556634305,227.25728155339806,140445.0,1.2929141248240263
10,2.05,2.06,drift_floor,1.02,121.3,0.91,0.42,False,0.4,0.46,765,44.31372549019608,13.607843137254902,10410.0,1.0279234452327624,620,49.83870967741936,202.3548387096774,125460.0,1.3025976218615085
7,2.24,2.63,raw_atr,0.96,87.8,0.49,0.51,False,1.21,0.49,763,55.04587155963303,19.50851900393185,14885.0,1.030871494939439,618,60.517799352750814,186.88511326860842,115495.0,1.243693755472797
30,0.98,0.04,pure_ratchet,2.14,99.3,0.55,0.0,True,1.43,0.29,765,39.869281045751634,-9.339869281045752,-7145.0,0.971917619777542,620,45.322580645161295,190.15322580645162,117895.0,1.4292866766194516
