config,sl_mult,tp_mult,R_$,p_funded,p_pass_any,p_bust,p_timeout,avg_days_pass,avg_days_any,P>=3/10,P>=4/10,E_days_to_3_at_2_slots
Best-PF      ,1.25,1.5,200,0.0,0.011078286558345642,0.07828655834564253,0.9106351550960118,,29.237075332348596,0.0,0.0,inf
Best-PF      ,1.25,1.5,300,0.07607090103397342,0.08862629246676514,0.362629246676514,0.5487444608567208,22.679611650485437,25.361890694239293,0.0351981615099819,0.004837764627142833,500.09708737864077
Best-PF      ,1.25,1.5,400,0.18389955686853768,0.1986706056129985,0.5155096011816839,0.2858197932053176,19.59036144578313,20.96824224519941,0.2741946866060201,0.0942543245465639,171.03012048192772
Best-PF      ,1.25,1.5,500,0.25997045790251105,0.27326440177252587,0.6225997045790251,0.10413589364844904,16.625,16.569423929098967,0.504132625774199,0.24786328972726923,95.6036931818182
Best-PF      ,1.25,1.5,600,0.2998522895125554,0.310930576070901,0.672821270310192,0.01624815361890694,13.852216748768473,13.063515509601181,0.6168229837681705,0.34999519040737,65.34975369458128
Best-PF      ,1.25,1.5,750,0.2858197932053176,0.2858197932053176,0.7134416543574594,0.0007385524372230429,9.777777777777779,8.293943870014772,0.5785204170991382,0.3129908935510083,43.52713178294574
Best-PF      ,1.25,1.5,1000,0.34047267355982275,0.34047267355982275,0.6595273264401772,0.0,6.778741865509762,5.718611521418021,0.7173022701757881,0.4602286041210919,25.1941431670282
Symmetric 1:1,1.5,1.5,200,0.0,0.0007385524372230429,0.0206794682422452,0.9785819793205317,,29.690546528803544,0.0,0.0,inf
Symmetric 1:1,1.5,1.5,300,0.04948301329394387,0.061299852289512555,0.23412112259970458,0.7045790251107829,24.253731343283583,27.222304283604135,0.011181366429407797,0.0009891452651135232,825.2014925373135
Symmetric 1:1,1.5,1.5,400,0.1602658788774003,0.17208271787296897,0.4519940915805022,0.3759231905465288,20.161290322580644,22.283604135893647,0.20712401854665705,0.06167960095948232,208.5622119815668
