trial,y_mult,g_mult,g_base,g_decay,all_trades,all_pf,all_gross,all_win,Pre_pf,Pre_gross,Pre_trades,F1_pf,F1_gross,F1_trades,F2_pf,F2_gross,F2_trades,F3_pf,F3_gross,F3_trades,F4_pf,F4_gross,F4_trades,min_fold_pf,mean_fold_pf,num_folds_pf_ge_1
0,1.0,1.0,75.0,1.0,1357,1.1873605110669752,91505.0,43.33087693441415,0.9133555001385425,-15635.0,505,1.1094209161624893,6330.0,244,1.3638266827380574,28675.0,243,1.5439328603885565,58655.0,256,1.2124842370744011,13480.0,109,0.9133555001385425,1.2286040393004094,4
1,1.0,1.0,75.0,1.1,1357,1.1886095128892893,92115.0,43.33087693441415,0.9201163757273483,-14415.0,505,1.102333621434745,5920.0,244,1.3629385269301528,28605.0,243,1.5470858255668383,58995.0,256,1.205075662042875,13010.0,109,0.9201163757273483,1.227510002340392,4
2,1.0,1.0,75.0,1.2,1357,1.187012428591904,91335.0,43.33087693441415,0.9154336381269049,-15260.0,505,1.1003457216940362,5805.0,244,1.3659201928566898,28840.0,243,1.5487086752909538,59170.0,256,1.2014501891551073,12780.0,109,0.9154336381269049,1.2263716834247382,4
3,1.0,1.0,75.0,1.3,1357,1.1798153115338152,87820.0,43.33087693441415,0.9090883901357717,-16405.0,505,1.0895419187554019,5180.0,244,1.365539554653302,28810.0,243,1.541475402234896,58390.0,256,1.1867118537200505,11845.0,109,0.9090883901357717,1.2184714238998844,4
4,1.0,1.0,75.0,1.4,1357,1.1837631347166178,89715.0,43.404568901989684,0.9053754502632309,-17075.0,505,1.0799481417458945,4625.0,244,1.3643342003425745,28715.0,243,1.544025594658506,58665.0,256,1.2337179892507113,14785.0,109,0.9053754502632309,1.2254802752521834,4
7,1.0,1.0,75.0,1.7,1357,1.1725691812949346,84250.0,43.404568901989684,0.8792186201163757,-21795.0,505,1.1270527225583404,7350.0,244,1.3457463680771427,27250.0,243,1.5210274957110401,56185.0,256,1.241226683528296,15260.0,109,0.8792186201163757,1.2228543779982388,4
8,1.0,1.0,75.0,1.8,1357,1.175252452837918,85560.0,43.404568901989684,0.8783596564145193,-21950.0,505,1.1547104580812446,8950.0,244,1.3440969358624628,27120.0,243,1.5195437473918487,56025.0,256,1.2436768890294025,15415.0,109,0.8783596564145193,1.2280775373558956,4
5,1.0,1.0,75.0,1.5,1357,1.1830667130947747,89375.0,43.404568901989684,0.9043225270157939,-17265.0,505,1.1014693171996544,5870.0,244,1.3446678931675442,27165.0,243,1.5408726294802244,58325.0,256,1.2415428390768257,15280.0,109,0.9043225270157939,1.2265750411880085,4
6,1.0,1.0,75.0,1.6,1357,1.1731222219946336,84520.0,43.404568901989684,0.8895816015516763,-19925.0,505,1.11495246326707,6650.0,244,1.3395292774218106,26760.0,243,1.5294663142764409,57095.0,256,1.220360417325324,13940.0,109,0.8895816015516763,1.2187780147684644,4
9,1.0,1.0,75.0,1.9,1357,1.1754470412322566,85655.0,43.404568901989684,0.8752840121917429,-22505.0,505,1.1751080380293863,10130.0,244,1.329125166529214,25940.0,243,1.5250614364538415,56620.0,256,1.2445463167878597,15470.0,109,0.8752840121917429,1.229824993998409,4
10,1.0,1.0,75.0,2.0,1357,1.1817362448277275,88720.0,43.47826086956522,0.8984760321418676,-18320.0,505,1.177009507346586,10240.0,244,1.3162469073145975,24925.0,243,1.5259960113167292,56705.0,256,1.2398039835599115,15170.0,109,0.8984760321418676,1.2315064883359383,4
12,1.0,1.0,77.5,1.1,1357,1.1796822211756997,87755.0,43.33087693441415,0.9125796619562205,-15775.0,505,1.1094209161624893,6330.0,244,1.3487914737042441,27490.0,243,1.5234849538647006,56450.0,256,1.209016393442623,13260.0,109,0.9125796619562205,1.2206586798260557,4
11,1.0,1.0,77.5,1.0,1357,1.1808390835193185,88320.0,43.33087693441415,0.9059850374064838,-16965.0,505,1.0923941227312013,5345.0,244,1.3435259785573812,27075.0,243,1.5456484443826215,58840.0,256,1.2210750315258512,14025.0,109,0.9059850374064838,1.221725722920708,4
14,1.0,1.0,77.5,1.3,1357,1.1843506214295951,90035.0,43.33087693441415,0.9166528124134109,-15040.0,505,1.1003457216940362,5805.0,244,1.359132144896276,28305.0,243,1.5407335280753003,58310.0,256,1.1994798234552333,12655.0,109,0.9166528124134109,1.2232688061068513,4
13,1.0,1.0,77.5,1.2,1357,1.1884149962120436,92020.0,43.33087693441415,0.9200886672208368,-14420.0,505,1.102333621434745,5920.0,244,1.3620503711222482,28535.0,243,1.5521398432790838,59540.0,256,1.1961696090794451,12445.0,109,0.9200886672208368,1.2265564224272718,4
15,1.0,1.0,77.5,1.4,1357,1.1794877044984542,87660.0,43.33087693441415,0.9092823496813521,-16370.0,505,1.0895419187554019,5180.0,244,1.365539554653302,28810.0,243,1.5354940418231557,57745.0,256,1.1938051702395964,12295.0,109,0.9092823496813521,1.2187326070305615,4
