giveback,force_hour,IS_PF,OOS_PF,FULL_PF,FULL_gross_$,FULL_maxDD_$,FULL_win%,FULL_trades
off,8,1.0538990711519507,1.2945091685843129,1.1720461708402161,169770.0,-30990.0,50.0,1390
off,9,1.0842844439555201,1.1943197467494142,1.139985242792281,154620.0,-46710.0,45.650611071171824,1391
off,10,1.0604077919578738,1.2186086244018095,1.139645657602906,159925.0,-44815.0,44.4683908045977,1392
off,11,1.1021811202233467,1.2321306125283176,1.1673229459907497,192280.0,-45905.0,44.29289303661163,1393
off,12,1.0966350899676152,1.2250257154958553,1.1608867740888937,185965.0,-48855.0,43.83070301291248,1394
off,13,1.1011201049343298,1.234145833152424,1.1674248293592913,193410.0,-48365.0,43.23741007194244,1390
off,14,1.1152388041615455,1.204287841361919,1.1598891780272136,185250.0,-51185.0,43.16860465116279,1376
off,15,1.1185773498666156,1.208174685342209,1.1637221173163645,189880.0,-48855.0,42.877906976744185,1376
off,16,1.115847798796589,1.197771635712379,1.1569218283227711,181750.0,-48855.0,42.422044960116025,1379
on,8,1.1022549039577945,1.229344841889036,1.1667786446320771,166315.0,-38465.0,51.18619698058951,1391
on,9,1.1082746238185945,1.0917744044761541,1.0996273949310096,114840.0,-61995.0,47.19827586206897,1392
on,10,1.0698608023934888,1.1326387319624238,1.101973752110606,123505.0,-59485.0,46.41319942611191,1394
on,11,1.1208219710081302,1.1082988465956476,1.1143397040916476,140380.0,-65750.0,46.26972740315639,1394
on,12,1.1195940500973742,1.1106104184136487,1.114947979361972,141805.0,-68395.0,45.806451612903224,1395
on,13,1.1161125447017533,1.0960841613091759,1.1057843003303247,131620.0,-70280.0,45.11494252873563,1392
on,14,1.1298769551616268,1.0830892890522774,1.1056805777650673,131185.0,-72425.0,45.19650655021834,1374
on,15,1.124464090973419,1.0829208968665092,1.1028787163756488,128620.0,-70105.0,44.72727272727273,1375
on,16,1.1245201315734688,1.0822958331715273,1.1026723999357018,127745.0,-70030.0,44.26705370101596,1378
